Date,dsp_toxins_Mexilhão,asp_toxins_Mexilhão,psp_toxins_Mexilhão
2015-01-11,36.0,1.8,71.0
2015-01-18,36.0,1.8,71.0
2015-01-25,36.0,1.8,71.0
2015-02-01,36.0,1.8,71.0
2015-02-08,22.0,1.8,71.0
2015-02-15,36.0,1.8,71.0
2015-02-22,36.0,1.8,71.0
2015-03-01,36.0,1.8,71.0
2015-03-08,,1.8210727969348737,
2015-03-15,,1.8210727969348737,
2015-03-22,36.0,1.8,71.0
2015-03-29,36.0,1.8,71.0
2015-04-05,36.0,1.8,71.0
2015-04-12,36.0,1.8,71.0
2015-04-19,36.0,1.8,71.0
2015-04-26,27.0,1.8,71.0
2015-05-03,29.0,1.8,71.0
2015-05-10,48.0,1.8,81.0
2015-05-17,95.0,1.8,77.0
2015-05-24,88.0,1.8,37.0
2015-05-31,106.0,1.8,71.0
2015-06-07,63.0,2.4,71.0
2015-06-14,59.0,3.0,47.0
2015-06-21,133.0,1.8,32.0
2015-06-28,168.0,1.8,71.0
2015-07-05,339.0,1.8,71.0
2015-07-12,292.0,1.8,71.0
2015-07-19,97.0,1.8,71.0
2015-07-26,145.0,1.8,71.0
2015-08-02,128.0,1.8,71.0
2015-08-09,70.0,1.8,71.0
2015-08-16,95.0,1.8,71.0
2015-08-23,76.0,1.8,71.0
2015-08-30,206.0,1.8,71.0
2015-09-06,424.0,1.8,71.0
2015-09-13,370.0,1.8,71.0
2015-09-20,269.0,1.8,71.0
2015-09-27,382.0,1.8,71.0
2015-10-04,535.0,1.8,71.0
2015-10-11,327.0,1.8,71.0
2015-10-18,713.0,1.8,
2015-10-25,850.0,1.8,
2015-11-01,712.0,1.8,71.0
2015-11-08,150.5,1.8,71.0
2015-11-15,116.0,1.8,71.0
2015-11-22,87.0,1.8,71.0
2015-11-29,60.0,1.8,71.0
2015-12-06,66.0,1.8,71.0
2015-12-13,44.0,1.8,71.0
2015-12-20,44.0,1.8,71.0
2015-12-27,37.0,1.8,71.0
2016-01-03,71.0,1.8,71.0
2016-01-10,31.0,1.8,71.0
2016-01-17,36.0,1.8,71.0
2016-01-24,36.0,1.8,71.0
2016-01-31,36.0,1.8,71.0
2016-02-07,38.0,1.8,71.0
2016-02-14,15.0,1.8,71.0
2016-02-21,17.0,1.8,71.0
2016-02-28,36.0,1.8,71.0
2016-03-06,36.0,1.8,71.0
