Date,dsp_toxins_Mexilhão,asp_toxins_Mexilhão,psp_toxins_Mexilhão
2015-01-11,17.0,1.8,71.0
2015-01-18,41.0,1.8,71.0
2015-01-25,36.0,1.8,71.0
2015-02-01,36.0,1.8,71.0
2015-02-08,27.0,1.8,71.0
2015-02-15,36.0,1.8,71.0
2015-02-22,36.0,1.8,71.0
2015-03-01,17.0,1.8,71.0
2015-03-08,,,71.0
2015-03-15,,,71.0
2015-03-22,36.0,1.8,71.0
2015-03-29,34.0,1.8,71.0
2015-04-05,40.5,1.8,71.0
2015-04-12,23.0,1.8,71.0
2015-04-19,45.0,1.8,71.0
2015-04-26,79.0,1.8,71.0
2015-05-03,,,71.0
2015-05-10,86.0,1.8,71.0
2015-05-17,42.0,1.8,71.0
2015-05-24,53.0,1.8,71.0
2015-05-31,,,71.0
2015-06-07,56.0,1.8,71.0
2015-06-14,44.0,1.8,71.0
2015-06-21,80.0,1.8,71.0
2015-06-28,37.0,1.8,71.0
2015-07-05,63.0,1.8,71.0
2015-07-12,,,71.0
2015-07-19,55.0,1.8,71.0
2015-07-26,33.0,1.8,71.0
2015-08-02,38.0,1.8,71.0
2015-08-09,18.0,1.8,71.0
2015-08-16,,,71.0
2015-08-23,44.0,1.8,71.0
2015-08-30,44.0,1.8,71.0
2015-09-06,55.0,1.8,71.0
2015-09-13,48.0,1.8,71.0
2015-09-20,,,71.0
2015-09-27,45.0,1.8,71.0
2015-10-04,202.0,1.8,71.0
2015-10-11,122.0,1.8,71.0
2015-10-18,56.0,1.8,71.0
2015-10-25,81.0,1.8,71.0
2015-11-01,,,71.0
2015-11-08,36.0,1.8,71.0
2015-11-15,44.0,1.8,71.0
2015-11-22,44.0,1.8,71.0
2015-11-29,44.0,1.8,71.0
2015-12-06,44.0,1.8,71.0
2015-12-13,44.0,1.8,71.0
2015-12-20,44.0,1.8,71.0
2015-12-27,,,71.0
2016-01-03,,,71.0
2016-01-10,,,71.0
2016-01-17,,,71.0
2016-01-24,36.0,1.8,71.0
2016-01-31,31.5,1.8,71.0
2016-02-07,,,71.0
2016-02-14,36.0,1.8,71.0
2016-02-21,36.0,1.8,71.0
2016-02-28,,,71.0
2016-03-06,36.0,1.8,71.0
2016-03-13,36.0,1.8,71.0
2016-03-20,36.0,1.8,71.0
2016-03-27,36.0,1.8,71.0
2016-04-03,36.0,1.8,71.0
2016-04-10,36.0,1.8,71.0
2016-04-17,36.0,1.8,71.0
2016-04-24,36.0,1.8,71.0
2016-05-01,155.0,1.8,71.0
2016-05-08,192.0,1.8,71.0
2016-05-15,170.0,1.8,71.0
2016-05-22,115.0,1.8,71.0
2016-05-29,84.0,1.8,71.0
2016-06-05,,,71.0
2016-06-12,73.0,1.8,71.0
2016-06-19,37.0,1.8,71.0
2016-06-26,41.0,1.8,71.0
2016-07-03,40.0,1.8,71.0
2016-07-10,69.0,1.8,71.0
2016-07-17,138.0,1.8,71.0
2016-07-24,63.0,1.8,71.0
2016-07-31,51.0,1.8,71.0
2016-08-07,,,71.0
2016-08-14,45.0,1.8,71.0
2016-08-21,63.0,1.8,71.0
2016-08-28,63.0,1.8,71.0
2016-09-04,46.0,1.8,71.0
2016-09-11,,,71.0
2016-09-18,,,71.0
2016-09-25,36.0,1.8,71.0
2016-10-02,36.0,1.8,71.0
2016-10-09,40.0,1.8,71.0
2016-10-16,36.0,1.8,71.0
2016-10-23,36.0,1.8,71.0
2016-10-30,48.0,1.8,71.0
2016-11-06,35.0,1.8,71.0
2016-11-13,36.0,1.8,71.0
2016-11-20,36.0,1.8,71.0
2016-11-27,34.0,1.8,71.0
2016-12-04,36.0,1.8,71.0
2016-12-11,30.0,1.8,71.0
2016-12-18,,,71.0
2016-12-25,41.0,1.8,71.0
2017-01-01,34.0,1.8,71.0
2017-01-08,39.0,1.8,71.0
2017-01-15,,,71.0
2017-01-22,36.0,1.8,71.0
2017-01-29,36.0,1.8,71.0
2017-02-05,119.0,1.8,71.0
2017-02-12,,,71.0
2017-02-19,36.0,1.8,71.0
2017-02-26,48.0,1.8,71.0
2017-03-05,,,71.0
2017-03-12,38.0,1.8,71.0
2017-03-19,31.0,1.8,71.0
2017-03-26,69.0,1.8,71.0
2017-04-02,36.0,1.8,71.0
2017-04-09,36.0,1.8,71.0
2017-04-16,,,71.0
2017-04-23,112.0,1.8,71.0
2017-04-30,115.0,1.8,71.0
2017-05-07,76.5,1.8,71.0
2017-05-14,,,71.0
2017-05-21,111.0,1.8,71.0
2017-05-28,62.0,1.8,71.0
2017-06-04,86.0,1.8,71.0
2017-06-11,46.0,1.8,71.0
