Date,dsp_toxins_Mexilhão,asp_toxins_Mexilhão,psp_toxins_Mexilhão
2015-01-11,90.0,1.8,71.0
2015-01-18,45.0,1.8,71.0
2015-01-25,107.0,1.8,71.0
2015-02-01,89.0,1.8,71.0
2015-02-08,97.0,1.8,71.0
2015-02-15,92.0,1.8,71.0
2015-02-22,85.0,1.8,71.0
2015-03-01,80.0,1.8,71.0
2015-03-08,65.33333333333333,,
2015-03-15,50.66666666666667,,
2015-03-22,36.0,1.8,71.0
2015-03-29,77.0,1.8,71.0
2015-04-05,58.0,1.8,71.0
2015-04-12,70.0,102.0,71.0
2015-04-19,113.0,100.0,71.0
2015-04-26,850.0,1.8,71.0
2015-05-03,850.0,1.8,71.0
2015-05-10,850.0,1.8,71.0
2015-05-17,631.0,1.8,71.0
2015-05-24,396.0,1.8,71.0
2015-05-31,193.0,1.8,71.0
2015-06-07,130.0,1.8,71.0
2015-06-14,119.0,1.8,71.0
2015-06-21,175.0,1.8,71.0
2015-06-28,403.0,1.8,71.0
2015-07-05,298.5,,
2015-07-12,194.0,1.8,71.0
2015-07-19,128.0,1.8,71.0
2015-07-26,66.0,1.8,71.0
2015-08-02,73.0,,
2015-08-09,80.0,1.8,71.0
2015-08-16,90.0,1.8,71.0
2015-08-23,212.0,1.8,71.0
2015-08-30,239.0,,
2015-09-06,266.0,1.8,71.0
2015-09-13,219.0,1.8,71.0
2015-09-20,253.0,1.8,71.0
2015-09-27,327.0,1.8,71.0
2015-10-04,217.5,1.8,71.0
2015-10-11,985.0,1.8,71.0
2015-10-18,379.0,1.8,
2015-10-25,224.0,1.8,
2015-11-01,427.0,1.8,71.0
2015-11-08,582.0,1.8,71.0
2015-11-15,330.0,1.8,71.0
2015-11-22,330.0,1.8,71.0
2015-11-29,235.0,1.8,71.0
2015-12-06,311.0,1.8,71.0
2015-12-13,321.0,1.8,71.0
2015-12-20,289.0,1.8,71.0
2015-12-27,279.5,,
2016-01-03,270.0,1.8,71.0
2016-01-10,263.0,,
2016-01-17,256.0,1.8,71.0
2016-01-24,201.0,1.8,71.0
2016-01-31,85.0,1.8,71.0
2016-02-07,153.0,1.8,71.0
2016-02-14,76.0,1.8,71.0
2016-02-21,60.0,1.8,71.0
2016-02-28,43.0,1.8,71.0
2016-03-06,56.0,1.8,71.0
2016-03-13,158.2,,
2016-03-20,260.4,,
2016-03-27,362.6,,
2016-04-03,464.8,,
2016-04-10,567.0,1.8,71.0
2016-04-17,562.0,1.8,71.0
2016-04-24,850.0,1.8,71.0
2016-05-01,761.0,1.8,71.0
