Date,dsp_toxins_Mexilhão,asp_toxins_Mexilhão,psp_toxins_Mexilhão
2015-01-11,24.0,1.8,71.0
2015-01-18,29.0,1.8,71.0
2015-01-25,32.0,1.8,71.0
2015-02-01,36.0,1.8,71.0
2015-02-08,25.0,1.8,71.0
2015-02-15,16.0,1.8,71.0
2015-02-22,36.0,1.8,71.0
2015-03-01,36.0,1.8,71.0
2015-03-08,27.0,1.8,71.0
2015-03-15,,,71.0
2015-03-22,36.0,1.8,71.0
2015-03-29,23.0,1.8,71.0
2015-04-05,36.0,1.8,71.0
2015-04-12,42.0,1.8,71.0
2015-04-19,320.0,1.8,103.0
2015-04-26,190.0,1.8,71.0
2015-05-03,124.0,1.8,71.0
2015-05-10,64.0,1.8,503.0
2015-05-17,71.0,1.8,315.0
2015-05-24,40.0,1.8,49.0
2015-05-31,88.0,1.8,53.0
2015-06-07,,,62.0
2015-06-14,63.0,1.8,71.0
2015-06-21,117.0,1.8,71.0
2015-06-28,114.0,1.8,71.0
2015-07-05,,,71.0
2015-07-12,186.0,1.8,71.0
2015-07-19,107.0,1.8,71.0
2015-07-26,92.0,1.8,71.0
2015-08-02,99.0,1.8,71.0
2015-08-09,59.0,1.8,71.0
2015-08-16,57.0,1.8,71.0
2015-08-23,67.0,1.8,71.0
2015-08-30,44.0,1.8,71.0
2015-09-06,86.0,1.8,71.0
2015-09-13,168.0,1.8,71.0
2015-09-20,70.0,1.8,71.0
2015-09-27,149.0,1.8,71.0
2015-10-04,320.0,1.8,71.0
2015-10-11,227.0,1.8,71.0
2015-10-18,182.0,1.8,71.0
2015-10-25,359.0,1.8,71.0
2015-11-01,215.0,1.8,71.0
2015-11-08,155.0,1.8,71.0
2015-11-15,78.0,1.8,71.0
2015-11-22,,,71.0
2015-11-29,44.0,1.8,71.0
2015-12-06,44.0,1.8,71.0
2015-12-13,44.0,1.8,71.0
2015-12-20,59.0,1.8,71.0
2015-12-27,,,71.0
2016-01-03,,,71.0
2016-01-10,30.0,1.8,71.0
2016-01-17,30.0,1.8,71.0
2016-01-24,34.0,1.8,71.0
2016-01-31,36.0,1.8,71.0
2016-02-07,37.0,1.8,71.0
2016-02-14,36.0,1.8,71.0
2016-02-21,20.0,1.8,71.0
2016-02-28,36.0,1.8,71.0
2016-03-06,36.0,1.8,71.0
2016-03-13,36.0,1.8,71.0
2016-03-20,35.0,1.8,71.0
2016-03-27,38.0,1.8,71.0
2016-04-03,36.0,1.8,71.0
2016-04-10,36.0,1.8,71.0
2016-04-17,,,71.0
2016-04-24,36.0,1.8,71.0
2016-05-01,253.0,3.1,71.0
2016-05-08,580.0,1.8,71.0
2016-05-15,850.0,1.8,71.0
2016-05-22,225.0,1.8,71.0
2016-05-29,191.0,1.8,71.0
2016-06-05,151.0,1.8,71.0
2016-06-12,62.0,1.8,71.0
2016-06-19,68.0,1.8,71.0
2016-06-26,85.0,1.8,71.0
2016-07-03,137.0,1.8,71.0
2016-07-10,277.0,1.8,71.0
2016-07-17,204.0,1.8,71.0
2016-07-24,107.0,1.8,71.0
2016-07-31,,,71.0
2016-08-07,63.0,1.8,71.0
2016-08-14,123.0,1.8,71.0
2016-08-21,86.0,1.8,71.0
2016-08-28,72.0,1.8,71.0
2016-09-04,93.0,1.8,71.0
2016-09-11,47.0,1.8,71.0
2016-09-18,36.0,1.8,71.0
2016-09-25,36.0,1.8,71.0
2016-10-02,,,71.0
2016-10-09,42.0,1.8,71.0
2016-10-16,36.0,1.8,71.0
2016-10-23,,,71.0
2016-10-30,42.0,1.8,71.0
2016-11-06,,,71.0
2016-11-13,44.0,1.8,71.0
2016-11-20,36.0,1.8,71.0
2016-11-27,36.0,1.8,71.0
2016-12-04,36.0,1.8,71.0
2016-12-11,,,71.0
2016-12-18,32.0,1.8,71.0
2016-12-25,43.0,1.8,71.0
2017-01-01,,,71.0
2017-01-08,41.0,1.8,71.0
2017-01-15,,,71.0
2017-01-22,31.0,1.8,71.0
2017-01-29,36.0,1.8,71.0
2017-02-05,43.0,1.8,71.0
2017-02-12,,,71.0
2017-02-19,,,71.0
2017-02-26,36.0,1.8,71.0
2017-03-05,36.0,1.8,71.0
2017-03-12,,,71.0
2017-03-19,36.0,1.8,71.0
2017-03-26,,,71.0
2017-04-02,36.0,1.8,71.0
2017-04-09,74.0,1.8,71.0
2017-04-16,,,71.0
2017-04-23,47.5,1.8,71.0
2017-04-30,34.0,1.8,71.0
2017-05-07,36.0,1.8,71.0
2017-05-14,,,71.0
2017-05-21,47.0,1.8,71.0
2017-05-28,,,71.0
2017-06-04,47.666666666666664,1.8,71.0
2017-06-11,43.0,1.8,71.0
2017-06-18,,,71.0
2017-06-25,,,71.0
2017-07-02,51.0,1.8,71.0
2017-07-09,,,71.0
2017-07-16,,,71.0
2017-07-23,33.0,1.8,71.0
2017-07-30,68.0,1.8,71.0
2017-08-06,60.0,1.8,71.0
2017-08-13,,,71.0
2017-08-20,,,71.0
2017-08-27,54.0,1.8,71.0
2017-09-03,61.5,1.8,71.0
2017-09-10,,,71.0
2017-09-17,,,71.0
2017-09-24,,,71.0
2017-10-01,,,71.0
2017-10-08,36.0,1.8,71.0
2017-10-15,,,71.0
2017-10-22,184.0,1.8,71.0
2017-10-29,200.0,1.8,71.0
2017-11-05,,,71.0
2017-11-12,66.0,1.8,71.0
2017-11-19,61.0,1.8,71.0
2017-11-26,,,71.0
2017-12-03,,,71.0
2017-12-10,33.0,1.8,71.0
2017-12-17,36.0,1.8,71.0
2017-12-24,36.0,1.8,71.0
2017-12-31,,,71.0
2018-01-07,,,71.0
2018-01-14,,,71.0
2018-01-21,36.0,1.8,71.0
2018-01-28,,,71.0
2018-02-04,36.0,1.8,71.0
2018-02-11,36.0,1.8,71.0
2018-02-18,36.0,1.8,34.0
2018-02-25,36.0,1.8,71.0
2018-03-04,36.0,1.8,71.0
2018-03-11,,,71.0
2018-03-18,36.0,1.8,71.0
2018-03-25,36.0,1.8,71.0
2018-04-01,36.0,1.8,71.0
2018-04-08,36.0,1.8,71.0
2018-04-15,29.0,1.8,71.0
2018-04-22,36.0,1.8,71.0
2018-04-29,36.0,5.0,71.0
2018-05-06,108.0,1.8,71.0
2018-05-13,72.5,1.8,59.0
2018-05-20,85.0,1.8,71.0
2018-05-27,,,71.0
2018-06-03,36.0,1.8,71.0
2018-06-10,,,71.0
2018-06-17,36.0,1.8,71.0
2018-06-24,36.0,1.8,71.0
2018-07-01,550.0,1.8,71.0
2018-07-08,550.0,1.8,71.0
2018-07-15,550.0,1.8,71.0
2018-07-22,551.0,1.8,71.0
2018-07-29,186.0,1.8,71.0
2018-08-05,188.0,1.8,71.0
2018-08-12,219.5,1.8,71.0
2018-08-19,,,98.0
2018-08-26,204.0,1.8,125.0
2018-09-02,225.0,1.8,100.0
2018-09-09,44.0,1.8,71.0
2018-09-16,123.0,1.8,71.0
2018-09-23,48.0,1.8,71.0
2018-09-30,39.0,1.8,60.0
2018-10-07,36.0,1.8,71.0
2018-10-14,36.0,1.8,1305.0
2018-10-21,36.0,1.8,547.0
2018-10-28,20.0,1.8,443.0
2018-11-04,36.0,1.8,173.0
2018-11-11,36.0,1.8,49.0
2018-11-18,36.0,1.8,60.0
2018-11-25,36.0,1.8,37.0
2018-12-02,36.0,1.8,38.0
2018-12-09,36.0,1.8,126.0
2018-12-16,36.0,1.8,71.0
2018-12-23,36.0,1.8,41.0
2018-12-30,36.0,1.8,56.0
2019-01-06,,,37.0
2019-01-13,36.0,1.8,18.0
2019-01-20,36.0,1.8,71.0
2019-01-27,36.0,1.8,71.0
2019-02-03,36.0,1.8,71.0
2019-02-10,36.0,1.8,71.0
2019-02-17,36.0,1.8,71.0
2019-02-24,36.0,1.8,38.0
2019-03-03,36.0,1.8,75.0
2019-03-10,36.0,1.8,71.0
2019-03-17,36.0,1.8,71.0
2019-03-24,36.0,1.8,43.0
2019-03-31,36.0,4.0,41.0
2019-04-07,108.0,30.0,71.0
2019-04-14,36.0,1.8,71.0
2019-04-21,36.0,1.8,54.0
2019-04-28,36.0,1.8,71.0
2019-05-05,36.0,1.8,71.0
2019-05-12,36.0,1.8,30.0
2019-05-19,36.0,1.8,39.0
2019-05-26,86.0,1.8,71.0
2019-06-02,36.0,4.0,71.0
2019-06-09,36.0,1.8,71.0
2019-06-16,90.0,1.8,47.0
2019-06-23,125.0,1.8,59.0
2019-06-30,93.0,1.8,71.0
2019-07-07,146.0,1.8,71.0
2019-07-14,550.0,1.8,71.0
2019-07-21,212.0,5.0,71.0
2019-07-28,365.0,,71.0
2019-08-04,230.0,1.8,71.0
2019-08-11,110.0,1.8,8.0
2019-08-18,103.0,3.0,71.0
2019-08-25,36.0,1.8,71.0
2019-09-01,153.0,1.8,71.0
2019-09-08,175.0,1.8,71.0
2019-09-15,529.0,1.8,71.0
2019-09-22,322.0,1.8,36.0
2019-09-29,153.0,1.8,71.0
2019-10-06,70.0,1.8,71.0
2019-10-13,31.0,1.8,71.0
2019-10-20,56.0,1.8,71.0
2019-10-27,74.0,1.8,71.0
2019-11-03,36.0,1.8,71.0
2019-11-10,65.0,1.8,71.0
2019-11-17,36.0,1.8,71.0
2019-11-24,36.0,1.8,71.0
2019-12-01,36.0,1.8,71.0
2019-12-08,36.0,1.8,71.0
2019-12-15,36.0,1.8,71.0
2019-12-22,36.0,1.8,71.0
2019-12-29,,,71.0
2020-01-05,36.0,1.8,71.0
2020-01-12,36.0,1.8,71.0
2020-01-19,36.0,1.8,71.0
2020-01-26,36.0,1.8,71.0
2020-02-02,36.0,1.8,71.0
2020-02-09,,1.8,71.0
2020-02-16,257.0,1.8,71.0
2020-02-23,,1.8,71.0
2020-03-01,86.0,1.8,71.0
2020-03-08,36.0,1.8,71.0
2020-03-15,36.0,1.8,71.0
2020-03-22,66.0,1.8,71.0
2020-03-29,36.0,1.8,71.0
2020-04-05,36.0,1.8,71.0
2020-04-12,36.0,1.8,71.0
2020-04-19,36.0,1.8,71.0
2020-04-26,80.0,1.8,71.0
2020-05-03,36.0,1.8,71.0
2020-05-10,36.0,1.8,71.0
2020-05-17,63.0,5.0,71.0
2020-05-24,142.0,1.8,71.0
2020-05-31,36.0,1.8,71.0
2020-06-07,289.0,1.8,71.0
2020-06-14,352.0,1.8,71.0
2020-06-21,102.0,1.8,71.0
