Date,dsp_toxins_Mexilhão,asp_toxins_Mexilhão,psp_toxins_Mexilhão
2015-01-11,40.0,1.8,71.0
2015-01-18,70.0,1.8,71.0
2015-01-25,31.0,1.8,71.0
2015-02-01,23.0,1.8,71.0
2015-02-08,25.0,1.8,71.0
2015-02-15,30.5,,
2015-02-22,36.0,1.8,71.0
2015-03-01,36.0,1.8,71.0
2015-03-08,42.0,1.8,71.0
2015-03-15,28.5,,
2015-03-22,15.0,1.8,71.0
2015-03-29,36.0,1.8,71.0
2015-04-05,80.0,1.8,71.0
2015-04-12,30.0,1.8,71.0
2015-04-19,217.0,1.8,81.0
2015-04-26,192.0,1.8,71.0
2015-05-03,274.0,1.8,71.0
2015-05-10,80.0,1.8,40.0
2015-05-17,66.5,,
2015-05-24,53.0,1.8,591.0
2015-05-31,60.0,1.8,61.0
2015-06-07,132.0,1.8,71.0
2015-06-14,158.0,1.8,71.0
2015-06-21,154.0,1.8,71.0
2015-06-28,274.0,1.8,71.0
2015-07-05,549.0,1.8,71.0
2015-07-12,174.0,1.8,71.0
2015-07-19,105.0,1.8,71.0
2015-07-26,132.0,1.8,71.0
2015-08-02,112.0,1.8,71.0
2015-08-09,54.0,1.8,71.0
2015-08-16,59.0,1.8,71.0
2015-08-23,77.0,,
2015-08-30,95.0,1.8,71.0
2015-09-06,212.0,1.8,71.0
2015-09-13,234.0,1.8,71.0
2015-09-20,352.0,1.8,71.0
2015-09-27,130.0,1.8,71.0
2015-10-04,160.5,1.8,71.0
2015-10-11,742.0,1.8,71.0
2015-10-18,568.0,1.8,
2015-10-25,461.0,1.8,
2015-11-01,383.0,1.8,71.0
2015-11-08,253.5,,
2015-11-15,124.0,1.8,71.0
2015-11-22,92.0,1.8,71.0
2015-11-29,56.0,1.8,71.0
2015-12-06,50.0,,
2015-12-13,44.0,1.8,71.0
2015-12-20,44.0,,
2015-12-27,44.0,,
2016-01-03,44.0,,
2016-01-10,44.0,1.8,71.0
2016-01-17,36.0,1.8,71.0
2016-01-24,36.0,1.8,71.0
2016-01-31,36.0,1.8,121.0
2016-02-07,31.0,1.8,143.0
2016-02-14,23.0,1.8,71.0
2016-02-21,18.0,1.8,71.0
2016-02-28,36.0,1.8,71.0
2016-03-06,36.0,1.8,71.0
2016-03-13,36.0,1.8,71.0
