Date,dsp_toxins_Mexilhão,asp_toxins_Mexilhão,psp_toxins_Mexilhão
2015-01-11,15.0,1.8,71.0
2015-01-18,,1.8549019607843211,
2015-01-25,18.0,1.8,71.0
2015-02-01,17.0,1.8,71.0
2015-02-08,29.0,1.8,71.0
2015-02-15,36.0,1.8,71.0
2015-02-22,23.0,1.8,71.0
2015-03-01,36.0,1.8,71.0
2015-03-08,35.0,1.8,71.0
2015-03-15,,1.8549019607843211,
2015-03-22,17.0,1.8,71.0
2015-03-29,44.0,1.8,71.0
2015-04-05,,1.8549019607843211,
2015-04-12,75.0,1.8,71.0
2015-04-19,74.0,1.8,71.0
2015-04-26,159.0,1.8,71.0
2015-05-03,116.0,1.8,71.0
2015-05-10,61.0,1.8,25.0
2015-05-17,43.0,1.8,52.0
2015-05-24,37.0,1.8,71.0
2015-05-31,41.0,1.8,71.0
2015-06-07,68.0,1.8,71.0
2015-06-14,88.0,1.8,71.0
2015-06-21,110.0,1.8,71.0
2015-06-28,108.0,1.8,71.0
2015-07-05,166.0,1.8,71.0
2015-07-12,81.0,1.8,71.0
2015-07-19,108.0,1.8,71.0
2015-07-26,50.0,1.8,71.0
2015-08-02,76.0,1.8,71.0
2015-08-09,43.0,1.8,71.0
2015-08-16,64.0,1.8,71.0
2015-08-23,52.0,1.8,71.0
2015-08-30,75.0,1.8,71.0
2015-09-06,144.0,1.8,71.0
2015-09-13,176.0,1.8,71.0
2015-09-20,97.0,1.8,71.0
2015-09-27,117.0,1.8,71.0
2015-10-04,170.5,1.8,71.0
2015-10-11,,1.8549019607843211,
2015-10-18,302.0,1.8,
2015-10-25,341.0,1.8,
2015-11-01,204.0,1.8,71.0
2015-11-08,100.0,1.8,71.0
2015-11-15,98.0,1.8,71.0
2015-11-22,78.0,1.8,71.0
2015-11-29,68.0,1.8,71.0
2015-12-06,44.0,1.8,71.0
2015-12-13,,1.8549019607843211,
2015-12-20,44.0,1.8,71.0
2015-12-27,,1.8549019607843211,
2016-01-03,51.0,1.8,71.0
2016-01-10,,1.8549019607843211,
2016-01-17,,1.8549019607843211,
2016-01-24,36.0,1.8,71.0
2016-01-31,36.0,1.8,71.0
2016-02-07,28.0,1.8,71.0
2016-02-14,23.0,1.8,71.0
2016-02-21,16.0,1.8,71.0
2016-02-28,18.0,1.8,71.0
2016-03-06,36.0,1.8,71.0
2016-03-13,36.0,1.8,71.0
2016-03-20,36.0,1.8,71.0
2016-03-27,36.0,1.8,71.0
2016-04-03,36.0,1.8,71.0
2016-04-10,36.0,1.8,71.0
2016-04-17,,1.8549019607843211,
2016-04-24,37.0,1.8,71.0
2016-05-01,68.0,1.8,71.0
2016-05-08,231.0,1.8,71.0
2016-05-15,401.0,1.8,71.0
2016-05-22,326.0,1.8,71.0
2016-05-29,138.0,1.8,71.0
2016-06-05,,1.8549019607843211,
2016-06-12,43.0,1.8,71.0
2016-06-19,36.0,1.8,71.0
2016-06-26,46.0,1.8,71.0
2016-07-03,67.0,1.8,71.0
2016-07-10,117.0,1.8,71.0
2016-07-17,36.0,1.8,71.0
2016-07-24,89.0,1.8,71.0
2016-07-31,99.0,1.8,71.0
2016-08-07,115.0,1.8,71.0
2016-08-14,175.0,1.8,71.0
2016-08-21,103.0,1.8,71.0
2016-08-28,63.0,1.8,71.0
2016-09-04,31.0,1.8,71.0
2016-09-11,36.0,1.8,71.0
2016-09-18,36.0,1.8,71.0
2016-09-25,31.0,1.8,71.0
2016-10-02,36.0,1.8,71.0
2016-10-09,41.0,1.8,71.0
2016-10-16,38.0,1.8,71.0
2016-10-23,34.0,1.8,71.0
2016-10-30,,1.8549019607843211,
2016-11-06,54.0,1.8,71.0
2016-11-13,36.0,1.8,71.0
2016-11-20,36.0,1.8,71.0
2016-11-27,39.0,1.8,71.0
2016-12-04,36.0,1.8,71.0
2016-12-11,30.0,1.8,71.0
2016-12-18,51.0,1.8,71.0
2016-12-25,52.0,1.8,71.0
2017-01-01,36.0,1.8,71.0
2017-01-08,69.5,1.8,71.0
2017-01-15,,1.8549019607843211,
2017-01-22,30.0,1.8,71.0
2017-01-29,,1.8549019607843211,
2017-02-05,88.0,1.8,71.0
2017-02-12,,1.8549019607843211,
2017-02-19,36.0,1.8,71.0
2017-02-26,36.0,1.8,71.0
2017-03-05,,1.8549019607843211,
2017-03-12,130.0,1.8,71.0
2017-03-19,36.0,1.8,71.0
2017-03-26,40.0,1.8,71.0
