Date,dsp_toxins_Mexilhão,asp_toxins_Mexilhão,psp_toxins_Mexilhão
2015-01-11,20.0,1.8,71.0
2015-01-18,16.0,1.8,71.0
2015-01-25,36.0,1.8,71.0
2015-02-01,19.0,1.8,71.0
2015-02-08,37.0,1.8,71.0
2015-02-15,33.0,1.8,71.0
2015-02-22,,,71.0
2015-03-01,,,71.0
2015-03-08,,,71.0
2015-03-15,,,71.0
2015-03-22,32.0,1.8,71.0
2015-03-29,28.0,1.8,71.0
2015-04-05,23.0,1.8,71.0
2015-04-12,36.0,1.8,71.0
2015-04-19,45.0,1.8,71.0
2015-04-26,32.0,1.8,71.0
2015-05-03,32.0,1.8,71.0
2015-05-10,36.0,1.8,71.0
2015-05-17,30.0,1.8,71.0
2015-05-24,36.0,1.8,71.0
2015-05-31,36.0,1.8,71.0
2015-06-07,36.0,1.8,71.0
2015-06-14,122.0,1.8,71.0
2015-06-21,716.0,1.8,71.0
2015-06-28,491.0,1.8,71.0
2015-07-05,366.0,1.8,71.0
2015-07-12,531.0,1.8,71.0
2015-07-19,618.0,1.8,71.0
2015-07-26,287.0,1.8,71.0
2015-08-02,238.0,1.8,71.0
2015-08-09,200.0,1.8,71.0
2015-08-16,164.0,1.8,71.0
2015-08-23,127.0,1.8,71.0
2015-08-30,180.0,1.8,71.0
2015-09-06,142.5,1.8,71.0
2015-09-13,250.0,1.8,71.0
2015-09-20,850.0,1.8,71.0
2015-09-27,850.0,1.8,71.0
2015-10-04,,,71.0
2015-10-11,,,71.0
2015-10-18,,,71.0
2015-10-25,97.0,1.8,71.0
2015-11-01,74.0,1.8,71.0
2015-11-08,50.0,1.8,71.0
2015-11-15,44.0,1.8,71.0
2015-11-22,44.0,1.8,71.0
2015-11-29,44.0,1.8,71.0
2015-12-06,44.0,1.8,71.0
2015-12-13,44.0,1.8,71.0
2015-12-20,44.0,1.8,71.0
2015-12-27,17.0,1.8,71.0
2016-01-03,,,71.0
2016-01-10,36.0,1.8,71.0
2016-01-17,36.0,1.8,71.0
2016-01-24,36.0,1.8,71.0
2016-01-31,36.0,1.8,71.0
2016-02-07,34.0,1.8,71.0
2016-02-14,37.0,1.8,71.0
2016-02-21,64.0,1.8,71.0
2016-02-28,25.0,1.8,71.0
2016-03-06,38.0,1.8,71.0
2016-03-13,,,71.0
2016-03-20,53.0,1.8,71.0
2016-03-27,36.0,1.8,71.0
2016-04-03,77.0,1.8,71.0
2016-04-10,37.0,1.8,71.0
2016-04-17,36.0,1.8,71.0
2016-04-24,36.0,1.8,71.0
2016-05-01,209.0,1.8,71.0
2016-05-08,277.0,1.8,71.0
2016-05-15,197.0,1.8,71.0
2016-05-22,86.0,1.8,71.0
2016-05-29,186.0,1.8,71.0
2016-06-05,101.0,1.8,71.0
2016-06-12,57.0,1.8,71.0
2016-06-19,61.0,1.8,71.0
2016-06-26,85.0,1.8,71.0
2016-07-03,65.0,1.8,71.0
2016-07-10,61.0,1.8,71.0
2016-07-17,59.0,1.8,71.0
2016-07-24,63.0,1.8,71.0
2016-07-31,36.0,1.8,71.0
2016-08-07,63.0,1.8,71.0
2016-08-14,229.0,1.8,71.0
2016-08-21,193.0,1.8,71.0
2016-08-28,114.0,1.8,71.0
2016-09-04,165.0,1.8,71.0
2016-09-11,66.0,1.8,71.0
2016-09-18,44.0,1.8,71.0
2016-09-25,42.0,1.8,71.0
2016-10-02,37.0,1.8,71.0
2016-10-09,57.0,1.8,71.0
2016-10-16,120.0,1.8,71.0
2016-10-23,126.0,5.6,71.0
2016-10-30,96.0,1.8,71.0
2016-11-06,,,71.0
2016-11-13,,,71.0
2016-11-20,36.0,1.8,71.0
2016-11-27,52.0,1.8,71.0
2016-12-04,40.0,1.8,71.0
2016-12-11,,,71.0
2016-12-18,43.0,1.8,71.0
2016-12-25,36.0,1.8,71.0
2017-01-01,36.0,1.8,71.0
2017-01-08,,,71.0
2017-01-15,,,71.0
2017-01-22,36.0,1.8,71.0
2017-01-29,36.0,1.8,71.0
2017-02-05,41.0,1.8,71.0
2017-02-12,52.0,1.8,71.0
2017-02-19,36.0,1.8,71.0
2017-02-26,36.0,1.8,71.0
2017-03-05,36.0,1.8,71.0
2017-03-12,36.0,1.8,71.0
2017-03-19,36.0,1.8,71.0
2017-03-26,36.0,1.8,71.0
2017-04-02,36.0,1.8,71.0
2017-04-09,116.0,1.8,71.0
2017-04-16,,,71.0
2017-04-23,36.0,1.8,71.0
2017-04-30,36.0,1.8,71.0
2017-05-07,36.0,,71.0
2017-05-14,,,71.0
2017-05-21,130.0,1.8,71.0
2017-05-28,36.0,,71.0
2017-06-04,36.0,1.8,71.0
2017-06-11,,,71.0
2017-06-18,,,71.0
2017-06-25,56.0,1.8,71.0
2017-07-02,36.0,1.8,71.0
2017-07-09,36.0,1.8,71.0
2017-07-16,,,71.0
2017-07-23,36.0,,71.0
2017-07-30,36.0,1.8,71.0
2017-08-06,49.5,1.8,71.0
2017-08-13,,,71.0
2017-08-20,34.0,1.8,71.0
2017-08-27,36.0,1.8,71.0
2017-09-03,36.0,1.8,71.0
2017-09-10,90.0,1.8,71.0
2017-09-17,,,71.0
2017-09-24,43.0,1.8,71.0
2017-10-01,35.0,1.8,71.0
2017-10-08,36.0,1.8,71.0
2017-10-15,,,71.0
2017-10-22,86.0,1.8,71.0
2017-10-29,105.0,1.8,71.0
2017-11-05,37.0,1.8,71.0
2017-11-12,115.0,1.8,71.0
2017-11-19,17.0,1.8,71.0
2017-11-26,19.0,1.8,71.0
2017-12-03,36.0,1.8,71.0
2017-12-10,36.0,1.8,71.0
2017-12-17,36.0,1.8,71.0
2017-12-24,36.0,1.8,71.0
2017-12-31,36.0,1.8,71.0
2018-01-07,36.0,1.8,71.0
2018-01-14,36.0,1.8,71.0
2018-01-21,36.0,1.8,71.0
2018-01-28,36.0,1.8,71.0
2018-02-04,36.0,1.8,71.0
2018-02-11,36.0,1.8,71.0
2018-02-18,36.0,1.8,71.0
2018-02-25,36.0,1.8,71.0
2018-03-04,,,71.0
2018-03-11,,,71.0
2018-03-18,36.0,1.8,71.0
2018-03-25,36.0,1.8,71.0
2018-04-01,36.0,1.8,71.0
2018-04-08,36.0,1.8,71.0
2018-04-15,25.0,1.8,71.0
2018-04-22,36.0,1.8,71.0
2018-04-29,36.0,1.8,71.0
2018-05-06,36.0,1.8,71.0
2018-05-13,36.0,1.8,71.0
2018-05-20,36.0,1.8,71.0
2018-05-27,36.0,1.8,71.0
2018-06-03,36.0,1.8,71.0
2018-06-10,36.0,,71.0
2018-06-17,36.0,1.8,71.0
2018-06-24,36.0,1.8,71.0
2018-07-01,36.0,1.8,71.0
2018-07-08,36.0,1.8,71.0
2018-07-15,134.0,1.8,71.0
2018-07-22,137.0,1.8,71.0
2018-07-29,87.0,1.8,71.0
2018-08-05,101.0,1.8,71.0
2018-08-12,36.0,1.8,71.0
2018-08-19,36.0,1.8,71.0
2018-08-26,36.0,1.8,71.0
2018-09-02,36.0,1.8,71.0
2018-09-09,36.0,1.8,71.0
2018-09-16,36.0,1.8,71.0
2018-09-23,36.0,1.8,71.0
2018-09-30,36.0,1.8,72.0
2018-10-07,36.0,1.8,2400.0
2018-10-14,36.0,1.8,2400.0
2018-10-21,124.0,1.8,2400.0
2018-10-28,86.0,1.8,2400.0
2018-11-04,36.0,1.8,1974.0
2018-11-11,36.0,1.8,1457.0
2018-11-18,36.0,1.8,1421.0
2018-11-25,73.0,1.8,693.0
2018-12-02,36.0,1.8,591.0
2018-12-09,36.0,1.8,338.0
2018-12-16,36.0,1.8,227.0
2018-12-23,36.0,1.8,226.0
2018-12-30,36.0,1.8,219.0
2019-01-06,,,190.0
2019-01-13,36.0,1.8,190.0
2019-01-20,36.0,1.8,233.0
2019-01-27,36.0,1.8,213.0
2019-02-03,36.0,1.8,189.0
2019-02-10,36.0,1.8,230.0
2019-02-17,36.0,1.8,93.0
2019-02-24,36.0,1.8,164.0
2019-03-03,36.0,1.8,177.0
2019-03-10,36.0,1.8,211.0
2019-03-17,36.0,1.8,110.0
2019-03-24,36.0,1.8,290.0
2019-03-31,36.0,1.8,77.5
2019-04-07,,,219.0
2019-04-14,36.0,1.8,219.0
2019-04-21,36.0,1.8,248.0
2019-04-28,36.0,1.8,151.0
2019-05-05,36.0,1.8,171.0
2019-05-12,36.0,1.8,165.0
2019-05-19,36.0,1.8,214.0
2019-05-26,36.0,1.8,214.0
2019-06-02,36.0,1.8,235.0
2019-06-09,36.0,1.8,161.0
2019-06-16,,,166.0
2019-06-23,36.0,1.8,166.0
2019-06-30,36.0,1.8,52.0
2019-07-07,36.0,1.8,64.0
2019-07-14,177.0,1.8,71.0
2019-07-21,156.0,1.8,73.5
2019-07-28,,,71.0
2019-08-04,62.0,1.8,71.0
2019-08-11,186.0,1.8,71.0
2019-08-18,117.0,1.8,40.0
2019-08-25,149.0,1.8,38.0
2019-09-01,103.0,1.8,71.0
2019-09-08,113.0,1.8,71.0
2019-09-15,99.0,1.8,71.0
2019-09-22,85.0,1.8,35.0
2019-09-29,118.0,1.8,71.0
2019-10-06,36.0,1.8,71.0
2019-10-13,97.0,1.8,71.0
2019-10-20,115.0,1.8,71.0
2019-10-27,27.0,1.8,71.0
2019-11-03,36.0,1.8,71.0
2019-11-10,36.0,1.8,71.0
2019-11-17,36.0,1.8,71.0
2019-11-24,36.0,1.8,71.0
2019-12-01,36.0,1.8,71.0
2019-12-08,36.0,1.8,71.0
2019-12-15,36.0,1.8,71.0
2019-12-22,36.0,1.8,71.0
2019-12-29,36.0,1.8,71.0
2020-01-05,,,71.0
2020-01-12,36.0,2.0,71.0
2020-01-19,36.0,1.8,71.0
2020-01-26,36.0,1.8,71.0
2020-02-02,36.0,1.8,71.0
2020-02-09,36.0,1.8,71.0
2020-02-16,36.0,1.8,71.0
2020-02-23,,1.8,71.0
2020-03-01,36.0,1.8,71.0
2020-03-08,36.0,1.8,71.0
2020-03-15,36.0,1.8,71.0
2020-03-22,36.0,1.8,71.0
2020-03-29,63.0,1.8,71.0
2020-04-05,36.0,1.8,71.0
2020-04-12,36.0,1.8,71.0
2020-04-19,36.0,1.8,71.0
2020-04-26,36.0,1.8,71.0
