Date,dsp_toxins_Mexilhão,asp_toxins_Mexilhão,psp_toxins_Mexilhão
2015-01-11,40.0,1.8,71.0
2015-01-18,36.0,1.8,71.0
2015-01-25,32.0,1.8,71.0
2015-02-01,29.0,1.8,71.0
2015-02-08,37.0,1.8,71.0
2015-02-15,26.0,1.8,71.0
2015-02-22,28.0,1.8,71.0
2015-03-01,36.0,1.8,71.0
2015-03-08,28.0,1.8,71.0
2015-03-15,,,71.0
2015-03-22,36.0,1.8,71.0
2015-03-29,37.0,1.8,71.0
2015-04-05,33.0,1.8,71.0
2015-04-12,38.0,1.8,71.0
2015-04-19,123.0,1.8,71.0
2015-04-26,225.0,1.8,25.0
2015-05-03,76.0,1.8,71.0
2015-05-10,44.0,1.8,71.0
2015-05-17,72.0,1.8,71.0
2015-05-24,46.0,1.8,71.0
2015-05-31,133.0,1.8,71.0
2015-06-07,188.0,1.8,71.0
2015-06-14,213.0,1.8,71.0
2015-06-21,270.0,1.8,71.0
2015-06-28,164.0,1.8,71.0
2015-07-05,189.0,1.8,71.0
2015-07-12,131.0,1.8,71.0
2015-07-19,176.0,1.8,71.0
2015-07-26,102.0,1.8,71.0
2015-08-02,114.0,1.8,71.0
2015-08-09,61.0,1.8,71.0
2015-08-16,106.0,1.8,71.0
2015-08-23,248.0,1.8,71.0
2015-08-30,44.0,1.8,71.0
2015-09-06,112.5,1.8,71.0
2015-09-13,197.0,1.8,71.0
2015-09-20,199.0,1.8,71.0
2015-09-27,122.0,1.8,71.0
2015-10-04,254.0,1.8,71.0
2015-10-11,197.0,1.8,71.0
2015-10-18,240.0,1.8,71.0
2015-10-25,122.0,1.8,71.0
2015-11-01,165.0,1.8,71.0
2015-11-08,147.0,1.8,71.0
2015-11-15,44.0,1.8,71.0
2015-11-22,44.0,1.8,71.0
2015-11-29,67.0,1.8,71.0
2015-12-06,44.0,1.8,71.0
2015-12-13,44.0,1.8,71.0
2015-12-20,44.0,1.8,71.0
2015-12-27,69.0,1.8,71.0
2016-01-03,,,71.0
2016-01-10,,,71.0
2016-01-17,,,71.0
2016-01-24,36.0,1.8,71.0
2016-01-31,44.0,1.8,71.0
2016-02-07,47.0,1.8,71.0
2016-02-14,24.0,1.8,71.0
2016-02-21,32.0,1.8,71.0
2016-02-28,29.0,1.8,71.0
2016-03-06,36.0,1.8,71.0
2016-03-13,36.0,1.8,71.0
2016-03-20,36.0,1.8,71.0
2016-03-27,36.0,1.8,71.0
2016-04-03,36.0,1.8,71.0
2016-04-10,36.0,1.8,71.0
2016-04-17,36.0,1.8,71.0
2016-04-24,51.0,1.8,71.0
2016-05-01,351.0,1.8,71.0
2016-05-08,362.0,1.8,71.0
2016-05-15,682.0,1.8,71.0
2016-05-22,197.0,1.8,71.0
2016-05-29,171.0,1.8,71.0
2016-06-05,89.0,1.8,71.0
2016-06-12,48.0,1.8,71.0
2016-06-19,65.0,1.8,71.0
2016-06-26,103.0,1.8,71.0
2016-07-03,62.0,1.8,71.0
2016-07-10,143.0,1.8,71.0
2016-07-17,121.0,1.8,71.0
2016-07-24,63.0,1.8,71.0
2016-07-31,44.0,1.8,71.0
2016-08-07,63.0,1.8,71.0
2016-08-14,90.0,1.8,71.0
2016-08-21,77.0,1.8,71.0
2016-08-28,78.0,1.8,71.0
2016-09-04,38.0,1.8,71.0
2016-09-11,36.0,1.8,71.0
2016-09-18,36.0,1.8,71.0
2016-09-25,,,71.0
2016-10-02,36.0,1.8,71.0
2016-10-09,36.0,1.8,71.0
2016-10-16,34.0,1.8,71.0
2016-10-23,36.0,1.8,71.0
2016-10-30,50.0,1.8,71.0
2016-11-06,86.0,1.8,71.0
2016-11-13,55.0,1.8,71.0
2016-11-20,59.0,1.8,71.0
2016-11-27,39.0,1.8,71.0
2016-12-04,36.0,1.8,71.0
2016-12-11,30.0,1.8,71.0
2016-12-18,64.0,1.8,71.0
2016-12-25,58.0,1.8,71.0
2017-01-01,54.0,1.8,71.0
2017-01-08,66.0,1.8,71.0
2017-01-15,,,71.0
2017-01-22,32.0,1.8,71.0
2017-01-29,36.0,1.8,71.0
2017-02-05,66.5,1.8,71.0
2017-02-12,78.0,1.8,71.0
2017-02-19,36.0,1.8,71.0
2017-02-26,47.0,1.8,71.0
2017-03-05,36.0,1.8,71.0
2017-03-12,59.0,1.8,71.0
2017-03-19,36.0,1.8,71.0
2017-03-26,36.0,1.8,71.0
2017-04-02,30.0,1.8,71.0
2017-04-09,36.0,1.8,71.0
2017-04-16,,,71.0
2017-04-23,86.0,1.8,71.0
2017-04-30,173.0,1.8,71.0
2017-05-07,76.0,,71.0
2017-05-14,,,71.0
2017-05-21,46.0,1.8,71.0
2017-05-28,58.0,1.8,71.0
2017-06-04,47.666666666666664,1.8,71.0
2017-06-11,,,71.0
2017-06-18,,,71.0
2017-06-25,53.0,1.8,71.0
2017-07-02,74.0,1.8,71.0
2017-07-09,,1.8,71.0
2017-07-16,,,71.0
2017-07-23,,,71.0
2017-07-30,36.0,1.8,71.0
2017-08-06,,,71.0
2017-08-13,,,71.0
2017-08-20,110.0,1.8,71.0
2017-08-27,79.0,1.8,71.0
2017-09-03,50.0,1.8,71.0
2017-09-10,104.5,1.8,71.0
2017-09-17,,,71.0
2017-09-24,43.0,1.8,71.0
2017-10-01,43.0,1.8,71.0
2017-10-08,58.5,1.8,71.0
2017-10-15,,,71.0
2017-10-22,80.0,1.8,71.0
2017-10-29,36.0,1.8,71.0
2017-11-05,33.0,1.8,71.0
2017-11-12,46.0,1.8,71.0
2017-11-19,36.0,1.8,71.0
2017-11-26,34.0,1.8,71.0
2017-12-03,38.0,1.8,71.0
2017-12-10,36.0,1.8,71.0
2017-12-17,36.0,1.8,71.0
2017-12-24,43.0,1.8,71.0
2017-12-31,,,71.0
2018-01-07,36.0,1.8,71.0
2018-01-14,36.0,1.8,35.0
2018-01-21,36.0,1.8,34.0
2018-01-28,36.0,1.8,71.0
2018-02-04,36.0,1.8,71.0
2018-02-11,36.0,1.8,71.0
2018-02-18,36.0,1.8,71.0
2018-02-25,36.0,1.8,71.0
2018-03-04,,,71.0
2018-03-11,79.0,1.8,71.0
2018-03-18,45.0,1.8,71.0
2018-03-25,48.0,1.8,71.0
2018-04-01,36.0,1.8,71.0
2018-04-08,36.0,1.8,71.0
2018-04-15,36.0,1.8,71.0
2018-04-22,36.0,1.8,71.0
2018-04-29,36.0,1.8,71.0
2018-05-06,74.0,1.8,71.0
2018-05-13,36.0,1.8,71.0
2018-05-20,36.0,1.8,71.0
2018-05-27,87.0,1.8,71.0
2018-06-03,36.0,1.8,71.0
2018-06-10,36.0,1.8,71.0
2018-06-17,36.0,1.8,71.0
2018-06-24,36.0,1.8,71.0
2018-07-01,283.0,1.8,71.0
