Date,dsp_toxins_Mexilhão,asp_toxins_Mexilhão,psp_toxins_Mexilhão
2015-01-11,35.0,1.8,71.0
2015-01-18,54.0,1.8,71.0
2015-01-25,22.0,1.8,71.0
2015-02-01,33.0,1.8,71.0
2015-02-08,37.0,1.8,71.0
2015-02-15,34.0,1.8,71.0
2015-02-22,23.0,1.8,71.0
2015-03-01,21.0,1.8,71.0
2015-03-08,,1.8,
2015-03-15,,1.8,
2015-03-22,36.0,1.8,71.0
2015-03-29,36.0,1.8,71.0
2015-04-05,38.0,1.8,71.0
2015-04-12,23.0,1.8,71.0
2015-04-19,323.0,1.8,71.0
2015-04-26,155.0,1.8,71.0
2015-05-03,87.0,1.8,71.0
2015-05-10,77.0,1.8,71.0
2015-05-17,129.0,1.8,71.0
2015-05-24,128.0,1.8,71.0
2015-05-31,124.0,1.8,71.0
2015-06-07,74.0,1.8,71.0
2015-06-14,160.0,1.8,71.0
2015-06-21,294.0,1.8,71.0
2015-06-28,216.0,1.8,71.0
2015-07-05,237.0,1.8,71.0
2015-07-12,77.0,1.8,71.0
2015-07-19,221.0,1.8,71.0
2015-07-26,71.0,1.8,71.0
2015-08-02,131.0,1.8,71.0
2015-08-09,38.0,1.8,71.0
2015-08-16,39.0,1.8,71.0
2015-08-23,56.0,1.8,71.0
2015-08-30,44.0,1.8,71.0
2015-09-06,51.0,1.8,71.0
2015-09-13,118.0,1.8,71.0
2015-09-20,57.0,1.8,71.0
2015-09-27,132.0,1.8,71.0
2015-10-04,114.0,1.8,71.0
2015-10-11,93.0,1.8,71.0
2015-10-18,104.0,1.8,71.0
2015-10-25,88.0,1.8,
2015-11-01,83.0,1.8,71.0
2015-11-08,56.0,1.8,71.0
2015-11-15,44.0,1.8,71.0
2015-11-22,44.0,1.8,71.0
2015-11-29,,1.8,
2015-12-06,119.0,1.8,71.0
2015-12-13,44.0,1.8,71.0
2015-12-20,44.0,1.8,71.0
2015-12-27,50.0,1.8,71.0
2016-01-03,,1.8,
2016-01-10,,1.8,
2016-01-17,,1.8,
2016-01-24,36.0,1.8,71.0
2016-01-31,36.0,1.8,71.0
2016-02-07,29.0,1.8,71.0
2016-02-14,36.0,1.8,71.0
2016-02-21,36.0,1.8,71.0
2016-02-28,18.0,1.8,71.0
2016-03-06,36.0,1.8,71.0
2016-03-13,36.0,1.8,71.0
2016-03-20,36.0,1.8,71.0
2016-03-27,36.0,1.8,71.0
2016-04-03,36.0,1.8,71.0
2016-04-10,36.0,1.8,71.0
2016-04-17,36.0,1.8,71.0
2016-04-24,37.0,1.8,71.0
2016-05-01,174.0,1.8,71.0
