Date,dsp_toxins_Mexilhão,asp_toxins_Mexilhão,psp_toxins_Mexilhão
2015-01-11,27.0,1.8,71.0
2015-01-18,21.0,,
2015-01-25,15.0,1.8,71.0
2015-02-01,16.0,1.8,71.0
2015-02-08,32.0,1.8,71.0
2015-02-15,36.0,1.8,71.0
2015-02-22,24.0,1.8,71.0
2015-03-01,36.0,1.8,71.0
2015-03-08,28.0,1.8,71.0
2015-03-15,22.5,,
2015-03-22,17.0,1.8,71.0
2015-03-29,36.0,1.8,71.0
2015-04-05,36.0,1.8,71.0
2015-04-12,55.0,1.8,71.0
2015-04-19,149.0,1.8,78.0
2015-04-26,102.0,1.8,71.0
2015-05-03,101.0,1.8,71.0
2015-05-10,32.0,1.8,71.0
2015-05-17,37.0,1.8,71.0
2015-05-24,22.0,1.8,71.0
2015-05-31,20.0,1.8,71.0
2015-06-07,34.0,1.8,71.0
2015-06-14,68.0,1.8,71.0
2015-06-21,37.0,1.8,71.0
2015-06-28,43.0,1.8,71.0
2015-07-05,20.0,1.8,71.0
2015-07-12,35.0,1.8,71.0
2015-07-19,42.0,1.8,71.0
2015-07-26,17.0,1.8,71.0
2015-08-02,36.0,1.8,71.0
2015-08-09,36.0,1.8,71.0
2015-08-16,45.0,1.8,71.0
2015-08-23,36.0,1.8,71.0
2015-08-30,44.0,1.8,71.0
2015-09-06,105.0,1.8,71.0
2015-09-13,175.0,1.8,71.0
2015-09-20,207.0,1.8,71.0
2015-09-27,145.0,1.8,71.0
2015-10-04,346.0,1.8,71.0
2015-10-11,663.0,1.8,71.0
2015-10-18,495.0,1.8,
2015-10-25,275.0,1.8,
2015-11-01,216.0,1.8,71.0
2015-11-08,71.0,1.8,71.0
2015-11-15,57.5,,
2015-11-22,44.0,1.8,71.0
2015-11-29,44.0,1.8,71.0
2015-12-06,44.0,1.8,71.0
2015-12-13,44.0,,
2015-12-20,44.0,1.8,71.0
2015-12-27,44.4,,
2016-01-03,44.8,,
2016-01-10,45.2,,
2016-01-17,45.6,,
2016-01-24,46.0,1.8,71.0
2016-01-31,36.0,1.8,71.0
2016-02-07,36.0,,
2016-02-14,36.0,1.8,71.0
2016-02-21,36.0,,
2016-02-28,36.0,,
2016-03-06,36.0,1.8,71.0
2016-03-13,36.0,1.8,71.0
2016-03-20,36.0,,
2016-03-27,36.0,1.8,71.0
2016-04-03,33.5,,
2016-04-10,31.0,1.8,71.0
2016-04-17,36.0,1.8,71.0
2016-04-24,36.0,1.8,71.0
2016-05-01,122.0,1.8,71.0
2016-05-08,323.0,1.8,71.0
2016-05-15,199.0,1.8,71.0
2016-05-22,186.0,1.8,71.0
2016-05-29,205.0,1.8,71.0
2016-06-05,120.5,,
2016-06-12,36.0,1.8,71.0
2016-06-19,36.0,1.8,71.0
2016-06-26,36.0,1.8,71.0
2016-07-03,31.0,1.8,71.0
2016-07-10,151.0,1.8,71.0
2016-07-17,226.0,1.8,71.0
2016-07-24,63.0,1.8,71.0
2016-07-31,71.66666666666667,,
2016-08-07,80.33333333333333,,
2016-08-14,89.0,1.8,71.0
2016-08-21,63.0,1.8,71.0
2016-08-28,63.0,1.8,71.0
2016-09-04,49.5,,
2016-09-11,36.0,1.8,71.0
2016-09-18,36.0,1.8,71.0
2016-09-25,36.0,1.8,71.0
2016-10-02,36.0,,
2016-10-09,36.0,1.8,71.0
2016-10-16,36.0,,
2016-10-23,36.0,1.8,71.0
2016-10-30,36.0,,
2016-11-06,36.0,1.8,71.0
2016-11-13,36.0,,
2016-11-20,36.0,1.8,71.0
2016-11-27,36.0,1.8,71.0
2016-12-04,36.0,,
2016-12-11,36.0,1.8,71.0
2016-12-18,40.0,,
2016-12-25,44.0,,71.0
2017-01-01,31.0,1.8,71.0
2017-01-08,61.0,1.8,71.0
2017-01-15,48.5,,
2017-01-22,36.0,1.8,71.0
2017-01-29,47.5,,
2017-02-05,59.0,1.8,71.0
2017-02-12,47.5,,
2017-02-19,36.0,1.8,71.0
2017-02-26,150.33333333333331,,
2017-03-05,264.66666666666663,,
2017-03-12,379.0,1.8,71.0
2017-03-19,219.0,,
2017-03-26,59.0,1.8,71.0
2017-04-02,54.5,,
2017-04-09,50.0,1.8,71.0
2017-04-16,110.5,,
2017-04-23,171.0,1.8,71.0
2017-04-30,84.0,1.8,71.0
2017-05-07,75.0,,
2017-05-14,66.0,1.8,71.0
2017-05-21,52.0,1.8,71.0
2017-05-28,66.5,,
2017-06-04,81.0,1.8,
2017-06-11,52.0,1.8,
2017-06-18,54.0,1.8,
2017-06-25,56.0,1.8,71.0
2017-07-02,42.5,1.8,71.0
2017-07-09,49.0,1.8,71.0
2017-07-16,48.0,,
2017-07-23,47.0,,
2017-07-30,46.0,1.8,71.0
2017-08-06,62.0,,
2017-08-13,78.0,,
2017-08-20,94.0,1.8,71.0
2017-08-27,224.0,1.8,71.0
2017-09-03,133.0,,
2017-09-10,42.0,1.8,71.0
2017-09-17,47.0,1.8,71.0
2017-09-24,58.0,,
2017-10-01,69.0,1.8,71.0
2017-10-08,97.0,,
2017-10-15,125.0,1.8,71.0
2017-10-22,95.33333333333333,,
2017-10-29,65.66666666666666,,
2017-11-05,36.0,1.8,71.0
2017-11-12,49.5,1.8,71.0
2017-11-19,58.25,,
2017-11-26,67.0,1.8,71.0
2017-12-03,56.0,,
2017-12-10,45.0,1.8,71.0
2017-12-17,39.0,,
2017-12-24,33.0,,
2017-12-31,27.0,1.8,71.0
2018-01-07,31.5,,
2018-01-14,36.0,1.8,71.0
2018-01-21,36.0,1.8,71.0
2018-01-28,36.0,1.8,71.0
2018-02-04,36.0,1.8,71.0
2018-02-11,36.0,,
2018-02-18,36.0,1.8,18.0
2018-02-25,36.0,1.8,71.0
2018-03-04,36.0,,
2018-03-11,36.0,1.8,71.0
2018-03-18,36.0,1.8,71.0
2018-03-25,36.0,,
2018-04-01,36.0,1.8,71.0
2018-04-08,36.0,1.8,71.0
2018-04-15,36.0,1.8,71.0
2018-04-22,36.0,1.8,71.0
2018-04-29,36.0,1.8,71.0
2018-05-06,531.0,1.8,71.0
2018-05-13,259.0,1.8,71.0
2018-05-20,36.0,1.8,71.0
2018-05-27,36.0,1.8,71.0
2018-06-03,36.0,1.8,71.0
2018-06-10,36.0,1.8,71.0
2018-06-17,36.0,1.8,71.0
2018-06-24,36.0,1.8,71.0
2018-07-01,213.0,1.8,71.0
2018-07-08,464.0,1.8,71.0
2018-07-15,341.0,,
2018-07-22,218.0,1.8,71.0
2018-07-29,279.0,1.8,71.0
2018-08-05,727.0,1.8,71.0
2018-08-12,366.0,1.8,71.0
2018-08-19,234.0,1.8,71.0
2018-08-26,154.0,1.8,4.0
2018-09-02,60.0,1.8,71.0
2018-09-09,132.0,1.8,71.0
2018-09-16,128.0,1.8,71.0
2018-09-23,198.0,1.8,71.0
2018-09-30,36.0,1.8,71.0
2018-10-07,97.0,1.8,2259.0
2018-10-14,36.0,1.8,71.0
2018-10-21,36.0,1.8,71.0
2018-10-28,36.0,1.8,71.0
2018-11-04,36.0,1.8,71.0
2018-11-11,36.0,1.8,71.0
2018-11-18,36.0,1.8,71.0
2018-11-25,28.0,1.8,71.0
2018-12-02,36.0,1.8,71.0
2018-12-09,36.0,1.8,71.0
2018-12-16,36.0,1.8,71.0
2018-12-23,72.5,,
2018-12-30,109.0,1.8,71.0
2019-01-06,72.5,,
2019-01-13,36.0,1.8,30.0
2019-01-20,57.0,,
2019-01-27,78.0,1.8,87.0
2019-02-03,36.0,1.8,71.0
2019-02-10,36.0,1.8,71.0
2019-02-17,36.0,1.8,71.0
2019-02-24,36.0,1.8,69.0
2019-03-03,36.0,1.8,71.0
2019-03-10,154.0,1.8,71.0
2019-03-17,36.0,2.0,71.0
2019-03-24,120.0,1.8,71.0
2019-03-31,191.0,,71.0
2019-04-07,185.0,,
2019-04-14,179.0,1.8,71.0
2019-04-21,87.0,1.8,71.0
2019-04-28,63.0,1.8,71.0
2019-05-05,36.0,1.8,71.0
2019-05-12,456.0,1.8,
2019-05-19,190.0,1.8,
2019-05-26,217.0,1.8,
2019-06-02,36.0,1.8,
2019-06-09,63.0,1.8,
2019-06-16,86.0,1.8,
2019-06-23,36.0,1.8,
2019-06-30,36.0,1.8,
2019-07-07,36.0,1.8,71.0
2019-07-14,36.0,1.8,
2019-07-21,36.0,1.8,71.0
2019-07-28,73.0,1.8,71.0
2019-08-04,36.0,1.8,71.0
2019-08-11,36.0,1.8,71.0
2019-08-18,36.0,1.8,71.0
2019-08-25,152.0,1.8,71.0
2019-09-01,94.0,,
2019-09-08,36.0,1.8,71.0
2019-09-15,107.0,1.8,71.0
2019-09-22,24.0,1.8,71.0
2019-09-29,64.0,,
2019-10-06,104.0,1.8,71.0
2019-10-13,78.0,1.8,71.0
2019-10-20,36.0,1.8,71.0
2019-10-27,369.0,1.8,71.0
2019-11-03,224.5,,
2019-11-10,80.0,,71.0
2019-11-17,36.0,1.8,71.0
2019-11-24,36.0,1.8,
2019-12-01,36.0,1.8,
2019-12-08,36.0,1.8,
2019-12-15,36.0,1.8,
2019-12-22,36.0,1.8,
2019-12-29,36.0,,
2020-01-05,36.0,1.8,
2020-01-12,91.0,,
2020-01-19,146.0,1.8,
2020-01-26,199.0,,
2020-02-02,252.0,1.8,
2020-02-09,197.0,,
2020-02-16,142.0,1.8,
2020-02-23,352.0,1.8,
2020-03-01,352.0,1.8,
2020-03-08,61.0,1.8,71.0
2020-03-15,90.0,1.8,71.0
2020-03-22,91.5,,
2020-03-29,93.0,1.8,71.0
2020-04-05,76.0,,
2020-04-12,59.0,1.8,71.0
2020-04-19,47.5,,
2020-04-26,36.0,1.8,71.0
2020-05-03,50.0,,
2020-05-10,64.0,1.8,71.0
2020-05-17,63.0,3.0,71.0
2020-05-24,36.0,1.8,71.0
2020-05-31,87.0,1.8,71.0
2020-06-07,292.0,1.8,71.0
2020-06-14,416.0,1.8,71.0
2020-06-21,226.0,1.8,71.0
2020-06-28,36.0,1.8,71.0
2020-07-05,36.0,1.8,71.0
2020-07-12,78.0,1.8,71.0
2020-07-19,276.0,1.8,71.0
2020-07-26,84.0,1.8,
2020-08-02,68.0,,
2020-08-09,52.0,,
2020-08-16,36.0,,
2020-08-23,57.5,,
2020-08-30,79.0,,
2020-09-06,57.33333333333333,,
2020-09-13,35.666666666666664,,
2020-09-20,14.0,,
2020-09-27,146.0,1.8,
2020-10-04,96.0,1.8,
2020-10-11,75.0,1.8,
2020-10-18,55.5,1.8,
2020-10-25,36.0,1.8,
2020-11-01,134.0,1.8,
2020-11-08,36.0,1.8,
2020-11-15,151.0,1.8,
2020-11-22,36.0,1.8,71.0
2020-11-29,101.0,1.8,71.0
2020-12-06,77.0,1.8,71.0
2020-12-13,36.0,,
2020-12-20,36.0,1.8,
2020-12-27,36.0,,
2021-01-03,36.0,1.8,
