Date,dsp_toxins_Berbigão,asp_toxins_Berbigão,psp_toxins_Berbigão,dsp_toxins_Mexilhão,asp_toxins_Mexilhão,psp_toxins_Mexilhão
2015-01-11,26.0,1.8,71.0,49.0,1.8,71.0
2015-01-18,43.0,1.8,71.0,73.0,1.8,71.0
2015-01-25,19.0,1.8,71.0,58.0,1.8,71.0
2015-02-01,18.0,1.8,71.0,49.0,1.8,71.0
2015-02-08,34.5,1.8,71.0,68.0,1.8,71.0
2015-02-15,36.0,1.8,71.0,50.0,1.8,71.0
2015-02-22,36.0,1.8,71.0,45.0,1.8,71.0
2015-03-01,36.0,1.8,71.0,36.0,1.8,71.0
2015-03-08,,,,36.0,,
2015-03-15,,,,36.0,,
2015-03-22,36.0,1.8,71.0,36.0,1.8,71.0
2015-03-29,22.0,1.8,71.0,27.0,1.8,71.0
2015-04-05,36.0,1.8,71.0,24.0,1.8,71.0
2015-04-12,36.0,62.0,71.0,61.0,32.0,71.0
2015-04-19,34.0,12.0,71.0,65.0,3.0,71.0
2015-04-26,366.0,1.8,71.0,186.0,1.8,71.0
2015-05-03,110.0,1.8,71.0,199.0,1.8,71.0
2015-05-10,41.0,1.8,71.0,139.0,1.8,71.0
2015-05-17,551.0,1.8,71.0,775.0,1.8,71.0
2015-05-24,124.0,1.8,71.0,284.0,1.8,71.0
2015-05-31,22.0,1.8,71.0,125.0,1.8,
2015-06-07,25.0,1.8,71.0,96.0,1.8,71.0
2015-06-14,87.0,1.8,71.0,85.0,1.8,71.0
2015-06-21,148.0,1.8,71.0,127.0,1.8,71.0
2015-06-28,134.0,1.8,71.0,341.0,1.8,71.0
2015-07-05,36.0,1.8,71.0,237.0,1.8,71.0
2015-07-12,71.0,1.8,71.0,82.0,1.8,71.0
2015-07-19,36.0,1.8,71.0,67.0,1.8,71.0
2015-07-26,158.0,1.8,71.0,124.0,1.8,71.0
2015-08-02,58.0,6.0,71.0,187.0,1.8,71.0
2015-08-09,227.0,9.0,71.0,435.0,1.8,71.0
2015-08-16,193.0,1.8,71.0,567.0,1.8,71.0
2015-08-23,29.0,1.8,71.0,432.0,1.8,71.0
2015-08-30,134.0,1.8,71.0,270.0,1.8,71.0
2015-09-06,214.0,1.8,71.0,405.5,1.8,71.0
2015-09-13,123.0,1.8,71.0,503.0,1.8,71.0
2015-09-20,77.0,,,301.0,1.8,71.0
2015-09-27,87.0,1.8,71.0,409.0,1.8,71.0
2015-10-04,83.0,1.8,71.0,251.0,1.8,71.0
2015-10-11,18.0,1.8,71.0,202.0,1.8,71.0
2015-10-18,44.0,1.8,,170.0,1.8,
2015-10-25,108.0,1.8,,314.0,1.8,
2015-11-01,77.0,1.8,71.0,189.0,1.8,71.0
2015-11-08,97.0,1.8,71.0,342.0,1.8,71.0
2015-11-15,76.0,1.8,71.0,237.0,1.8,71.0
2015-11-22,44.0,1.8,71.0,219.0,1.8,344.0
2015-11-29,44.0,1.8,71.0,179.0,1.8,894.0
2015-12-06,44.0,1.8,71.0,155.0,1.8,570.0
2015-12-13,44.0,1.8,71.0,75.0,1.8,143.0
2015-12-20,44.0,1.8,71.0,44.0,1.8,151.0
2015-12-27,16.0,1.8,71.0,122.0,1.8,71.0
2016-01-03,29.0,1.8,71.0,118.0,1.8,71.0
2016-01-10,,,,61.0,1.8,71.0
2016-01-17,36.0,1.8,71.0,49.0,1.8,71.0
2016-01-24,36.0,1.8,71.0,41.0,1.8,71.0
2016-01-31,36.0,1.8,71.0,64.0,1.8,71.0
2016-02-07,29.0,1.8,71.0,61.0,1.8,71.0
2016-02-14,36.0,1.8,71.0,18.0,1.8,71.0
2016-02-21,42.0,1.8,71.0,58.0,1.8,71.0
2016-02-28,36.0,1.8,71.0,28.0,1.8,71.0
2016-03-06,36.0,1.8,71.0,51.0,1.8,71.0
2016-03-13,36.0,1.8,71.0,42.0,1.8,71.0
