Date,dsp_toxins_Mexilhão,asp_toxins_Mexilhão,psp_toxins_Mexilhão
2015-01-11,49.0,1.8,71.0
2015-01-18,29.0,1.8,71.0
2015-01-25,47.0,1.8,71.0
2015-02-01,31.0,1.8,71.0
2015-02-08,30.0,1.8,71.0
2015-02-15,23.0,1.8,71.0
2015-02-22,21.0,1.8,71.0
2015-03-01,17.0,1.8,71.0
2015-03-08,,,71.0
2015-03-15,,,71.0
2015-03-22,36.0,1.8,71.0
2015-03-29,29.0,1.8,71.0
2015-04-05,33.0,1.8,71.0
2015-04-12,32.0,1.8,71.0
2015-04-19,248.0,1.8,71.0
2015-04-26,111.0,1.8,71.0
2015-05-03,95.0,1.8,71.0
2015-05-10,71.0,1.8,71.0
2015-05-17,76.0,1.8,71.0
2015-05-24,104.0,1.8,71.0
2015-05-31,82.0,1.8,71.0
2015-06-07,149.0,1.8,71.0
2015-06-14,189.0,1.8,71.0
2015-06-21,154.0,1.8,71.0
2015-06-28,212.0,1.8,71.0
2015-07-05,295.0,1.8,71.0
2015-07-12,137.0,1.8,71.0
2015-07-19,89.0,1.8,71.0
2015-07-26,153.0,1.8,71.0
2015-08-02,90.0,1.8,71.0
2015-08-09,51.0,1.8,71.0
2015-08-16,184.0,1.8,71.0
2015-08-23,228.0,1.8,71.0
2015-08-30,176.0,1.8,71.0
2015-09-06,150.5,1.8,71.0
2015-09-13,211.0,1.8,71.0
2015-09-20,79.0,1.8,71.0
2015-09-27,107.0,1.8,71.0
2015-10-04,244.0,,71.0
2015-10-11,330.0,1.8,71.0
2015-10-18,126.0,1.8,71.0
2015-10-25,142.0,1.8,71.0
2015-11-01,121.0,1.8,71.0
2015-11-08,81.0,1.8,71.0
2015-11-15,66.0,1.8,71.0
2015-11-22,44.0,1.8,71.0
2015-11-29,44.0,1.8,71.0
2015-12-06,44.0,1.8,71.0
2015-12-13,44.0,1.8,71.0
2015-12-20,66.0,1.8,71.0
2015-12-27,65.0,1.8,71.0
2016-01-03,,,71.0
2016-01-10,,,71.0
2016-01-17,,,71.0
2016-01-24,30.0,1.8,71.0
2016-01-31,41.0,1.8,71.0
2016-02-07,37.0,1.8,71.0
2016-02-14,21.0,1.8,71.0
2016-02-21,28.0,1.8,71.0
2016-02-28,16.0,1.8,71.0
2016-03-06,36.0,1.8,71.0
2016-03-13,36.0,1.8,71.0
2016-03-20,36.0,1.8,71.0
2016-03-27,36.0,1.8,71.0
2016-04-03,36.0,1.8,71.0
2016-04-10,36.0,1.8,71.0
2016-04-17,36.0,1.8,71.0
2016-04-24,39.0,1.8,71.0
2016-05-01,354.0,1.8,71.0
2016-05-08,771.0,1.8,71.0
2016-05-15,548.0,1.8,71.0
2016-05-22,193.0,1.8,71.0
2016-05-29,114.0,,71.0
2016-06-05,68.0,1.8,71.0
2016-06-12,63.0,1.8,71.0
2016-06-19,59.0,1.8,71.0
2016-06-26,58.0,1.8,71.0
2016-07-03,100.0,1.8,71.0
2016-07-10,225.0,1.8,71.0
2016-07-17,174.0,1.8,71.0
2016-07-24,74.0,1.8,71.0
2016-07-31,78.0,1.8,71.0
2016-08-07,73.0,1.8,71.0
2016-08-14,92.0,1.8,71.0
2016-08-21,,,71.0
2016-08-28,63.0,1.8,71.0
2016-09-04,58.0,1.8,71.0
2016-09-11,36.0,1.8,71.0
2016-09-18,36.0,1.8,71.0
2016-09-25,36.0,1.8,71.0
2016-10-02,41.0,1.8,71.0
2016-10-09,53.0,1.8,71.0
2016-10-16,86.0,1.8,71.0
2016-10-23,71.0,1.8,71.0
2016-10-30,,,71.0
2016-11-06,108.0,1.8,71.0
2016-11-13,137.0,1.8,71.0
2016-11-20,54.0,1.8,71.0
2016-11-27,38.0,1.8,71.0
2016-12-04,31.0,1.8,71.0
2016-12-11,69.0,1.8,71.0
2016-12-18,,,71.0
2016-12-25,36.0,1.8,71.0
2017-01-01,42.0,1.8,71.0
2017-01-08,,,71.0
2017-01-15,,,71.0
2017-01-22,39.0,1.8,71.0
