Date,dsp_toxins,dsp_phyto,mean_sst,mean_chl,mean_temp,max_temp,min_temp,rainfall
2015-01-11,27.0,20.0,289.3599853515625,1.212649941444397,6.342857142857143,18.25714285714286,-1.728571428571428,0.04285714285714286
2015-01-18,21.0,20.0,288.76890563964844,1.1532231171925862,8.532142857142858,16.014285714285712,8.687852119750856,1.3104156577885397
2015-01-25,15.0,20.0,288.1778259277344,1.064882516860962,9.9,15.81428571428571,4.57142857142857,2.142857142857143
2015-02-01,16.0,20.0,287.8207092285156,1.1821368932724,9.885714285714286,15.94285714285714,4.057142857142858,1.085714285714286
2015-02-08,32.0,20.0,287.0314331054688,1.677683591842651,8.0,14.14285714285714,1.357142857142857,0.8285714285714284
2015-02-15,36.0,20.0,287.1042785644531,2.131561279296875,10.2,15.91428571428571,4.557142857142858,7.72857142857143
2015-02-22,24.0,20.0,287.1185607910156,1.787476420402527,11.08571428571429,17.45714285714286,5.471428571428572,0.5857142857142856
2015-03-01,36.0,20.0,286.9078369140625,2.196681499481201,11.86666666666667,16.7,5.514285714285713,0.15
2015-03-08,28.0,20.0,287.287841796875,4.267727375030518,12.31428571428571,21.01428571428571,5.214285714285715,0.0
2015-03-15,22.5,20.0,287.3185577392578,2.996810030937195,11.907482993197277,18.298412698412697,8.687852119750856,1.3104156577885397
2015-03-22,17.0,40.0,287.3492736816406,1.876724720001221,11.07142857142857,17.71428571428572,4.857142857142857,2.385714285714286
2015-03-29,36.0,20.0,287.5435791015625,4.855440139770508,12.1,17.97142857142857,5.471428571428571,1.2
2015-04-05,36.0,20.0,288.375,10.51025009155273,14.71428571428571,24.08571428571429,6.971428571428571,0.01428571428571429
2015-04-12,55.0,20.0,288.5135498046875,4.116505146026611,14.52857142857143,19.68571428571429,9.799999999999999,2.328571428571429
2015-04-19,149.0,200.0,289.2271423339844,11.75294208526611,14.3,20.48571428571428,6.585714285714285,0.5833333333333334
2015-04-26,102.0,20.0,289.2714233398438,6.714277267456055,14.8,20.98571428571429,7.971428571428571,1.216666666666667
2015-05-03,101.0,20.0,289.6164245605469,13.13974571228027,15.45714285714286,22.1,8.614285714285714,0.08
2015-05-10,32.0,20.0,289.6892700195312,13.01084613800049,16.17142857142857,23.54285714285714,7.942857142857142,0.0
2015-05-17,37.0,40.0,290.5835571289062,0.9572567939758301,18.72857142857143,28.55714285714286,10.45714285714286,0.0
2015-05-24,22.0,20.0,290.8592834472656,1.842383742332458,16.48571428571429,24.31428571428572,8.22857142857143,0.0
2015-05-31,20.0,20.0,292.4499816894531,1.613612413406372,17.24285714285714,25.18571428571429,8.742857142857144,0.0
2015-06-07,34.0,60.0,293.1864013671875,2.169194221496582,18.88571428571429,27.27142857142857,10.38571428571428,0.0
2015-06-14,68.0,100.0,293.3621215820312,0.4961453974246979,18.52857142857143,25.12857142857143,12.58333333333333,0.05000000000000001
2015-06-21,37.0,17920.0,293.2478332519531,1.417419075965881,20.0,27.74285714285714,12.12857142857143,0.05714285714285715
2015-06-28,43.0,20.0,293.5335693359375,1.966256618499756,19.82857142857143,27.94285714285714,11.64285714285714,0.0
2015-07-05,20.0,58930.0,294.2078552246094,0.9580569863319397,19.65714285714286,25.77142857142857,12.97142857142857,0.0
2015-07-12,35.0,20.0,293.9335632324219,1.1186283826828,19.81428571428571,25.71428571428572,13.8,0.0
2015-07-19,42.0,20.0,293.6257019042969,1.397807002067566,21.0,27.55714285714286,15.8,0.02857142857142857
2015-07-26,17.0,20.0,293.8242797851562,5.926578998565674,20.81428571428572,26.72857142857143,14.72857142857143,0.0
2015-08-02,36.0,20.0,292.3706970214844,16.56296730041504,21.18571428571428,27.15714285714285,15.58571428571429,0.1285714285714286
2015-08-09,36.0,20.0,292.0464172363281,3.651949882507324,20.54285714285714,28.28571428571428,13.71428571428571,0.0
2015-08-16,45.0,40.0,292.1364135742188,3.018527030944824,19.87142857142857,26.0,14.4,0.0
2015-08-23,36.0,40.0,292.0857238769531,9.125409126281738,19.78571428571428,27.12857142857143,13.05714285714286,0.01428571428571429
2015-08-30,44.0,20.0,292.412841796875,9.748497009277344,21.17142857142857,28.91428571428571,13.75714285714286,0.0
2015-09-06,105.0,40.0,291.8678588867188,12.04731273651123,18.51428571428571,25.12857142857143,12.35714285714286,0.0
2015-09-13,175.0,4600.0,292.0535583496094,11.36770725250244,17.97142857142857,26.2,9.814285714285715,0.09999999999999999
2015-09-20,207.0,180.0,292.0906982421875,23.24642181396484,18.04285714285714,25.91428571428571,9.514285714285714,1.171428571428571
2015-09-27,145.0,20.0,291.9057312011719,12.1952428817749,17.51428571428571,25.1,10.55714285714286,0.0
2015-10-04,346.0,1780.0,292.3185729980469,4.127400875091553,18.87142857142857,28.18571428571429,11.62857142857143,0.4166666666666667
2015-10-11,663.0,2000.0,292.8014221191406,3.168200731277466,17.82857142857143,24.17142857142857,12.17142857142857,2.271428571428571
2015-10-18,495.0,800.0,292.3535766601562,2.370216369628906,18.1,24.28571428571428,12.65714285714286,2.771428571428571
2015-10-25,275.0,160.0,292.6706848144531,3.006042718887329,17.64285714285714,23.65714285714285,12.72857142857143,5.816666666666666
2015-11-01,216.0,200.0,293.0371398925781,2.542846441268921,15.82857142857143,21.1,11.18571428571429,13.95714285714286
2015-11-08,71.0,20.0,292.6478576660156,5.226276874542236,16.61428571428572,22.84285714285715,11.01428571428571,3.357142857142857
2015-11-15,57.5,20.0,292.543212890625,5.331424522399902,14.257142857142858,22.233928571428574,8.687852119750856,1.3104156577885397
2015-11-22,44.0,420.0,292.4385681152344,7.445993900299072,10.65714285714286,21.01428571428572,2.957142857142858,0.5428571428571428
2015-11-29,44.0,20.0,291.3792724609375,8.435962677001953,9.357142857142858,19.05714285714286,1.185714285714285,0.01666666666666667
2015-12-06,44.0,20.0,290.9207153320312,2.469771862030029,11.6,21.74285714285714,3.9,0.04285714285714286
