Date,dsp_phyto,asp_phyto,psp_phyto
2014-11-09,30.0,20.0,20.0
2014-11-16,20.0,2650.0,20.0
2014-11-23,20.0,20.0,20.0
2014-11-30,20.0,20.0,20.0
2014-12-07,20.0,999.0,20.0
2014-12-14,20.0,20.0,20.0
2014-12-21,20.0,20.0,20.0
2014-12-28,,,20.0
2015-01-04,20.0,3411.0,20.0
2015-01-11,20.0,2283.5,90.0
2015-01-18,20.0,20.0,140.0
2015-01-25,20.0,20.0,110.0
2015-02-01,20.0,20.0,20.0
2015-02-08,20.0,20.0,20.0
2015-02-15,20.0,1330.0,20.0
2015-02-22,20.0,2650.0,20.0
2015-03-01,20.0,1330.0,20.0
2015-03-08,20.0,20.0,20.0
2015-03-15,20.0,20.0,20.0
2015-03-22,20.0,9672.5,20.0
2015-03-29,20.0,16500.0,20.0
2015-04-05,,,20.0
2015-04-12,20.0,2810.0,30.0
2015-04-19,20.0,2568.0,50.0
2015-04-26,30.0,5620.0,20.0
2015-05-03,20.0,20.0,20.0
2015-05-10,30.0,20.0,20.0
2015-05-17,20.0,20.0,20.0
2015-05-24,20.0,20.0,20.0
2015-05-31,20.0,20.0,20.0
2015-06-07,20.0,20.0,60.0
2015-06-14,40.0,1999.5,130.0
2015-06-21,20.0,20.0,20.0
2015-06-28,5297.0,7925.5,20.0
2015-07-05,20.0,20.0,20.0
2015-07-12,20.0,5693.5,20.0
2015-07-19,20.0,1323.5,20.0
2015-07-26,20.0,19894.0,20.0
2015-08-02,20.0,14504.5,20.0
2015-08-09,20.0,17915.0,210.0
2015-08-16,20.0,20.0,30.0
2015-08-23,20.0,1990.0,20.0
2015-08-30,30.0,2850.0,30.0
2015-09-06,1760.0,20.0,20.0
2015-09-13,,,20.0
2015-09-20,40.0,3989.0,20.0
2015-09-27,80.0,20.0,20.0
2015-10-04,20.0,1777.0,210.0
2015-10-11,30.0,795.5,20.0
2015-10-18,30.0,1147.0,20.0
2015-10-25,20.0,1423.5,20.0
2015-11-01,20.0,20.0,20.0
2015-11-08,20.0,20.0,20.0
2015-11-15,20.0,1777.0,20.0
2015-11-22,30.0,20.0,30.0
2015-11-29,20.0,20.0,20.0
2015-12-06,20.0,10657.0,20.0
2015-12-13,20.0,1777.0,20.0
2015-12-20,20.0,2484.0,20.0
2015-12-27,20.0,20.0,20.0
2016-01-03,,,20.0
2016-01-10,20.0,20.0,20.0
2016-01-17,20.0,20.0,20.0
2016-01-24,20.0,20.0,50.0
2016-01-31,150.0,20.0,30.0
2016-02-07,20.0,9517.0,20.0
2016-02-14,20.0,1235.0,50.0
2016-02-21,20.0,10618.0,20.0
2016-02-28,30.0,3277.0,20.0
2016-03-06,60.0,1702.5,20.0
2016-03-13,20.0,3685.5,20.0
2016-03-20,20.0,2970.0,20.0
2016-03-27,20.0,4094.5,20.0
2016-04-03,40.0,20.0,20.0
2016-04-10,20.0,14712.5,20.0
2016-04-17,20.0,39615.0,20.0
2016-04-24,20.0,64537.0,20.0
2016-05-01,20.0,3351.5,20.0
2016-05-08,140.0,20.0,20.0
2016-05-15,20.0,20.0,110.0
2016-05-22,20.0,7769.5,30.0
2016-05-29,30.0,2544.0,20.0
2016-06-05,20.0,1866.5,20.0
2016-06-12,20.0,4810.0,30.0
2016-06-19,20.0,3210.0,20.0
2016-06-26,20.0,5498.0,20.0
2016-07-03,20.0,20.0,20.0
2016-07-10,20.0,830.0,20.0
2016-07-17,20.0,20.0,20.0
2016-07-24,20.0,20.0,20.0
2016-07-31,40.0,1600.0,20.0
2016-08-07,50.0,20.0,20.0
2016-08-14,20.0,20.0,20.0
2016-08-21,,,20.0
2016-08-28,20.0,6410.0,20.0
2016-09-04,20.0,20.0,20.0
2016-09-11,60.0,20.0,20.0
2016-09-18,20.0,20.0,20.0
2016-09-25,20.0,1210.0,20.0
2016-10-02,20.0,20.0,20.0
2016-10-09,20.0,15210.0,20.0
2016-10-16,30.0,1610.0,20.0
2016-10-23,30.0,20.0,20.0
2016-10-30,20.0,20.0,20.0
2016-11-06,20.0,2470.0,20.0
2016-11-13,20.0,20.0,20.0
2016-11-20,20.0,20.0,20.0
2016-11-27,20.0,20.0,20.0
2016-12-04,30.0,2010.0,20.0
2016-12-11,20.0,20.0,20.0
2016-12-18,20.0,6010.0,20.0
2016-12-25,20.0,3280.0,20.0
2017-01-01,30.0,20.0,20.0
2017-01-08,20.0,20.0,20.0
2017-01-15,670.0,20.0,30.0
2017-01-22,3610.0,4520.0,20.0
2017-01-29,20.0,20.0,20.0
2017-02-05,20.0,20.0,20.0
2017-02-12,20.0,20.0,20.0
2017-02-19,20.0,20.0,20.0
2017-02-26,20.0,20.0,20.0
2017-03-05,20.0,20.0,20.0
2017-03-12,80.0,3200.0,20.0
2017-03-19,20.0,3290.0,20.0
2017-03-26,20.0,5610.0,20.0
2017-04-02,20.0,20.0,20.0
2017-04-09,20.0,51200.0,20.0
2017-04-16,30.0,3610.0,170.0
2017-04-23,20.0,4410.0,20.0
2017-04-30,40.0,20.0,20.0
2017-05-07,20.0,1610.0,20.0
2017-05-14,20.0,20.0,20.0
2017-05-21,30.0,20.0,20.0
2017-05-28,20.0,20.0,20.0
2017-06-04,,,20.0
2017-06-11,20.0,20.0,20.0
2017-06-18,20.0,6400.0,20.0
2017-06-25,20.0,20.0,20.0
2017-07-02,20.0,20.0,20.0
2017-07-09,20.0,20.0,20.0
2017-07-16,20.0,20.0,20.0
2017-07-23,20.0,20.0,20.0
2017-07-30,20.0,20.0,20.0
2017-08-06,20.0,2010.0,20.0
2017-08-13,20.0,7610.0,20.0
2017-08-20,20.0,38540.0,20.0
2017-08-27,20.0,16810.0,20.0
2017-09-03,20.0,24000.0,20.0
2017-09-10,40.0,20.0,20.0
2017-09-17,40.0,20.0,20.0
2017-09-24,20.0,9210.0,20.0
2017-10-01,20.0,33600.0,20.0
2017-10-08,20.0,3210.0,20.0
2017-10-15,180.0,1610.0,20.0
2017-10-22,110.0,20.0,20.0
2017-10-29,30.0,20.0,20.0
2017-11-05,20.0,20.0,20.0
2017-11-12,20.0,20.0,20.0
2017-11-19,20.0,20.0,20.0
2017-11-26,20.0,20.0,20.0
2017-12-03,20.0,20.0,20.0
2017-12-10,20.0,20.0,20.0
2017-12-17,20.0,20.0,20.0
2017-12-24,30.0,20.0,20.0
2017-12-31,20.0,20.0,20.0
2018-01-07,20.0,1610.0,20.0
2018-01-14,20.0,3200.0,20.0
2018-01-21,20.0,20.0,20.0
2018-01-28,20.0,20.0,20.0
2018-02-04,20.0,20.0,20.0
2018-02-11,20.0,8000.0,20.0
2018-02-18,20.0,2410.0,30.0
2018-02-25,20.0,20.0,20.0
2018-03-04,20.0,3210.0,20.0
2018-03-11,810.0,810.0,20.0
2018-03-18,20.0,20.0,20.0
2018-03-25,5610.0,20.0,20.0
2018-04-01,20.0,20.0,20.0
2018-04-08,20.0,20.0,20.0
2018-04-15,20.0,4010.0,20.0
2018-04-22,20.0,3610.0,20.0
2018-04-29,36060.0,20.0,20.0
2018-05-06,1210.0,2810.0,20.0
2018-05-13,40.0,4800.0,20.0
2018-05-20,810.0,1610.0,20.0
2018-05-27,20.0,8800.0,20.0
2018-06-03,20.0,20.0,20.0
2018-06-10,20.0,20.0,20.0
2018-06-17,20.0,20.0,20.0
2018-06-24,20.0,9600.0,20.0
2018-07-01,20.0,20.0,20.0
2018-07-08,20.0,1600.0,20.0
2018-07-15,20.0,20.0,20.0
2018-07-22,20.0,810.0,50.0
2018-07-29,20.0,9610.0,20.0
2018-08-05,,,20.0
2018-08-12,20.0,20.0,20.0
2018-08-19,20.0,20.0,80.0
2018-08-26,20.0,20.0,20.0
2018-09-02,20.0,20.0,20.0
2018-09-09,20.0,20.0,20.0
2018-09-16,70.0,20.0,220.0
2018-09-23,20.0,20.0,20.0
2018-09-30,20.0,20.0,20.0
2018-10-07,20.0,20.0,22380.0
2018-10-14,20.0,3210.0,6690.0
2018-10-21,20.0,20.0,1760.0
2018-10-28,20.0,20.0,130.0
2018-11-04,20.0,5340.0,20.0
2018-11-11,20.0,2675.0,20.0
2018-11-18,20.0,20.0,20.0
2018-11-25,20.0,20.0,20.0
2018-12-02,20.0,20.0,30.0
2018-12-09,20.0,20.0,20.0
2018-12-16,20.0,20.0,20.0
2018-12-23,20.0,20.0,20.0
2018-12-30,,,20.0
2019-01-06,20.0,20.0,20.0
2019-01-13,20.0,20.0,20.0
2019-01-20,20.0,20.0,20.0
2019-01-27,30.0,420.0,20.0
2019-02-03,20.0,20.0,20.0
2019-02-10,20.0,20.0,20.0
2019-02-17,20.0,20.0,20.0
2019-02-24,20.0,820.0,20.0
2019-03-03,20.0,6150.0,20.0
2019-03-10,20.0,4110.0,20.0
2019-03-17,20.0,13335.0,20.0
2019-03-24,20.0,3495.0,20.0
2019-03-31,20.0,2470.0,20.0
2019-04-07,20.0,1035.0,20.0
2019-04-14,20.0,1650.0,20.0
2019-04-21,20.0,20.0,20.0
2019-04-28,,,20.0
2019-05-05,20.0,3700.0,20.0
2019-05-12,20.0,1035.0,20.0
2019-05-19,20.0,20.0,20.0
2019-05-26,20.0,20.0,20.0
2019-06-02,20.0,2675.0,20.0
2019-06-09,20.0,20.0,20.0
2019-06-16,20.0,13540.0,20.0
2019-06-23,30.0,4930.0,20.0
2019-06-30,20.0,1640.0,20.0
2019-07-07,20.0,20.0,20.0
2019-07-14,20.0,20.0,20.0
2019-07-21,20.0,20.0,20.0
2019-07-28,20.0,20.0,20.0
2019-08-04,30.0,420.0,20.0
2019-08-11,20.0,22550.0,20.0
2019-08-18,20.0,20.0,20.0
2019-08-25,20.0,6775.0,20.0
2019-09-01,20.0,20.0,20.0
2019-09-08,20.0,2880.0,20.0
2019-09-15,20.0,20.0,20.0
2019-09-22,20.0,20.0,20.0
2019-09-29,20.0,6970.0,20.0
2019-10-06,20.0,830.0,20.0
2019-10-13,20.0,20.0,20.0
2019-10-20,20.0,20.0,20.0
2019-10-27,20.0,20.0,20.0
2019-11-03,20.0,20.0,20.0
2019-11-10,20.0,20.0,20.0
2019-11-17,20.0,1240.0,20.0
2019-11-24,20.0,20.0,20.0
2019-12-01,20.0,5340.0,20.0
2019-12-08,20.0,20.0,20.0
2019-12-15,20.0,20.0,20.0
2019-12-22,20.0,20.0,20.0
2019-12-29,,,20.0
2020-01-05,20.0,420.0,20.0
2020-01-12,20.0,30.0,20.0
2020-01-19,20.0,20.0,20.0
2020-01-26,20.0,280.0,20.0
2020-02-02,30.0,110.0,20.0
2020-02-09,20.0,1140.0,20.0
2020-02-16,32030.0,310.0,20.0
2020-02-23,20.0,1280.0,20.0
2020-03-01,20.0,7290.0,20.0
2020-03-08,20.0,8620.0,20.0
2020-03-15,20.0,7270.0,20.0
2020-03-22,20.0,41410.0,20.0
2020-03-29,20.0,27060.0,20.0
2020-04-05,20.0,34440.0,20.0
2020-04-12,20.0,4520.0,20.0
2020-04-19,40.0,24600.0,20.0
2020-04-26,20.0,191880.0,20.0
2020-05-03,20.0,191880.0,20.0
2020-05-10,20.0,12710.0,20.0
2020-05-17,20.0,20090.0,20.0
2020-05-24,20.0,3600.0,20.0
2020-05-31,20.0,300.0,20.0
2020-06-07,20.0,2600.0,20.0
2020-06-14,20.0,800.0,20.0
2020-06-21,20.0,120.0,20.0
2020-06-28,20.0,380.0,20.0
2020-07-05,20.0,22550.0,20.0
2020-07-12,20.0,960.0,20.0
2020-07-19,20.0,20.0,20.0
2020-07-26,20.0,500.0,20.0
2020-08-02,20.0,1880.0,20.0
2020-08-09,20.0,3080.0,20.0
2020-08-16,140.0,4980.0,20.0
2020-08-23,20.0,200.0,20.0
2020-08-30,400.0,20.0,20.0
2020-09-06,20.0,520.0,20.0
2020-09-13,20.0,12025.0,20.0
2020-09-20,,,20.0
2020-09-27,20.0,7600.0,20.0
2020-10-04,20.0,280.0,20.0
2020-10-11,20.0,380.0,20.0
2020-10-18,20.0,2060.0,20.0
2020-10-25,20.0,40.0,20.0
2020-11-01,20.0,20.0,20.0
2020-11-08,20.0,240.0,20.0
2020-11-15,20.0,320.0,20.0
2020-11-22,20.0,15600.0,20.0
2020-11-29,20.0,2870.0,20.0
2020-12-06,20.0,20.0,20.0
2020-12-13,,,20.0
2020-12-20,20.0,120.0,20.0
2020-12-27,20.0,21000.0,20.0
2021-01-03,20.0,1400.0,20.0
