Date,dsp_phyto,asp_phyto,psp_phyto
2014-11-09,20.0,20.0,20.0
2014-11-16,20.0,20.0,40.0
2014-11-23,20.0,20.0,40.0
2014-11-30,20.0,20.0,20.0
2014-12-07,20.0,20.0,20.0
2014-12-14,20.0,20.0,20.0
2014-12-21,20.0,20.0,20.0
2014-12-28,20.0,2842.0,20.0
2015-01-04,20.0,20.0,20.0
2015-01-11,20.0,20.0,20.0
2015-01-18,20.0,20.0,20.0
2015-01-25,20.0,20.0,20.0
2015-02-01,20.0,20.0,50.0
2015-02-08,20.0,20.0,20.0
2015-02-15,20.0,20.0,20.0
2015-02-22,20.0,20.0,20.0
2015-03-01,20.0,20.0,20.0
2015-03-08,20.0,20.0,20.0
2015-03-15,20.0,20.0,20.0
2015-03-22,20.0,55713.0,20.0
2015-03-29,20.0,15346.5,20.0
2015-04-05,20.0,1333.3333333333333,20.0
2015-04-12,20.0,20.0,20.0
2015-04-19,20.0,20.0,20.0
2015-04-26,20.0,2318.5,20.0
2015-05-03,20.0,20.0,20.0
2015-05-10,20.0,20.0,20.0
2015-05-17,20.0,20.0,20.0
2015-05-24,60.0,20.0,20.0
2015-05-31,20.0,20.0,20.0
2015-06-07,20.0,54566.0,20.0
2015-06-14,60.0,28987.0,20.0
2015-06-21,20.0,4557.0,20.0
2015-06-28,20.0,20.0,20.0
2015-07-05,33.333333333333336,20.0,20.0
2015-07-12,20.0,20.0,20.0
2015-07-19,80.0,51514.0,20.0
2015-07-26,70.0,13532.0,20.0
2015-08-02,20.0,10341.0,20.0
2015-08-09,40.0,1705.0,20.0
2015-08-16,300.0,21944.0,80.0
2015-08-23,20.0,3958.0,20.0
2015-08-30,540.0,44335.0,80.0
2015-09-06,140.0,20.0,20.0
2015-09-13,1520.0,11936.0,120.0
2015-09-20,240.0,42214.0,20.0
2015-09-27,300.0,3410.0,80.0
2015-10-04,90.0,20.0,20.0
2015-10-11,160.0,20.0,20.0
2015-10-18,760.0,3410.0,20.0
2015-10-25,540.0,20.0,40.0
2015-11-01,20.0,20.0,30.0
2015-11-08,20.0,3385.0,20.0
2015-11-15,20.0,1216.0,20.0
2015-11-22,20.0,6426.0,20.0
2015-11-29,20.0,2976.0,20.0
2015-12-06,20.0,20.0,50.0
2015-12-13,20.0,6534.0,20.0
2015-12-20,20.0,20.0,20.0
2015-12-27,20.0,20.0,20.0
2016-01-03,20.0,20.0,20.0
2016-01-10,20.0,20.0,20.0
2016-01-17,20.0,20.0,20.0
2016-01-24,20.0,20.0,20.0
2016-01-31,20.0,20.0,20.0
2016-02-07,20.0,20.0,20.0
2016-02-14,20.0,20.0,20.0
2016-02-21,20.0,20.0,20.0
2016-02-28,20.0,20.0,20.0
2016-03-06,20.0,20.0,20.0
2016-03-13,20.0,20.0,20.0
2016-03-20,20.0,20.0,20.0
2016-03-27,,,19.999998962363346
2016-04-03,20.0,34629.0,20.0
2016-04-10,20.0,36756.0,20.0
2016-04-17,,,19.9999853261342
2016-04-24,20.0,20.0,20.0
2016-05-01,20.0,20.0,20.0
2016-05-08,180.0,20.0,20.0
2016-05-15,160.0,20.0,20.0
2016-05-22,20.0,20.0,20.0
2016-05-29,120.0,29561.0,20.0
2016-06-05,20.0,3378.0,20.0
2016-06-12,20.0,36000.0,20.0
