Date,dsp_phyto,asp_phyto,psp_phyto
2014-11-09,320.0,34672.0,360.0
2014-11-16,20.0,5936.0,20.0
2014-11-23,20.0,3409.0,540.0
2014-11-30,100.0,20.0,100.0
2014-12-07,20.0,20.0,240.0
2014-12-14,40.0,1136.0,20.0
2014-12-21,20.0,20.0,20.0
2014-12-28,40.0,20.0,60.0
2015-01-04,20.0,,
2015-01-11,20.0,20.0,60.0
2015-01-18,20.0,,
2015-01-25,20.0,20.0,20.0
2015-02-01,20.0,1319.0,20.0
2015-02-08,20.0,2842.0,80.0
2015-02-15,20.0,21030.0,120.0
2015-02-22,20.0,5683.0,20.0
2015-03-01,20.0,1705.0,20.0
2015-03-08,20.0,2274.0,20.0
2015-03-15,20.0,9094.0,40.0
2015-03-22,20.0,3411.0,60.0
2015-03-29,320.0,2274.0,740.0
2015-04-05,30.0,7265.5,90.0
2015-04-12,960.0,20.0,480.0
2015-04-19,180.0,20.0,140.0
2015-04-26,60.0,1705.0,80.0
2015-05-03,60.0,13642.0,20.0
2015-05-10,180.0,263169.0,20.0
2015-05-17,140.0,300115.0,100.0
2015-05-24,20.0,,
2015-05-31,20.0,3410.0,20.0
2015-06-07,120.0,20.0,120.0
2015-06-14,280.0,1319.0,20.0
2015-06-21,20.0,1319.0,20.0
2015-06-28,2678.0,5936.0,20.0
2015-07-05,40.0,20.0,20.0
2015-07-12,20.0,20.0,20.0
2015-07-19,20.0,2840.0,20.0
2015-07-26,40.0,20.0,20.0
2015-08-02,40.0,12505.0,20.0
2015-08-09,140.0,12532.0,20.0
2015-08-16,40.0,20.0,20.0
2015-08-23,20.0,20.0,20.0
2015-08-30,60.0,109624.0,280.0
2015-09-06,440.0,21030.0,240.0
2015-09-13,60.0,87330.0,360.0
2015-09-20,20.0,98902.0,20.0
2015-09-27,140.0,72800.0,20.0
2015-10-04,300.0,33220.0,20.0
2015-10-11,40.0,1319.0,20.0
2015-10-18,60.0,20.0,20.0
2015-10-25,440.0,20.0,20.0
2015-11-01,40.0,20.0,20.0
2015-11-08,20.0,20.0,100.0
2015-11-15,440.0,20.0,6460.0
2015-11-22,20.0,20.0,480.0
2015-11-29,80.0,20.0,20.0
2015-12-06,60.0,10590.0,40.0
2015-12-13,20.0,44528.0,20.0
2015-12-20,20.0,1632.0,20.0
2015-12-27,20.0,20.0,20.0
2016-01-03,20.0,,
2016-01-10,20.0,,
2016-01-17,20.0,,
2016-01-24,40.0,18032.0,20.0
2016-01-31,60.0,7042.0,20.0
2016-02-07,20.0,20.0,60.0
2016-02-14,20.0,20.0,220.0
2016-02-21,20.0,18760.0,60.0
2016-02-28,20.0,88010.0,20.0
2016-03-06,20.0,,
2016-03-13,20.0,14852.0,20.0
2016-03-20,20.0,,
2016-03-27,20.0,102478.0,20.0
2016-04-03,20.0,7426.0,20.0
2016-04-10,20.0,20.0,20.0
2016-04-17,20.0,46784.0,20.0
2016-04-24,20.0,96538.0,20.0
2016-05-01,20.0,150005.0,20.0
2016-05-08,120.0,39435.0,20.0
2016-05-15,40.0,22870.0,20.0
2016-05-22,1408.0,20.0,20.0
2016-05-29,120.0,20.0,40.0
2016-06-05,160.0,20.0,20.0
2016-06-12,160.0,27200.0,20.0
2016-06-19,40.0,20.0,120.0
2016-06-26,240.0,159080.0,20.0
2016-07-03,320.0,20.0,20.0
2016-07-10,120.0,20.0,120.0
2016-07-17,20.0,20.0,20.0
2016-07-24,400.0,20.0,20.0
2016-07-31,20.0,20.0,20.0
2016-08-07,40.0,20.0,20.0
2016-08-14,120.0,20.0,20.0
2016-08-21,20.0,20.0,20.0
2016-08-28,80.0,4920.0,20.0
2016-09-04,20.0,20.0,20.0
2016-09-11,20.0,68800.0,20.0
2016-09-18,20.0,20.0,20.0
2016-09-25,20.0,20.0,20.0
2016-10-02,20.0,20.0,20.0
2016-10-09,3280.0,20.0,20.0
2016-10-16,20.0,20.0,20.0
