Date,dsp_phyto,asp_phyto,psp_phyto
2014-11-09,20.0,20.0,20.0
2014-11-16,20.0,20.0,20.0
2014-11-23,20.0,20.0,20.0
2014-11-30,20.0,20.0,20.0
2014-12-07,20.0,20.0,40.0
2014-12-14,20.0,20.0,20.0
2014-12-21,20.0,6276.0,30.0
2014-12-28,20.0,17489.0,20.0
2015-01-04,20.0,93227.5,20.0
2015-01-11,20.0,15072.0,20.0
2015-01-18,20.0,20.0,20.0
2015-01-25,20.0,20.0,20.0
2015-02-01,20.0,20.0,20.0
2015-02-08,20.0,20.0,20.0
2015-02-15,20.0,20.0,20.0
2015-02-22,20.0,1147.0,40.0
2015-03-01,20.0,20.0,20.0
2015-03-08,20.0,3988.5,30.0
2015-03-15,20.0,3935.0,20.0
2015-03-22,20.0,5286.5,20.0
2015-03-29,20.0,20.0,20.0
2015-04-05,20.0,20.0,20.0
2015-04-12,20.0,84976.0,20.0
2015-04-19,20.0,1705.0,2274.0
2015-04-26,90.0,20.0,20.0
2015-05-03,40.0,20.0,20.0
2015-05-10,20.0,4297.5,20.0
2015-05-17,1660.0,20.0,20.0
2015-05-24,20.0,20.0,20.0
2015-05-31,80.0,862.5,20.0
2015-06-07,20.0,20.0,20.0
2015-06-14,20.0,14511.0,20.0
2015-06-21,20.0,20.0,20.0
2015-06-28,20.0,20.0,20.0
2015-07-05,20.0,20.0,20.0
2015-07-12,20.0,20.0,20.0
2015-07-19,20.0,20.0,20.0
2015-07-26,50.0,2283.5,20.0
2015-08-02,60.0,470828.5,40.0
2015-08-09,26.666666666666668,107422.33333333333,53.333333333333336
2015-08-16,60.0,20.0,20.0
2015-08-23,80.0,172504.33333333334,20.0
2015-08-30,20.0,46040.0,20.0
2015-09-06,30.0,20.0,20.0
2015-09-13,20.0,46893.0,20.0
2015-09-20,240.0,20.0,20.0
2015-09-27,120.0,578.0,20.0
2015-10-04,20.0,40033.0,20.0
2015-10-11,40.0,2120.0,20.0
2015-10-18,20.0,1147.0,20.0
2015-10-25,120.0,20.0,20.0
2015-11-01,940.0,3544.0,30.0
2015-11-08,270.0,20.0,20.0
2015-11-15,410.0,20.0,1940.0
2015-11-22,240.0,20.0,20.0
2015-11-29,80.0,20.0,20.0
2015-12-06,20.0,20.0,20.0
2015-12-13,20.0,3050.0,20.0
2015-12-20,20.0,4948.0,20.0
2015-12-27,375.8580858085809,,
2016-01-03,20.0,20.0,20.0
2016-01-10,375.8580858085809,,
2016-01-17,30.0,20.0,20.0
2016-01-24,20.0,716.0,20.0
2016-01-31,20.0,20.0,20.0
2016-02-07,20.0,20.0,1640.0
2016-02-14,20.0,1633.0,20.0
2016-02-21,20.0,20.0,30.0
2016-02-28,20.0,20.0,20.0
2016-03-06,20.0,20.0,20.0
2016-03-13,20.0,20.0,20.0
2016-03-20,20.0,4233.0,20.0
2016-03-27,20.0,8911.0,20.0
2016-04-03,375.8580858085809,,
2016-04-10,20.0,20.0,20.0
2016-04-17,20.0,20.0,20.0
2016-04-24,20.0,20.0,20.0
2016-05-01,20.0,20.0,20.0
2016-05-08,20.0,20.0,20.0
2016-05-15,690.0,20.0,20.0
2016-05-22,20.0,20.0,20.0
2016-05-29,160.0,20.0,20.0
2016-06-05,20.0,15529.0,20.0
2016-06-12,20.0,301600.0,20.0
2016-06-19,50.0,3631600.0,20.0
2016-06-26,20.0,21600.0,20.0
2016-07-03,20.0,20.0,20.0
2016-07-10,100.0,20.0,20.0
2016-07-17,110.0,3210.0,30.0
2016-07-24,30.0,3210.0,30.0
2016-07-31,20.0,44010.0,20.0
2016-08-07,20.0,20.0,20.0
2016-08-14,60.0,57600.0,20.0
2016-08-21,20.0,36800.0,20.0
2016-08-28,30.0,8810.0,20.0
2016-09-04,40.0,20.0,20.0
2016-09-11,20.0,20.0,20.0
2016-09-18,1320.0,20.0,160.0
2016-09-25,1260.0,3700.0,20.0
2016-10-02,20.0,20.0,20.0
2016-10-09,375.8580858085809,,
2016-10-16,375.8580858085809,,
2016-10-23,20.0,20.0,20.0
2016-10-30,110.0,1650.0,170.0
2016-11-06,3260.0,169600.0,540.0
2016-11-13,220.0,20.0,1140.0
2016-11-20,60.0,3210.0,20.0
2016-11-27,40.0,20.0,20.0
2016-12-04,80.0,20.0,1600.0
2016-12-11,20.0,20.0,20.0
2016-12-18,40.0,20.0,610.0
2016-12-25,20.0,20.0,20.0
2017-01-01,375.8580858085809,,
2017-01-08,50.0,20.0,20.0
2017-01-15,170.0,40810.0,200.0
2017-01-22,20.0,2410.0,20.0
2017-01-29,20.0,20.0,20.0
2017-02-05,20.0,20.0,940.0
2017-02-12,20.0,20.0,50.0
2017-02-19,20.0,20.0,490.0
2017-02-26,20.0,20.0,20.0
2017-03-05,40.0,30810.0,20.0
2017-03-12,70.0,2000.0,20.0
2017-03-19,20.0,20.0,20.0
2017-03-26,20.0,1650.0,20.0
2017-04-02,20.0,20.0,20.0
2017-04-09,20.0,20.0,20.0
2017-04-16,20.0,20.0,20.0
2017-04-23,426.6666666666667,37880.0,20.0
2017-04-30,5520.0,9600.0,20.0
2017-05-07,180.0,6400.0,20.0
2017-05-14,5980.0,20.0,20.0
2017-05-21,20.0,20.0,20.0
2017-05-28,20.0,24610.0,20.0
2017-06-04,375.8580858085809,,
2017-06-11,30.0,20810.0,20.0
2017-06-18,20.0,472010.0,20.0
2017-06-25,20.0,20.0,20.0
2017-07-02,20.0,20.0,20.0
2017-07-09,375.8580858085809,,
2017-07-16,60.0,21330.0,20.0
2017-07-23,30.0,98000.0,20.0
2017-07-30,20.0,121610.0,20.0
2017-08-06,20.0,220000.0,20.0
2017-08-13,20.0,20.0,20.0
2017-08-20,20.0,41830.0,20.0
2017-08-27,530.0,33630.0,50.0
2017-09-03,850.0,20.0,20.0
2017-09-10,50.0,20.0,20.0
2017-09-17,40.0,2410.0,20.0
2017-09-24,50.0,20.0,20.0
2017-10-01,20.0,20.0,20.0
2017-10-08,20.0,20.0,20.0
2017-10-15,20.0,20.0,20.0
2017-10-22,100.0,20.0,20.0
2017-10-29,410.0,1610.0,130.0
2017-11-05,120.0,3210.0,300.0
2017-11-12,20.0,20.0,20.0
2017-11-19,30.0,20.0,20.0
2017-11-26,20.0,20.0,20.0
2017-12-03,20.0,20.0,20.0
2017-12-10,20.0,20.0,20.0
2017-12-17,375.8580858085809,,
2017-12-24,20.0,20.0,20.0
2017-12-31,375.8580858085809,,
2018-01-07,20.0,20.0,20.0
2018-01-14,20.0,20.0,20.0
2018-01-21,20.0,20.0,20.0
2018-01-28,20.0,20.0,20.0
2018-02-04,20.0,20.0,20.0
2018-02-11,20.0,810.0,20.0
2018-02-18,20.0,20.0,20.0
2018-02-25,30.0,7210.0,20.0
2018-03-04,20.0,32010.0,20.0
2018-03-11,20.0,8400.0,20.0
2018-03-18,20.0,6400.0,20.0
2018-03-25,30.0,20.0,20.0
2018-04-01,20.0,20.0,20.0
2018-04-08,20.0,20.0,20.0
2018-04-15,20.0,20.0,20.0
2018-04-22,10610.0,20.0,20.0
2018-04-29,20.0,20.0,20.0
2018-05-06,20.0,20.0,20.0
2018-05-13,20.0,9600.0,20.0
2018-05-20,1650.0,20.0,20.0
2018-05-27,60.0,50800.0,20.0
2018-06-03,20.0,1610.0,20.0
2018-06-10,2660.0,20.0,20.0
2018-06-17,180.0,6010.0,20.0
2018-06-24,20.0,36000.0,20.0
2018-07-01,20.0,18400.0,20.0
2018-07-08,20.0,18400.0,20.0
2018-07-15,70.0,273200.0,20.0
2018-07-22,30.0,1610.0,110.0
2018-07-29,375.8580858085809,,
2018-08-05,375.8580858085809,,
2018-08-12,20.0,190400.0,20.0
2018-08-19,20.0,20.0,260.0
2018-08-26,20.0,5610.0,110.0
2018-09-02,20.0,20.0,20.0
2018-09-09,20.0,20.0,20.0
2018-09-16,20.0,20.0,20.0
2018-09-23,20.0,1010.0,20.0
2018-09-30,20.0,20.0,3820.0
2018-10-07,20.0,48810.0,50.0
2018-10-14,80.0,76410.0,350.0
2018-10-21,20.0,2870.0,20.0
2018-10-28,20.0,4110.0,20.0
2018-11-04,20.0,20.0,20.0
2018-11-11,20.0,20.0,20.0
2018-11-18,665.0,20.0,20.0
2018-11-25,40.0,20.0,20.0
2018-12-02,60.0,20.0,20.0
2018-12-09,20.0,20.0,20.0
2018-12-16,20.0,20.0,20.0
2018-12-23,40.0,20.0,20.0
2018-12-30,80.0,20.0,20.0
2019-01-06,20.0,20.0,20.0
2019-01-13,110.0,9440.0,20.0
2019-01-20,30.0,12710.0,20.0
2019-01-27,20.0,3690.0,20.0
2019-02-03,20.0,20.0,20.0
2019-02-10,20.0,20.0,20.0
2019-02-17,20.0,12720.0,20.0
2019-02-24,20.0,20.0,20.0
2019-03-03,20.0,20.0,20.0
2019-03-10,20.0,820.0,20.0
2019-03-17,20.0,20.0,20.0
2019-03-24,90.0,20.0,20.0
2019-03-31,20.0,5340.0,20.0
2019-04-07,41900.0,20.0,20.0
2019-04-14,20.0,20.0,20.0
2019-04-21,300.0,3700.0,20.0
2019-04-28,20.0,15580.0,20.0
2019-05-05,70.0,40385.0,20.0
2019-05-12,2790.0,239850.0,20.0
2019-05-19,20.0,20.0,20.0
2019-05-26,20.0,3700.0,20.0
2019-06-02,20.0,20.0,20.0
2019-06-09,20.0,10250.0,20.0
2019-06-16,20.0,6970.0,20.0
2019-06-23,20.0,14350.0,20.0
2019-06-30,20.0,2050.0,20.0
2019-07-07,375.8580858085809,,
2019-07-14,20.0,20.0,20.0
2019-07-21,20.0,22765.0,50.0
2019-07-28,20.0,119515.0,20.0
2019-08-04,80.0,6560.0,20.0
2019-08-11,20.0,157440.0,20.0
2019-08-18,375.8580858085809,,
2019-08-25,990.0,20.0,390.0
2019-09-01,60.0,19485.0,20.0
2019-09-08,460.0,703980.0,480.0
2019-09-15,300.0,67455.0,20.0
2019-09-22,50.0,113980.0,20.0
2019-09-29,100.0,8610.0,20.0
2019-10-06,580.0,50840.0,700.0
2019-10-13,570.0,125665.0,90.0
2019-10-20,1640.0,67865.0,90.0
2019-10-27,220.0,20.0,80.0
2019-11-03,250.0,1240.0,20.0
2019-11-10,210.0,20.0,20.0
2019-11-17,20.0,20.0,20.0
2019-11-24,375.8580858085809,,
2019-12-01,20.0,20.0,20.0
2019-12-08,20.0,20.0,20.0
2019-12-15,20.0,20.0,20.0
2019-12-22,20.0,20.0,20.0
2019-12-29,375.8580858085809,,
2020-01-05,20.0,20.0,20.0
2020-01-12,375.8580858085809,,
2020-01-19,20.0,20.0,20.0
2020-01-26,20.0,20.0,20.0
2020-02-02,20.0,20.0,20.0
2020-02-09,20.0,20.0,20.0
2020-02-16,890.0,1580.0,20.0
2020-02-23,280.0,2480.0,20.0
2020-03-01,20.0,340.0,20.0
2020-03-08,20.0,20.0,20.0
2020-03-15,20.0,130.0,20.0
2020-03-22,20.0,20.0,20.0
2020-03-29,20.0,20.0,20.0
2020-04-05,190.0,45660.0,20.0
2020-04-12,710.0,6240.0,20.0
2020-04-19,20.0,2270.0,20.0
2020-04-26,20.0,180.0,20.0
2020-05-03,2610.0,8000.0,20.0
2020-05-10,6180.0,4480.0,20.0
2020-05-17,120.0,5010.0,20.0
2020-05-24,46.666666666666664,5730.0,20.0
2020-05-31,20.0,73930.0,20.0
2020-06-07,20.0,17630.0,20.0
2020-06-14,40.0,160.0,20.0
2020-06-21,20.0,40365.0,2210.0
2020-06-28,20.0,219555.0,20.0
2020-07-05,20.0,1180.0,20.0
2020-07-12,30.0,63200.0,20.0
2020-07-19,30.0,5135.0,20.0
2020-07-26,70.0,410.0,20.0
2020-08-02,30.0,20.0,20.0
2020-08-09,640.0,160.0,20.0
2020-08-16,30.0,19885.0,20.0
2020-08-23,110.0,14360.0,20.0
2020-08-30,180.0,460.0,20.0
2020-09-06,180.0,17830.0,20.0
2020-09-13,340.0,108600.0,20.0
2020-09-20,50.0,4010.0,20.0
2020-09-27,50.0,70.0,20.0
2020-10-04,375.8580858085809,,
2020-10-11,375.8580858085809,,
2020-10-18,20.0,20.0,20.0
2020-10-25,20.0,20.0,20.0
2020-11-01,600.0,51875.0,20.0
2020-11-08,750.0,630.0,20.0
2020-11-15,830.0,470.0,20.0
2020-11-22,260.0,58310.0,20.0
2020-11-29,670.0,1810.0,20.0
2020-12-06,140.0,110.0,20.0
