Date,dsp_phyto,asp_phyto,psp_phyto
2014-11-02,20.0,20.0,20.0
2014-11-09,20.0,20.0,20.0
2014-11-16,20.0,3136.0,20.0
2014-11-23,20.0,3694.0,20.0
2014-11-30,20.0,578.0,50.0
2014-12-07,20.0,1715.0,140.0
2014-12-14,20.0,20.0,380.0
2014-12-21,20.0,2841.5,80.0
2014-12-28,,1960.7857142857142,
2015-01-04,20.0,3446.5,20.0
2015-01-11,20.0,578.0,140.0
2015-01-18,20.0,4546.5,30.0
2015-01-25,20.0,20.0,20.0
2015-02-01,20.0,20.0,20.0
2015-02-08,20.0,20.0,20.0
2015-02-15,20.0,1146.0,30.0
2015-02-22,20.0,1658.5,20.0
2015-03-01,20.0,20.0,20.0
2015-03-08,20.0,20.0,20.0
2015-03-15,20.0,13365.5,20.0
2015-03-22,20.0,64264.0,20.0
2015-03-29,20.0,61018.5,20.0
2015-04-05,,20786.928571428572,
2015-04-12,20.0,2650.0,260.0
2015-04-19,20.0,3115.5,90.0
2015-04-26,510.0,1075.0,350.0
2015-05-03,340.0,20.0,70.0
2015-05-10,33.333333333333336,771.3333333333334,20.0
2015-05-17,20.0,20.0,30.0
2015-05-24,20.0,20.0,20.0
2015-05-31,20.0,55144.0,140.0
2015-06-07,290.0,20.0,20.0
2015-06-14,93.33333333333333,1522.3333333333333,20.0
2015-06-21,100.0,20.0,20.0
2015-06-28,1147.0,3989.0,20.0
2015-07-05,60.0,20.0,20.0
2015-07-12,40.0,129594.5,20.0
2015-07-19,20.0,13928.0,30.0
2015-07-26,20.0,15925.0,20.0
2015-08-02,70.0,50019.0,20.0
2015-08-09,20.0,57693.0,20.0
2015-08-16,40.0,15837.0,40.0
2015-08-23,40.0,578.5,40.0
2015-08-30,140.0,4627.0,20.0
2015-09-06,30.0,20.0,20.0
2015-09-13,,4067.7857142857165,
2015-09-20,600.0,4540.0,20.0
2015-09-27,120.0,2852.0,20.0
2015-10-04,680.0,20.0,50.0
2015-10-11,80.0,2749.0,20.0
2015-10-18,150.0,3157.5,20.0
2015-10-25,60.0,1146.0,20.0
2015-11-01,30.0,20.0,20.0
2015-11-08,20.0,3552.0,20.0
2015-11-15,40.0,5115.0,20.0
2015-11-22,200.0,1362.0,20.0
2015-11-29,20.0,5964.0,20.0
2015-12-06,20.0,31388.5,20.0
2015-12-13,20.0,20851.0,20.0
2015-12-20,20.0,2837.0,20.0
2015-12-27,20.0,717.0,20.0
2016-01-03,,10207.904761904763,
2016-01-10,20.0,15260.333333333334,20.0
2016-01-17,20.0,20.0,20.0
2016-01-24,20.0,381.5,20.0
2016-01-31,60.0,20.0,120.0
2016-02-07,20.0,55452.0,20.0
2016-02-14,20.0,11509.0,20.0
2016-02-21,20.0,14891.0,20.0
2016-02-28,20.0,2817.0,20.0
2016-03-06,20.0,3056.5,40.0
2016-03-13,20.0,1643.5,20.0
2016-03-20,20.0,27114.0,20.0
2016-03-27,40.0,1661.5,20.0
2016-04-03,170.0,10097.0,190.0
2016-04-10,20.0,18809.5,20.0
2016-04-17,20.0,45926.5,20.0
2016-04-24,20.0,28178.0,20.0
2016-05-01,30.0,1066.5,20.0
2016-05-08,990.0,20.0,20.0
2016-05-15,1250.0,5922.0,20.0
2016-05-22,20.0,20.0,20.0
2016-05-29,60.0,25249.0,20.0
2016-06-05,20.0,20.0,20.0
2016-06-12,20.0,20.0,80.0
2016-06-19,20.0,40000.0,20.0
2016-06-26,30.0,16312.5,20.0
2016-07-03,190.0,19200.0,30.0
2016-07-10,80.0,14410.0,20.0
2016-07-17,130.0,51200.0,40.0
2016-07-24,20.0,6810.0,20.0
2016-07-31,40.0,5210.0,30.0
2016-08-07,800.0,20.0,20.0
2016-08-14,370.0,20.0,20.0
2016-08-21,,1731.4285714285736,
2016-08-28,70.0,20.0,20.0
2016-09-04,160.0,20.0,70.0
2016-09-11,50.0,20.0,110.0
2016-09-18,30.0,20.0,20.0
2016-09-25,30.0,19600.0,20.0
2016-10-02,40.0,16000.0,20.0
2016-10-09,110.0,31200.0,20.0
2016-10-16,50.0,20.0,20.0
2016-10-23,80.0,20.0,20.0
2016-10-30,20.0,20.0,20.0
2016-11-06,30.0,20.0,30.0
2016-11-13,50.0,20.0,20.0
2016-11-20,20.0,20.0,20.0
2016-11-27,20.0,2010.0,20.0
2016-12-04,20.0,20.0,20.0
2016-12-11,20.0,20.0,20.0
2016-12-18,20.0,1610.0,20.0
2016-12-25,20.0,20.0,20.0
2017-01-01,20.0,20.0,20.0
2017-01-08,20.0,20.0,20.0
2017-01-15,20.0,20.0,20.0
2017-01-22,20.0,20.0,20.0
2017-01-29,20.0,20.0,20.0
2017-02-05,20.0,20.0,20.0
2017-02-12,20.0,20.0,20.0
2017-02-19,20.0,20.0,20.0
2017-02-26,20.0,4110.0,20.0
2017-03-05,20.0,20.0,20.0
2017-03-12,20.0,2010.0,20.0
2017-03-19,20.0,8120.0,30.0
2017-03-26,20.0,13200.0,50.0
2017-04-02,20.0,28090.0,20.0
2017-04-09,20.0,39720.0,20.0
2017-04-16,40.0,25020.0,20.0
2017-04-23,640.0,20.0,20.0
2017-04-30,170.0,20.0,20.0
2017-05-07,20.0,20.0,20.0
2017-05-14,20.0,1610.0,20.0
2017-05-21,60.0,20.0,20.0
2017-05-28,20.0,10400.0,20.0
2017-06-04,,5262.857142857145,
2017-06-11,20.0,7200.0,20.0
2017-06-18,30.0,17570.0,20.0
2017-06-25,40.0,20.0,20.0
2017-07-02,100.0,20.0,20.0
2017-07-09,30.0,14010.0,20.0
2017-07-16,20.0,3210.0,30.0
2017-07-23,20.0,4410.0,250.0
2017-07-30,20.0,20020.0,20.0
2017-08-06,40.0,13600.0,20.0
2017-08-13,30.0,62400.0,20.0
2017-08-20,30.0,61310.0,20.0
2017-08-27,30.0,14800.0,30.0
2017-09-03,150.0,10820.0,20.0
2017-09-10,120.0,2010.0,20.0
2017-09-17,60.0,3600.0,50.0
2017-09-24,20.0,27200.0,20.0
2017-10-01,20.0,88050.0,20.0
2017-10-08,60.0,13200.0,20.0
2017-10-15,550.0,20.0,90.0
2017-10-22,420.0,20.0,30.0
2017-10-29,160.0,20.0,20.0
2017-11-05,30.0,20.0,20.0
2017-11-12,20.0,20.0,20.0
2017-11-19,20.0,20.0,20.0
2017-11-26,20.0,20.0,20.0
2017-12-03,20.0,20.0,20.0
2017-12-10,20.0,20.0,20.0
2017-12-17,30.0,20.0,20.0
2017-12-24,20.0,20.0,20.0
2017-12-31,20.0,20.0,20.0
2018-01-07,40.0,6400.0,20.0
2018-01-14,20.0,5600.0,20.0
2018-01-21,20.0,38000.0,20.0
2018-01-28,20.0,4000.0,30.0
2018-02-04,20.0,10000.0,20.0
2018-02-11,20.0,4810.0,20.0
2018-02-18,20.0,16400.0,20.0
2018-02-25,20.0,22400.0,20.0
2018-03-04,20.0,28800.0,20.0
2018-03-11,30.0,5600.0,20.0
2018-03-18,30.0,20.0,30.0
2018-03-25,20.0,3210.0,20.0
2018-04-01,20.0,20.0,20.0
2018-04-08,20.0,3200.0,20.0
2018-04-15,20.0,44540.0,20.0
2018-04-22,4030.0,8810.0,20.0
2018-04-29,192920.0,4010.0,20.0
2018-05-06,20900.0,7210.0,20.0
2018-05-13,6130.0,9200.0,20.0
2018-05-20,20.0,77600.0,20.0
2018-05-27,40.0,6410.0,30.0
2018-06-03,20.0,13200.0,20.0
2018-06-10,120.0,102400.0,20.0
2018-06-17,340.0,7200.0,20.0
2018-06-24,20.0,13200.0,20.0
2018-07-01,180.0,10410.0,20.0
2018-07-08,50.0,14400.0,20.0
2018-07-15,100.0,2410.0,30.0
2018-07-22,60.0,22800.0,90.0
2018-07-29,20.0,226000.0,20.0
2018-08-05,,38408.57142857143,
2018-08-12,20.0,20.0,20.0
2018-08-19,80.0,20.0,20.0
2018-08-26,40.0,3210.0,50.0
2018-09-02,100.0,7610.0,20.0
2018-09-09,50.0,1210.0,20.0
2018-09-16,20.0,4810.0,20.0
2018-09-23,20.0,800.0,20.0
2018-09-30,,2070.0,
2018-10-07,290.0,20.0,4750.0
2018-10-14,230.0,20.0,1990.0
2018-10-21,20.0,20.0,340.0
2018-10-28,20.0,48380.0,20.0
2018-11-04,20.0,13120.0,20.0
2018-11-11,30.0,21730.0,20.0
2018-11-18,30.0,1240.0,20.0
2018-11-25,20.0,20.0,20.0
2018-12-02,150.0,20.0,90.0
2018-12-09,20.0,20.0,70.0
2018-12-16,30.0,830.0,20.0
2018-12-23,20.0,20.0,20.0
2018-12-30,,1273.5714285714287,
2019-01-06,20.0,830.0,20.0
2019-01-13,20.0,6160.0,20.0
2019-01-20,20.0,1035.0,20.0
2019-01-27,20.0,20.0,20.0
2019-02-03,20.0,20.0,20.0
2019-02-10,20.0,20.0,20.0
2019-02-17,30.0,20.0,20.0
2019-02-24,20.0,420.0,20.0
2019-03-03,80.0,14145.0,20.0
2019-03-10,60.0,12915.0,20.0
2019-03-17,20.0,30340.0,30.0
2019-03-24,30.0,23575.0,50.0
2019-03-31,80.0,7175.0,120.0
2019-04-07,50.0,4930.0,20.0
2019-04-14,20.0,5135.0,20.0
2019-04-21,30.0,9430.0,20.0
2019-04-28,,4985.714285714285,
2019-05-05,40.0,7380.0,20.0
2019-05-12,1010.0,830.0,20.0
2019-05-19,20.0,20.0,20.0
2019-05-26,20.0,420.0,20.0
2019-06-02,20.0,1035.0,20.0
2019-06-09,630.0,14155.0,20.0
2019-06-16,80.0,19065.0,20.0
2019-06-23,230.0,17015.0,20.0
2019-06-30,1100.0,3495.0,20.0
2019-07-07,80.0,10455.0,20.0
2019-07-14,40.0,2460.0,80.0
2019-07-21,110.0,830.0,20.0
2019-07-28,610.0,92660.0,1460.0
2019-08-04,460.0,44690.0,20.0
2019-08-11,160.0,48995.0,20.0
2019-08-18,40.0,149650.0,20.0
2019-08-25,20.0,80360.0,20.0
2019-09-01,90.0,20.0,50.0
2019-09-08,2070.0,1650.0,40.0
2019-09-15,1660.0,2870.0,20.0
