Date,dsp_phyto,asp_phyto,psp_phyto
2014-11-09,20.0,4939.333333333333,33.333333333333336
2014-11-16,20.0,9332.333333333334,20.0
2014-11-23,20.0,46367.666666666664,458.6666666666667
2014-11-30,50.0,20.0,20.0
2014-12-07,20.0,20.0,20.0
2014-12-14,20.0,20.0,160.0
2014-12-21,20.0,20.0,90.0
2014-12-28,,21365.21925566343,
2015-01-04,20.0,20.0,20.0
2015-01-11,20.0,20.0,40.0
2015-01-18,,21365.21925566343,
2015-01-25,20.0,20.0,30.0
2015-02-01,20.0,20.0,100.0
2015-02-08,20.0,2284.0,20.0
2015-02-15,20.0,20.0,20.0
2015-02-22,20.0,2274.0,20.0
2015-03-01,20.0,3979.0,40.0
2015-03-08,20.0,578.5,70.0
2015-03-15,20.0,3694.5,20.0
2015-03-22,20.0,6546.5,20.0
2015-03-29,230.0,578.5,150.0
2015-04-05,,21365.21925566343,
2015-04-12,690.0,578.5,230.0
2015-04-19,1540.0,20.0,30.0
2015-04-26,220.0,1429.5,40.0
2015-05-03,40.0,19610.0,30.0
2015-05-10,30.0,732099.5,20.0
2015-05-17,240.0,20.0,20.0
2015-05-24,110.0,5400.0,100.0
2015-05-31,100.0,5289.5,40.0
2015-06-07,20.0,20.0,30.0
2015-06-14,40.0,2852.0,20.0
2015-06-21,4201.0,17171.0,20.0
2015-06-28,220.0,20.0,30.0
2015-07-05,95.0,20.0,20.0
2015-07-12,30.0,20.0,20.0
2015-07-19,20.0,294.0,20.0
2015-07-26,20.0,670.0,20.0
2015-08-02,20.0,148832.0,26.666666666666668
2015-08-09,33.333333333333336,81423.66666666667,26.666666666666668
2015-08-16,290.0,1715.0,50.0
2015-08-23,20.0,24476.0,40.0
2015-08-30,60.0,52292.5,40.0
2015-09-06,505.0,299.25,105.0
2015-09-13,153.33333333333334,141538.33333333334,33.333333333333336
2015-09-20,40.0,42640.0,20.0
2015-09-27,810.0,37093.0,160.0
2015-10-04,1150.0,56128.0,130.0
2015-10-11,1560.0,3541.0,20.0
2015-10-18,70.0,26496.5,50.0
2015-10-25,200.0,20.0,20.0
2015-11-01,90.0,20.0,20.0
2015-11-08,20.0,20.0,20.0
2015-11-15,100.0,4910.0,20.0
2015-11-22,20.0,7542.0,20.0
2015-11-29,20.0,15775.25,35.0
2015-12-06,20.0,1828.0,20.0
2015-12-13,200.0,4284.0,20.0
2015-12-20,20.0,20.0,20.0
2015-12-27,20.0,20.0,20.0
2016-01-03,20.0,20.0,20.0
2016-01-10,20.0,20.0,20.0
2016-01-17,20.0,20.0,20.0
2016-01-24,20.0,7455.0,3570.0
2016-01-31,20.0,15529.0,20.0
2016-02-07,20.0,830.0,20.0
2016-02-14,20.0,20.0,20.0
2016-02-21,20.0,5115.0,20.0
2016-02-28,20.0,1643.5,20.0
2016-03-06,20.0,20.0,30.0
2016-03-13,20.0,10628.5,20.0
2016-03-20,20.0,63266.5,20.0
2016-03-27,20.0,227226.0,60.0
2016-04-03,20.0,41548.0,20.0
2016-04-10,20.0,8456.0,20.0
2016-04-17,20.0,11267.0,20.0
2016-04-24,20.0,47883.5,20.0
2016-05-01,7746.0,550.0,20.0
2016-05-08,2160.0,17080.0,50.0
2016-05-15,160.0,20.0,20.0
2016-05-22,70.0,2599.0,40.0
2016-05-29,20.0,9664.0,20.0
2016-06-05,20.0,25696.5,40.0
2016-06-12,20.0,20.0,20.0
2016-06-19,40.0,94248.0,80.0
2016-06-26,20.0,131162.0,20.0
2016-07-03,40.0,3927.0,20.0
2016-07-10,20.0,20.0,20.0
2016-07-17,380.0,20.0,20.0
2016-07-24,40.0,20.0,20.0
2016-07-31,180.0,20.0,140.0
2016-08-07,150.0,25927.0,40.0
2016-08-14,20.0,26713.5,120.0
2016-08-21,40.0,26410.0,20.0
2016-08-28,50.0,3156.0,20.0
2016-09-04,20.0,2400.0,20.0
2016-09-11,20.0,3544.5,20.0
2016-09-18,40.0,4771.0,20.0
2016-09-25,20.0,35213.0,20.0
2016-10-02,80.0,46712.5,20.0
2016-10-09,90.0,1581.0,20.0
2016-10-16,20.0,2366.0,20.0
2016-10-23,90.0,6800.0,20.0
2016-10-30,40.0,810.0,20.0
2016-11-06,80.0,7380.0,20.0
2016-11-13,20.0,20.0,20.0
2016-11-20,40.0,18400.0,20.0
2016-11-27,33.333333333333336,9233.333333333334,26.666666666666668
2016-12-04,20.0,9600.0,20.0
2016-12-11,20.0,20.0,20.0
2016-12-18,90.0,20.0,20.0
2016-12-25,20.0,20.0,20.0
2017-01-01,20.0,20.0,20.0
2017-01-08,20.0,20.0,20.0
2017-01-15,20.0,2410.0,40.0
2017-01-22,20.0,20.0,20.0
2017-01-29,26.666666666666668,20.0,20.0
2017-02-05,20.0,20.0,20.0
2017-02-12,20.0,1610.0,20.0
2017-02-19,20.0,20.0,20.0
2017-02-26,20.0,20.0,20.0
2017-03-05,20.0,20.0,20.0
2017-03-12,20.0,1610.0,20.0
2017-03-19,30.0,20410.0,50.0
2017-03-26,20.0,28000.0,40.0
2017-04-02,20.0,7200.0,20.0
2017-04-09,20.0,3210.0,20.0
2017-04-16,20.0,20.0,20.0
2017-04-23,20.0,20.0,20.0
2017-04-30,50.0,20.0,20.0
2017-05-07,40.0,2810.0,60.0
2017-05-14,120.0,20.0,20.0
2017-05-21,20.0,10810.0,20.0
2017-05-28,40.0,20.0,20.0
2017-06-04,,21365.21925566343,
2017-06-11,40.0,45920.0,20.0
2017-06-18,80.0,20.0,20.0
2017-06-25,20.0,1210.0,20.0
2017-07-02,20.0,1600.0,20.0
2017-07-09,20.0,3200.0,40.0
2017-07-16,20.0,20.0,40.0
2017-07-23,120.0,6520.0,20.0
2017-07-30,240.0,20.0,20.0
2017-08-06,20.0,810.0,20.0
2017-08-13,160.0,3200.0,20.0
2017-08-20,50.0,60270.0,20.0
2017-08-27,140.0,20.0,20.0
2017-09-03,40.0,1600.0,20.0
2017-09-10,20.0,20.0,20.0
2017-09-17,80.0,36900.0,20.0
2017-09-24,380.0,580000.0,20.0
2017-10-01,260.0,239200.0,20.0
2017-10-08,240.0,20.0,20.0
2017-10-15,100.0,20.0,20.0
2017-10-22,40.0,2400.0,20.0
2017-10-29,20.0,23200.0,20.0
2017-11-05,20.0,20.0,20.0
2017-11-12,40.0,20.0,20.0
2017-11-19,20.0,20000.0,20.0
2017-11-26,20.0,20.0,20.0
2017-12-03,100.0,1600.0,20.0
2017-12-10,20.0,20.0,20.0
2017-12-17,20.0,20.0,20.0
2017-12-24,20.0,20.0,20.0
2017-12-31,,21365.21925566343,
2018-01-07,20.0,20.0,20.0
