Date,dsp_phyto,asp_phyto,psp_phyto
2014-11-09,20.0,20.0,20.0
2014-11-16,20.0,20.0,440.0
2014-11-23,20.0,79200.0,160.0
2014-11-30,20.0,20.0,20.0
2014-12-07,20.0,20.0,20.0
2014-12-14,20.0,20.0,80.0
2014-12-21,20.0,20.0,20.0
2014-12-28,20.0,,
2015-01-04,80.0,20.0,20.0
2015-01-11,80.0,20.0,20.0
2015-01-18,20.0,20.0,20.0
2015-01-25,20.0,20.0,20.0
2015-02-01,80.0,20.0,20.0
2015-02-08,200.0,20.0,240.0
2015-02-15,20.0,20.0,20.0
2015-02-22,20.0,,
2015-03-01,20.0,,
2015-03-08,20.0,20.0,80.0
2015-03-15,20.0,20.0,20.0
2015-03-22,20.0,20.0,20.0
2015-03-29,20.0,20.0,200.0
2015-04-05,20.0,20.0,20.0
2015-04-12,20.0,20.0,20.0
2015-04-19,20.0,20.0,40.0
2015-04-26,40.0,20.0,20.0
2015-05-03,20.0,20.0,80.0
2015-05-10,20.0,20.0,20.0
2015-05-17,20.0,,
2015-05-24,40.0,20.0,20.0
2015-05-31,40.0,20.0,20.0
2015-06-07,80.0,20.0,80.0
2015-06-14,440.0,20.0,20.0
2015-06-21,1920.0,3378.0,160.0
2015-06-28,20.0,20.0,80.0
2015-07-05,220.0,20.0,20.0
2015-07-12,120.0,20.0,960.0
2015-07-19,20.0,20.0,20.0
2015-07-26,40.0,7920.0,20.0
2015-08-02,120.0,20.0,120.0
2015-08-09,400.0,31680.0,20.0
2015-08-16,20.0,8440.0,20.0
2015-08-23,360.0,11880.0,20.0
2015-08-30,80.0,5280.0,20.0
2015-09-06,360.0,11360.0,280.0
2015-09-13,320.0,25740.0,40.0
2015-09-20,3320.0,44853.0,200.0
2015-09-27,1520.0,10560.0,160.0
2015-10-04,1520.0,,
2015-10-11,880.0,1320.0,2520.0
2015-10-18,880.0,,
2015-10-25,50.0,20.0,1100.0
2015-11-01,20.0,20.0,120.0
2015-11-08,20.0,20.0,20.0
2015-11-15,20.0,20.0,20.0
2015-11-22,20.0,20.0,20.0
2015-11-29,20.0,7920.0,680.0
2015-12-06,20.0,20.0,80.0
2015-12-13,20.0,20.0,20.0
2015-12-20,20.0,20.0,1960.0
2015-12-27,20.0,4901.0,20.0
2016-01-03,20.0,,
2016-01-10,20.0,20.0,1480.0
2016-01-17,20.0,5632.0,4800.0
2016-01-24,20.0,3410.0,20.0
2016-01-31,120.0,424760.0,40.0
2016-02-07,1680.0,93240.0,20.0
2016-02-14,1040.0,20.0,20.0
2016-02-21,20.0,20.0,20.0
2016-02-28,20.0,20.0,20.0
2016-03-06,680.0,20.0,80.0
2016-03-13,80.0,20.0,40.0
2016-03-20,20.0,20.0,20.0
2016-03-27,20.0,20.0,600.0
2016-04-03,20.0,31680.0,35440.0
2016-04-10,40.0,20.0,20.0
2016-04-17,20.0,611672.0,20.0
2016-04-24,20.0,926251.0,20.0
2016-05-01,236523.0,120.0,20.0
2016-05-08,40.0,20.0,80.0
2016-05-15,480.0,20.0,160.0
2016-05-22,20.0,20.0,20.0
2016-05-29,20.0,20.0,20.0
2016-06-05,80.0,81680.0,20.0
2016-06-12,20.0,35210.0,20.0
2016-06-19,20.0,20.0,20.0
2016-06-26,80.0,2640.0,280.0
2016-07-03,20.0,20.0,20.0
2016-07-10,240.0,32000.0,20.0
2016-07-17,20.0,20.0,160.0
2016-07-24,20.0,8200.0,20.0
2016-07-31,240.0,25600.0,20.0
2016-08-07,320.0,20.0,20.0
2016-08-14,20.0,20.0,20.0
2016-08-21,40.0,20.0,20.0
2016-08-28,40.0,20.0,20.0
2016-09-04,20.0,20.0,20.0
2016-09-11,80.0,20.0,20.0
2016-09-18,20.0,20.0,20.0
2016-09-25,80.0,124800.0,20.0
2016-10-02,80.0,128800.0,40.0
2016-10-09,80.0,,
2016-10-16,520.0,81600.0,20.0
2016-10-23,200.0,1035200.0,20.0
2016-10-30,160.0,20.0,20.0
2016-11-06,160.0,,
2016-11-13,160.0,,
2016-11-20,600.0,41600.0,240.0
2016-11-27,600.0,,
2016-12-04,20.0,51200.0,20.0
2016-12-11,20.0,,
2016-12-18,160.0,14400.0,320.0
2016-12-25,80.0,20.0,18320.0
2017-01-01,80.0,20.0,9600.0
2017-01-08,40.0,20.0,20.0
2017-01-15,20.0,20.0,20.0
2017-01-22,20.0,20.0,20.0
2017-01-29,20.0,20.0,20.0
2017-02-05,20.0,20.0,20.0
2017-02-12,20.0,20.0,20.0
2017-02-19,20.0,20.0,20.0
2017-02-26,40.0,20.0,240.0
2017-03-05,20.0,6560.0,20.0
2017-03-12,20.0,20.0,20.0
2017-03-19,20.0,17600.0,520.0
2017-03-26,20.0,68800.0,1720.0
2017-04-02,20.0,30400.0,1080.0
2017-04-09,40.0,20.0,20.0
2017-04-16,20.0,20.0,40.0
2017-04-23,920.0,20.0,20.0
2017-04-30,1880.0,20.0,20.0
2017-05-07,20.0,20.0,20.0
2017-05-14,240.0,20.0,20.0
2017-05-21,360.0,20.0,20.0
2017-05-28,360.0,,
2017-06-04,440.0,20.0,20.0
2017-06-11,1800.0,20.0,20.0
2017-06-18,1320.0,20.0,20.0
2017-06-25,4560.0,20.0,20.0
2017-07-02,23720.0,3200.0,20.0
2017-07-09,160.0,20.0,20.0
2017-07-16,13200.0,20.0,20.0
2017-07-23,160.0,20.0,20.0
2017-07-30,13280.0,20.0,80.0
2017-08-06,13280.0,,
2017-08-13,40.0,56000.0,20.0
2017-08-20,40.0,364800.0,20.0
2017-08-27,4600.0,12800.0,20.0
2017-09-03,1360.0,20.0,20.0
2017-09-10,440.0,4800.0,20.0
2017-09-17,720.0,36800.0,20.0
2017-09-24,2200.0,433200.0,20.0
2017-10-01,520.0,572800.0,20.0
2017-10-08,20.0,105600.0,20.0
2017-10-15,80.0,6400.0,20.0
2017-10-22,200.0,20.0,20.0
2017-10-29,80.0,20.0,20.0
2017-11-05,20.0,16000.0,20.0
2017-11-12,1160.0,30400.0,20.0
2017-11-19,120.0,20.0,20.0
2017-11-26,200.0,20.0,20.0
2017-12-03,20.0,12800.0,20.0
2017-12-10,80.0,20.0,20.0
2017-12-17,3560.0,20.0,20.0
2017-12-24,80.0,6400.0,20.0
2017-12-31,1400.0,20.0,40.0
2018-01-07,20.0,20.0,20.0
2018-01-14,600.0,20.0,40.0
2018-01-21,80.0,297600.0,20.0
2018-01-28,40.0,20.0,120.0
2018-02-04,120.0,20.0,20.0
2018-02-11,40.0,20.0,20.0
2018-02-18,20.0,20.0,20.0
2018-02-25,120.0,20.0,20.0
2018-03-04,20.0,20.0,20.0
2018-03-11,20.0,,
2018-03-18,560.0,19200.0,40.0
2018-03-25,1000.0,6400.0,20.0
2018-04-01,7120.0,20.0,20.0
2018-04-08,640.0,36800.0,20.0
2018-04-15,40.0,24000.0,80.0
2018-04-22,120.0,11200.0,40.0
2018-04-29,2000.0,20.0,20.0
2018-05-06,40.0,20.0,20.0
2018-05-13,360.0,20.0,20.0
2018-05-20,2440.0,20.0,20.0
2018-05-27,8760.0,20.0,20.0
2018-06-03,28800.0,78400.0,20.0
2018-06-10,18120.0,6400.0,20.0
2018-06-17,16480.0,44800.0,20.0
2018-06-24,1120.0,107200.0,20.0
2018-07-01,3360.0,20.0,20.0
2018-07-08,8960.0,20.0,20.0
2018-07-15,7400.0,20.0,20.0
2018-07-22,17040.0,160000.0,20.0
2018-07-29,16920.0,148800.0,20.0
2018-08-05,2320.0,20.0,20.0
2018-08-12,200.0,20.0,20.0
2018-08-19,8240.0,20.0,20.0
2018-08-26,1320.0,20.0,20.0
2018-09-02,720.0,6400.0,20.0
2018-09-09,880.0,20.0,20.0
2018-09-16,3920.0,20.0,20.0
2018-09-23,2120.0,94400.0,20.0
2018-09-30,1600.0,224000.0,20.0
2018-10-07,160.0,239200.0,1720.0
2018-10-14,200.0,20.0,1080.0
2018-10-21,920.0,42640.0,20.0
2018-10-28,800.0,22140.0,20.0
2018-11-04,1280.0,4920.0,20.0
2018-11-11,680.0,20.0,20.0
2018-11-18,1000.0,20.0,20.0
