Date,dsp_phyto,asp_phyto,psp_phyto
2014-11-09,20.0,20.0,20.0
2014-11-16,20.0,20.0,80.0
2014-11-23,20.0,20.0,20.0
2014-11-30,240.0,20.0,20.0
2014-12-07,20.0,20.0,20.0
2014-12-14,20.0,20.0,20.0
2014-12-21,20.0,20.0,20.0
2014-12-28,20.0,20.0,20.0
2015-01-04,,3261.516339869281,
2015-01-11,20.0,20.0,20.0
2015-01-18,20.0,20.0,160.0
2015-01-25,20.0,20.0,20.0
2015-02-01,20.0,20.0,20.0
2015-02-08,20.0,20.0,120.0
2015-02-15,20.0,20.0,20.0
2015-02-22,20.0,20.0,20.0
2015-03-01,20.0,20.0,20.0
2015-03-08,20.0,20.0,20.0
2015-03-15,20.0,20.0,20.0
2015-03-22,920.0,20.0,20.0
2015-03-29,20.0,20.0,20.0
2015-04-05,20.0,20.0,20.0
2015-04-12,20.0,20.0,20.0
2015-04-19,40.0,20.0,40.0
2015-04-26,20.0,20.0,20.0
2015-05-03,20.0,20.0,20.0
2015-05-10,20.0,20.0,20.0
2015-05-17,20.0,20.0,20.0
2015-05-24,20.0,20.0,20.0
2015-05-31,20.0,20.0,20.0
2015-06-07,20.0,20.0,20.0
2015-06-14,20.0,20.0,20.0
2015-06-21,20.0,20.0,40.0
2015-06-28,20.0,20.0,20.0
2015-07-05,20.0,20.0,80.0
2015-07-12,20.0,20.0,20.0
2015-07-19,20.0,20.0,120.0
2015-07-26,20.0,20.0,20.0
2015-08-02,20.0,20.0,20.0
2015-08-09,20.0,20.0,20.0
2015-08-16,20.0,20.0,20.0
2015-08-23,20.0,20.0,20.0
2015-08-30,20.0,20.0,20.0
2015-09-06,,3261.516339869281,
2015-09-13,20.0,20.0,20.0
2015-09-20,20.0,20.0,20.0
2015-09-27,20.0,20.0,20.0
2015-10-04,20.0,20.0,20.0
2015-10-11,20.0,20.0,20.0
2015-10-18,20.0,20.0,20.0
2015-10-25,20.0,20.0,20.0
2015-11-01,20.0,20.0,20.0
2015-11-08,20.0,20.0,20.0
2015-11-15,,3261.516339869281,
2015-11-22,20.0,20.0,20.0
2015-11-29,20.0,20.0,20.0
2015-12-06,20.0,20.0,20.0
2015-12-13,20.0,20.0,20.0
2015-12-20,20.0,4224.0,20.0
2015-12-27,20.0,20.0,20.0
2016-01-03,,3261.516339869281,
2016-01-10,20.0,20.0,20.0
2016-01-17,20.0,20.0,20.0
2016-01-24,20.0,20.0,20.0
2016-01-31,20.0,20.0,20.0
2016-02-07,20.0,20.0,20.0
2016-02-14,20.0,20.0,20.0
2016-02-21,20.0,20.0,20.0
2016-02-28,20.0,20.0,20.0
2016-03-06,20.0,20.0,20.0
2016-03-13,20.0,20.0,20.0
2016-03-20,20.0,20.0,20.0
2016-03-27,20.0,20.0,20.0
