Date,dsp_phyto,asp_phyto,psp_phyto
2014-11-09,20.0,5276.0,20.0
2014-11-16,20.0,20.0,20.0
2014-11-23,20.0,20.0,60.0
2014-11-30,60.0,20.0,40.0
2014-12-07,20.0,20.0,80.0
2014-12-14,20.0,20.0,20.0
2014-12-21,20.0,20.0,20.0
2014-12-28,20.0,20.0,20.0
2015-01-04,,,44.76510067114094
2015-01-11,60.0,2273.0,80.0
2015-01-18,20.0,20.0,40.0
2015-01-25,20.0,20.0,100.0
2015-02-01,20.0,20.0,40.0
2015-02-08,20.0,20.0,40.0
2015-02-15,20.0,16483.0,20.0
2015-02-22,20.0,20.0,20.0
2015-03-01,20.0,1319.0,20.0
2015-03-08,20.0,2290.0,20.0
2015-03-15,20.0,20.0,20.0
2015-03-22,20.0,3410.0,20.0
2015-03-29,20.0,1137.0,60.0
2015-04-05,20.0,5470.0,30.0
2015-04-12,580.0,20.0,80.0
2015-04-19,120.0,20.0,20.0
2015-04-26,20.0,3410.0,20.0
2015-05-03,100.0,1137.0,20.0
2015-05-10,80.0,180183.0,60.0
2015-05-17,20.0,155490.0,20.0
2015-05-24,20.0,20.0,120.0
2015-05-31,60.0,20.0,140.0
2015-06-07,20.0,20.0,20.0
2015-06-14,300.0,2274.0,40.0
2015-06-21,37597.0,40235.0,20.0
2015-06-28,7120.0,12070.0,20.0
2015-07-05,20.0,20.0,20.0
2015-07-12,20.0,20.0,20.0
2015-07-19,40.0,5115.0,20.0
2015-07-26,20.0,20.0,20.0
2015-08-02,20.0,1705.0,40.0
2015-08-09,20.0,20.0,20.0
2015-08-16,60.0,1688.0,20.0
2015-08-23,20.0,5684.0,140.0
2015-08-30,20.0,102238.0,120.0
2015-09-06,160.0,27283.0,480.0
2015-09-13,20.0,15346.0,20.0
2015-09-20,40.0,13073.0,20.0
2015-09-27,100.0,20.0,20.0
2015-10-04,20.0,20.0,20.0
2015-10-11,20.0,20.0,20.0
2015-10-18,20.0,1634.0,20.0
2015-10-25,20.0,20.0,20.0
2015-11-01,20.0,20.0,200.0
2015-11-08,20.0,20.0,20.0
2015-11-15,80.0,20.0,1680.0
2015-11-22,140.0,20.0,60.0
2015-11-29,40.0,20.0,20.0
2015-12-06,120.0,20.0,20.0
2015-12-13,20.0,17153.0,20.0
2015-12-20,20.0,2120.0,20.0
2015-12-27,20.0,20.0,20.0
2016-01-03,,,44.76510067114094
2016-01-10,,,44.76510067114094
2016-01-17,,,44.76510067114094
2016-01-24,20.0,20.0,280.0
2016-01-31,20.0,2112.0,20.0
2016-02-07,20.0,20.0,20.0
2016-02-14,20.0,2450.0,20.0
2016-02-21,20.0,20.0,20.0
2016-02-28,20.0,13069.0,80.0
2016-03-06,20.0,5634.0,20.0
2016-03-13,20.0,20.0,20.0
2016-03-20,,,44.76510067114094
2016-03-27,20.0,37162.0,20.0
2016-04-03,,,44.76510067114094
2016-04-10,20.0,20.0,20.0
2016-04-17,20.0,2970.0,20.0
2016-04-24,20.0,35645.0,20.0
2016-05-01,160.0,20.0,20.0
