Date,dsp_phyto,asp_phyto,psp_phyto
2014-11-09,20.0,20.0,20.0
2014-11-16,20.0,20.0,20.0
2014-11-23,20.0,20.0,20.0
2014-11-30,20.0,20.0,20.0
2014-12-07,20.0,20.0,20.0
2014-12-14,20.0,20.0,20.0
2014-12-21,20.0,20.0,20.0
2014-12-28,20.0,20.0,20.0
2015-01-04,20.0,20.0,20.0
2015-01-11,20.0,32979.0,80.0
2015-01-18,20.0,20.0,20.0
2015-01-25,20.0,20.0,20.0
2015-02-01,20.0,20.0,20.0
2015-02-08,20.0,20.0,40.0
2015-02-15,20.0,20.0,20.0
2015-02-22,20.0,20.0,80.0
2015-03-01,20.0,20.0,20.0
2015-03-08,20.0,20.0,20.0
2015-03-15,20.0,10990.0,20.0
2015-03-22,20.0,2274.0,20.0
2015-03-29,20.0,20.0,40.0
2015-04-05,20.0,2638.0,20.0
2015-04-12,20.0,47491.0,20.0
2015-04-19,80.0,21599.0,20.0
2015-04-26,40.0,2638.0,20.0
2015-05-03,30.0,216354.0,20.0
2015-05-10,280.0,2274.0,20.0
2015-05-17,820.0,20.0,20.0
2015-05-24,20.0,34299.0,20.0
2015-05-31,20.0,2638.0,20.0
2015-06-07,20.0,13192.0,80.0
2015-06-14,20.0,20.0,20.0
2015-06-21,20.0,10554.0,20.0
2015-06-28,80.0,20.0,20.0
2015-07-05,20.0,20.0,20.0
2015-07-12,40.0,20.0,20.0
2015-07-19,80.0,20.0,20.0
2015-07-26,20.0,20.0,20.0
2015-08-02,120.0,122686.0,40.0
2015-08-09,20.0,19426.0,20.0
2015-08-16,160.0,19788.0,60.0
2015-08-23,40.0,20.0,20.0
2015-08-30,40.0,29022.0,20.0
2015-09-06,360.0,31661.0,80.0
2015-09-13,600.0,20.0,80.0
2015-09-20,20.0,20.0,20.0
2015-09-27,20.0,20.0,20.0
2015-10-04,20.0,20.0,20.0
2015-10-11,20.0,20.0,20.0
2015-10-18,40.0,20.0,20.0
2015-10-25,20.0,20.0,20.0
2015-11-01,40.0,20.0,20.0
2015-11-08,20.0,20.0,20.0
2015-11-15,320.0,20.0,20.0
2015-11-22,20.0,20.0,20.0
2015-11-29,20.0,20.0,20.0
2015-12-06,20.0,20.0,20.0
2015-12-13,20.0,20.0,20.0
2015-12-20,20.0,20.0,20.0
2015-12-27,20.0,20.0,20.0
2016-01-03,20.0,20.0,20.0
2016-01-10,20.0,20.0,20.0
2016-01-17,20.0,20.0,20.0
2016-01-24,20.0,20.0,20.0
2016-01-31,20.0,20.0,20.0
2016-02-07,20.0,20.0,30.0
2016-02-14,20.0,20.0,20.0
2016-02-21,20.0,20.0,20.0
2016-02-28,20.0,20.0,20.0
2016-03-06,20.0,20.0,20.0
2016-03-13,20.0,20.0,20.0
2016-03-20,20.0,20.0,20.0
2016-03-27,30.0,20.0,1643.5
2016-04-03,690.0,20.0,60.0
2016-04-10,20.0,20.0,20.0
2016-04-17,20.0,20.0,20.0
2016-04-24,20.0,20.0,20.0
2016-05-01,30.0,,
2016-05-08,20.0,20.0,40.0
2016-05-15,30.0,,
2016-05-22,30.0,,
2016-05-29,34738.5,20.0,120.0
2016-06-05,110.0,23392.0,20.0
2016-06-12,30.0,178950.0,20.0
2016-06-19,200.0,473920.0,20.0
2016-06-26,40.0,699700.0,20.0
2016-07-03,50.0,4010.0,20.0
2016-07-10,20.0,1650.0,40.0
2016-07-17,20.0,20.0,20.0
2016-07-24,30.0,20.0,20.0
2016-07-31,20.0,410.0,20.0
2016-08-07,430.0,3700.0,20.0
2016-08-14,30.0,20.0,20.0
2016-08-21,364752.0,4010.0,20.0
2016-08-28,100.0,20.0,20.0
2016-09-04,180.0,20.0,20.0
2016-09-11,170.0,20.0,20.0
2016-09-18,70.0,20.0,50.0
2016-09-25,310.0,20.0,20.0
2016-10-02,28460.0,20.0,20.0
2016-10-09,360.0,20.0,20.0
2016-10-16,270.0,20.0,20.0
2016-10-23,300.0,830.0,20.0
2016-10-30,20.0,20.0,20.0
2016-11-06,20.0,20.0,20.0
2016-11-13,50.0,420.0,20.0
2016-11-20,30.0,20.0,20.0
2016-11-27,20.0,16410.0,90.0
2016-12-04,20.0,20.0,20.0
2016-12-11,20.0,20.0,250.0
2016-12-18,110.0,20.0,2510.0
2016-12-25,20.0,20.0,280.0
2017-01-01,20.0,20.0,90.0
2017-01-08,20.0,20.0,1170.0
2017-01-15,26.666666666666668,20.0,293.3333333333333
2017-01-22,20.0,20.0,20.0
2017-01-29,20.0,20.0,20.0
2017-02-05,20.0,1080.0,120.0
2017-02-12,20.0,20.0,20.0
2017-02-19,20.0,20.0,40.0
2017-02-26,20.0,20.0,20.0
2017-03-05,26.666666666666668,20.0,20.0
2017-03-12,20.0,1613.3333333333333,20.0
2017-03-19,20.0,546.6666666666666,20.0
2017-03-26,20.0,20.0,20.0
2017-04-02,20.0,20.0,20.0
2017-04-09,20.0,20.0,20.0
2017-04-16,86.66666666666667,8546.666666666666,20.0
2017-04-23,1826.6666666666667,11526.666666666666,20.0
2017-04-30,1180.0,14140.0,20.0
2017-05-07,193.33333333333334,13866.666666666666,20.0
2017-05-14,380.0,20.0,20.0
2017-05-21,240.0,10126.666666666666,20.0
2017-05-28,20.0,19746.666666666668,20.0
2017-06-04,30.0,,
2017-06-11,26.666666666666668,2166.6666666666665,20.0
2017-06-18,33.333333333333336,20806.666666666668,20.0
2017-06-25,66.66666666666667,10766.666666666666,20.0
2017-07-02,33.333333333333336,20.0,20.0
2017-07-09,46.666666666666664,1613.3333333333333,20.0
2017-07-16,93.33333333333333,813.3333333333334,120.0
2017-07-23,40.0,53866.666666666664,86.66666666666667
2017-07-30,360.0,25606.666666666668,66.66666666666667
2017-08-06,30.0,,
2017-08-13,320.0,1346.6666666666667,26.666666666666668
2017-08-20,120.0,45100.0,20.0
2017-08-27,13633.333333333334,7760.0,20.0
2017-09-03,122773.33333333333,20.0,20.0
2017-09-10,520505.0,20.0,25.0
2017-09-17,60.0,20.0,20.0
2017-09-24,20.0,20.0,20.0
2017-10-01,86.66666666666667,12273.333333333334,20.0
2017-10-08,100.0,16280.0,40.0
2017-10-15,20.0,20.0,20.0
2017-10-22,113.33333333333333,4806.666666666667,66.66666666666667
2017-10-29,93.33333333333333,20.0,20.0
2017-11-05,20.0,20.0,20.0
2017-11-12,120.0,20.0,20.0
2017-11-19,20.0,20.0,20.0
2017-11-26,53.333333333333336,20.0,20.0
2017-12-03,20.0,20.0,20.0
2017-12-10,126.66666666666667,20.0,20.0
2017-12-17,20.0,20.0,20.0
2017-12-24,66.66666666666667,20.0,20.0
2017-12-31,20.0,20.0,20.0
2018-01-07,20.0,20.0,20.0
2018-01-14,20.0,20.0,20.0
2018-01-21,420.0,20.0,20.0
2018-01-28,20.0,20.0,20.0
2018-02-04,20.0,20.0,20.0
2018-02-11,20.0,20.0,20.0
2018-02-18,20.0,20.0,20.0
2018-02-25,20.0,20.0,20.0
2018-03-04,20.0,9600.0,20.0
2018-03-11,20.0,410.0,20.0
2018-03-18,20.0,20.0,20.0
2018-03-25,60.0,20.0,20.0
2018-04-01,20.0,20.0,20.0
2018-04-08,20.0,20.0,20.0
2018-04-15,20.0,20.0,20.0
2018-04-22,4010.0,1610.0,20.0
2018-04-29,2140.0,20.0,20.0
2018-05-06,6100.0,2010.0,20.0
2018-05-13,7250.0,6010.0,20.0
2018-05-20,20.0,20010.0,20.0
2018-05-27,80.0,2410.0,20.0
2018-06-03,4940.0,20.0,20.0
2018-06-10,100.0,4000.0,20.0
2018-06-17,210.0,5610.0,20.0
2018-06-24,1250.0,32010.0,20.0
2018-07-01,100.0,96800.0,20.0
2018-07-08,1210.0,7210.0,20.0
2018-07-15,20.0,139600.0,20.0
2018-07-22,20.0,4010.0,20.0
2018-07-29,30.0,54400.0,20.0
2018-08-05,20.0,4810.0,360.0
2018-08-12,20.0,20.0,240.0
2018-08-19,20.0,20.0,20.0
2018-08-26,20.0,20.0,30.0
2018-09-02,20.0,800.0,320.0
2018-09-09,30.0,20.0,130.0
2018-09-16,30.0,20.0,170.0
2018-09-23,20.0,20.0,20.0
2018-09-30,100.0,20.0,20.0
2018-10-07,20.0,20.0,20.0
2018-10-14,30.0,,
2018-10-21,30.0,5340.0,20.0
2018-10-28,50.0,1240.0,20.0
2018-11-04,20.0,20.0,20.0
2018-11-11,30.0,20.0,30.0
2018-11-18,20.0,20.0,20.0
2018-11-25,50.0,20.0,20.0
2018-12-02,20.0,20.0,20.0
2018-12-09,20.0,20.0,20.0
2018-12-16,20.0,20.0,20.0
2018-12-23,20.0,20.0,20.0
2018-12-30,30.0,,
2019-01-06,30.0,,
2019-01-13,30.0,1650.0,20.0
2019-01-20,20.0,4100.0,20.0
2019-01-27,30.0,3690.0,20.0
2019-02-03,20.0,420.0,20.0
2019-02-10,20.0,20.0,20.0
2019-02-17,20.0,2470.0,20.0
2019-02-24,30.0,20.0,20.0
2019-03-03,130.0,20.0,20.0
2019-03-10,240.0,9635.0,20.0
2019-03-17,40.0,20.0,20.0
2019-03-24,20.0,20.0,20.0
2019-03-31,20.0,8825.0,20.0
2019-04-07,10730.0,34235.0,20.0
2019-04-14,2900.0,20295.0,20.0
2019-04-21,300.0,15580.0,20.0
2019-04-28,220.0,50635.0,20.0
2019-05-05,40.0,10660.0,20.0
2019-05-12,140.0,58015.0,20.0
2019-05-19,440.0,22970.0,20.0
2019-05-26,300.0,27880.0,50.0
2019-06-02,20.0,14145.0,20.0
2019-06-09,290.0,12710.0,20.0
2019-06-16,80.0,35260.0,20.0
2019-06-23,20.0,138990.0,20.0
2019-06-30,140.0,147805.0,20.0
2019-07-07,50.0,20.0,20.0
2019-07-14,150.0,20.0,20.0
2019-07-21,70.0,20.0,20.0
2019-07-28,120.0,27880.0,20.0
2019-08-04,490.0,8815.0,20.0
2019-08-11,2960.0,352600.0,2330.0
2019-08-18,400.0,2460.0,250.0
2019-08-25,2420.0,20.0,20.0
2019-09-01,8580.0,25830.0,620.0
2019-09-08,980.0,105370.0,40.0
2019-09-15,30.0,,
2019-09-22,30.0,,
2019-09-29,760.0,24395.0,20.0
2019-10-06,30.0,,
2019-10-13,450.0,6150.0,50.0
2019-10-20,380.0,16000.0,210.0
2019-10-27,230.0,1650.0,50.0
2019-11-03,90.0,20.0,30.0
2019-11-10,60.0,20.0,20.0
2019-11-17,20.0,20.0,20.0
2019-11-24,20.0,20.0,20.0
2019-12-01,50.0,20.0,20.0
2019-12-08,20.0,20.0,20.0
2019-12-15,20.0,20.0,20.0
2019-12-22,20.0,820.0,20.0
2019-12-29,20.0,20.0,20.0
2020-01-05,30.0,,
2020-01-12,1650.0,20.0,20.0
2020-01-19,50.0,130.0,20.0
2020-01-26,20.0,900.0,20.0
2020-02-02,20.0,750.0,20.0
2020-02-09,20.0,20.0,20.0
2020-02-16,1080.0,20.0,20.0
2020-02-23,480.0,1000.0,20.0
2020-03-01,20.0,20.0,20.0
2020-03-08,70.0,20.0,20.0
2020-03-15,20.0,210.0,20.0
2020-03-22,20.0,20.0,20.0
2020-03-29,60.0,20.0,20.0
2020-04-05,20.0,20.0,20.0
2020-04-12,1270.0,73390.0,20.0
2020-04-19,50.0,8260.0,20.0
2020-04-26,70.0,170.0,20.0
2020-05-03,600.0,840.0,20.0
2020-05-10,810.0,1070.0,20.0
2020-05-17,80.0,20.0,20.0
2020-05-24,470.0,250.0,20.0
2020-05-31,80.0,6970.0,660.0
2020-06-07,60.0,7400.0,1460.0
2020-06-14,2100.0,13160.0,11560.0
2020-06-21,20.0,20.0,3600.0
2020-06-28,100.0,25830.0,7560.0
2020-07-05,520.0,2750.0,5820.0
2020-07-12,22620.0,28865.0,20.0
2020-07-19,140.0,43870.0,20.0
2020-07-26,2420.0,39370.0,20.0
2020-08-02,130.0,40.0,20.0
2020-08-09,90.0,1500.0,20.0
2020-08-16,480.0,2360.0,20.0
2020-08-23,50.0,18870.0,20.0
2020-08-30,960.0,20.0,20.0
2020-09-06,180.0,200.0,20.0
2020-09-13,780.0,133660.0,20.0
2020-09-20,1460.0,660.0,20.0
2020-09-27,300.0,80.0,20.0
2020-10-04,60.0,30.0,20.0
2020-10-11,4560.0,20.0,20.0
2020-10-18,20.0,20.0,20.0
2020-10-25,20.0,20.0,20.0
2020-11-01,260.0,1520.0,20.0
