Date,dsp_phyto,asp_phyto,psp_phyto
2014-11-09,20.0,20.0,20.0
2014-11-16,20.0,20.0,20.0
2014-11-23,20.0,20.0,160.0
2014-11-30,20.0,20.0,20.0
2014-12-07,20.0,20.0,40.0
2014-12-14,20.0,20.0,20.0
2014-12-21,20.0,2638.0,20.0
2014-12-28,20.0,11872.0,20.0
2015-01-04,20.0,5276.0,20.0
2015-01-11,20.0,18468.0,20.0
2015-01-18,20.0,20.0,20.0
2015-01-25,20.0,20.0,20.0
2015-02-01,20.0,1319.0,20.0
2015-02-08,20.0,20.0,20.0
2015-02-15,20.0,20.0,70.0
2015-02-22,20.0,20.0,20.0
2015-03-01,20.0,20.0,80.0
2015-03-08,20.0,20.0,20.0
2015-03-15,20.0,20.0,20.0
2015-03-22,20.0,20.0,20.0
2015-03-29,20.0,20.0,20.0
2015-04-05,20.0,20.0,20.0
2015-04-12,20.0,170177.0,20.0
2015-04-19,20.0,20.0,20.0
2015-04-26,40.0,2638.0,20.0
2015-05-03,20.0,3410.0,20.0
2015-05-10,80.0,20.0,20.0
2015-05-17,40.0,20.0,40.0
2015-05-24,20.0,6596.0,20.0
2015-05-31,20.0,20.0,40.0
2015-06-07,20.0,20.0,20.0
2015-06-14,20.0,2638.0,20.0
2015-06-21,20.0,20.0,20.0
2015-06-28,20.0,20.0,20.0
2015-07-05,20.0,20.0,20.0
2015-07-12,80.0,20.0,20.0
2015-07-19,20.0,20.0,20.0
2015-07-26,20.0,20.0,20.0
2015-08-02,40.0,20.0,20.0
2015-08-09,20.0,3410.0,20.0
2015-08-16,20.0,20.0,20.0
2015-08-23,20.0,20.0,20.0
2015-08-30,20.0,6596.0,20.0
2015-09-06,20.0,20.0,20.0
2015-09-13,20.0,20.0,20.0
2015-09-20,20.0,20.0,20.0
2015-09-27,20.0,20.0,120.0
2015-10-04,20.0,20.0,20.0
2015-10-11,40.0,20.0,20.0
2015-10-18,20.0,20.0,20.0
2015-10-25,20.0,20.0,20.0
2015-11-01,20.0,20.0,40.0
2015-11-08,20.0,20.0,20.0
2015-11-15,20.0,20.0,20.0
2015-11-22,20.0,20.0,20.0
2015-11-29,20.0,20.0,20.0
2015-12-06,20.0,20.0,20.0
2015-12-13,20.0,20.0,20.0
2015-12-20,20.0,2827.0,20.0
2015-12-27,20.0,20.0,20.0
2016-01-03,20.0,20.0,20.0
2016-01-10,20.0,20.0,20.0
2016-01-17,20.0,20.0,20.0
2016-01-24,20.0,20.0,20.0
2016-01-31,20.0,20.0,20.0
2016-02-07,80.0,20.0,20.0
2016-02-14,20.0,20.0,20.0
2016-02-21,20.0,20.0,20.0
2016-02-28,20.0,20.0,20.0
2016-03-06,480.0,20.0,20.0
2016-03-13,20.0,20.0,20.0
2016-03-20,20.0,20.0,20.0
2016-03-27,20.0,5634.0,20.0
2016-04-03,160.0,20.0,20.0
2016-04-10,20.0,20.0,20.0
2016-04-17,20.0,20.0,20.0
2016-04-24,20.0,20.0,20.0
2016-05-01,,822.0,
2016-05-08,20.0,20.0,60.0
2016-05-15,,955.6666666666666,
2016-05-22,,20.0,
2016-05-29,20.0,20.0,20.0
2016-06-05,20.0,20.0,20.0
2016-06-12,20.0,16000.0,20.0
2016-06-19,20.0,20800.0,20.0
2016-06-26,20.0,48695.0,20.0
2016-07-03,20.0,11480.0,20.0
2016-07-10,20.0,3200.0,20.0
2016-07-17,20.0,20.0,20.0
2016-07-24,20.0,20.0,20.0
2016-07-31,20.0,20.0,20.0
2016-08-07,,12033.57142857143,
2016-08-14,80.0,28800.0,20.0
2016-08-21,160.0,20.0,20.0
2016-08-28,40.0,20.0,20.0
2016-09-04,20.0,20.0,20.0
2016-09-11,80.0,20.0,80.0
2016-09-18,20.0,20.0,40.0
2016-09-25,120.0,20.0,20.0
2016-10-02,20.0,20.0,40.0
2016-10-09,20.0,20.0,20.0
2016-10-16,20.0,20.0,20.0
2016-10-23,20.0,20.0,20.0
2016-10-30,20.0,20.0,20.0
2016-11-06,,20.0,
2016-11-13,20.0,20.0,20.0
2016-11-20,20.0,20.0,20.0
2016-11-27,20.0,20.0,20.0
2016-12-04,20.0,20.0,280.0
2016-12-11,20.0,20.0,320.0
2016-12-18,20.0,20.0,20.0
2016-12-25,20.0,20.0,20.0
2017-01-01,20.0,20.0,20.0
2017-01-08,200.0,20.0,160.0
2017-01-15,80.0,4920.0,20.0
2017-01-22,20.0,20.0,20.0
2017-01-29,20.0,20.0,20.0
2017-02-05,20.0,20.0,320.0
2017-02-12,20.0,20.0,20.0
2017-02-19,20.0,20.0,20.0
2017-02-26,20.0,20.0,20.0
2017-03-05,20.0,20.0,20.0
2017-03-12,20.0,20.0,20.0
2017-03-19,20.0,20.0,20.0
2017-03-26,20.0,20.0,20.0
2017-04-02,20.0,20.0,20.0
2017-04-09,20.0,20.0,20.0
2017-04-16,20.0,20.0,20.0
2017-04-23,20.0,20.0,20.0
2017-04-30,20.0,21320.0,20.0
2017-05-07,40.0,4920.0,20.0
2017-05-14,20.0,20.0,20.0
2017-05-21,20.0,6400.0,40.0
2017-05-28,20.0,20.0,20.0
2017-06-04,,4674.285714285715,
2017-06-11,20.0,20.0,20.0
2017-06-18,20.0,19200.0,20.0
2017-06-25,20.0,22400.0,20.0
2017-07-02,20.0,20.0,20.0
2017-07-09,20.0,20.0,20.0
2017-07-16,20.0,20.0,20.0
2017-07-23,20.0,20.0,20.0
2017-07-30,20.0,20.0,20.0
2017-08-06,,5957.142857142857,
2017-08-13,20.0,20.0,20.0
2017-08-20,20.0,25600.0,20.0
2017-08-27,20.0,3200.0,20.0
2017-09-03,20.0,20.0,20.0
2017-09-10,80400.0,20.0,20.0
2017-09-17,20.0,20.0,20.0
2017-09-24,20.0,20.0,20.0
2017-10-01,80.0,20.0,20.0
2017-10-08,20.0,20.0,20.0
2017-10-15,40.0,20.0,20.0
2017-10-22,20.0,20.0,20.0
2017-10-29,20.0,20.0,20.0
2017-11-05,80.0,20.0,20.0
2017-11-12,20.0,20.0,20.0
2017-11-19,20.0,20.0,20.0
2017-11-26,20.0,20.0,20.0
2017-12-03,20.0,20.0,20.0
2017-12-10,20.0,20.0,20.0
2017-12-17,20.0,20.0,20.0
2017-12-24,20.0,20.0,20.0
2017-12-31,20.0,20.0,20.0
2018-01-07,40.0,20.0,20.0
2018-01-14,40.0,20.0,20.0
2018-01-21,20.0,20.0,20.0
2018-01-28,20.0,20.0,40.0
2018-02-04,20.0,20.0,20.0
2018-02-11,20.0,20.0,80.0
2018-02-18,20.0,20.0,20.0
2018-02-25,40.0,20.0,20.0
2018-03-04,20.0,20.0,20.0
2018-03-11,20.0,4800.0,20.0
2018-03-18,20.0,20.0,20.0
2018-03-25,20.0,20.0,20.0
2018-04-01,20.0,20.0,20.0
2018-04-08,20.0,20.0,20.0
2018-04-15,20.0,20.0,20.0
2018-04-22,40.0,20.0,20.0
2018-04-29,40.0,20.0,20.0
2018-05-06,8040.0,20.0,20.0
2018-05-13,20.0,20.0,20.0
2018-05-20,20.0,32000.0,20.0
2018-05-27,20.0,20.0,20.0
2018-06-03,40.0,20.0,20.0
2018-06-10,20.0,20.0,20.0
2018-06-17,20.0,20.0,20.0
2018-06-24,20.0,20.0,20.0
2018-07-01,20.0,184000.0,20.0
2018-07-08,20.0,20.0,20.0
2018-07-15,20.0,28800.0,20.0
2018-07-22,20.0,20.0,20.0
2018-07-29,20.0,20.0,20.0
2018-08-05,20.0,20.0,20.0
2018-08-12,,30414.285714285714,
2018-08-19,,35480.0,
2018-08-26,20.0,20.0,20.0
2018-09-02,30.0,20.0,310.0
2018-09-09,20.0,20.0,20.0
2018-09-16,40.0,1600.0,80.0
2018-09-23,20.0,20.0,20.0
2018-09-30,20.0,20.0,20.0
2018-10-07,20.0,20.0,20.0
2018-10-14,,245.71428571428572,
2018-10-21,20.0,20.0,20.0
2018-10-28,40.0,20.0,20.0
2018-11-04,40.0,20.0,20.0
2018-11-11,20.0,20.0,20.0
2018-11-18,20.0,20.0,20.0
2018-11-25,40.0,20.0,20.0
2018-12-02,20.0,20.0,20.0
2018-12-09,20.0,20.0,20.0
2018-12-16,20.0,20.0,20.0
2018-12-23,20.0,20.0,20.0
2018-12-30,,20.0,
2019-01-06,,20.0,
2019-01-13,20.0,20.0,20.0
2019-01-20,20.0,20.0,20.0
2019-01-27,20.0,20.0,20.0
2019-02-03,20.0,6560.0,20.0
2019-02-10,20.0,20.0,20.0
2019-02-17,,1328.0,
2019-02-24,20.0,20.0,20.0
2019-03-03,20.0,20.0,20.0
2019-03-10,20.0,20.0,20.0
2019-03-17,20.0,20.0,20.0
2019-03-24,20.0,20.0,20.0
2019-03-31,20.0,9840.0,20.0
2019-04-07,20.0,20500.0,20.0
2019-04-14,20.0,19680.0,20.0
2019-04-21,80.0,24600.0,20.0
2019-04-28,40.0,84460.0,20.0
2019-05-05,80.0,12300.0,20.0
2019-05-12,20.0,15580.0,20.0
2019-05-19,80.0,1640.0,20.0
2019-05-26,280.0,16400.0,20.0
2019-06-02,20.0,20.0,20.0
2019-06-09,20.0,7380.0,20.0
2019-06-16,40.0,13120.0,20.0
2019-06-23,20.0,218940.0,20.0
2019-06-30,120.0,102500.0,20.0
2019-07-07,20.0,20.0,20.0
2019-07-14,40.0,20.0,20.0
2019-07-21,80.0,20.0,20.0
2019-07-28,120.0,21320.0,20.0
2019-08-04,20.0,17220.0,20.0
2019-08-11,20.0,399340.0,20.0
2019-08-18,400.0,20.0,320.0
2019-08-25,960.0,12300.0,240.0
2019-09-01,8920.0,24600.0,760.0
2019-09-08,2400.0,288640.0,20.0
2019-09-15,,109062.85714285714,
2019-09-22,,123686.66666666667,
2019-09-29,240.0,23780.0,20.0
2019-10-06,,69868.0,
2019-10-13,560.0,5740.0,20.0
2019-10-20,320.0,1640.0,20.0
2019-10-27,80.0,20.0,20.0
2019-11-03,80.0,20.0,20.0
2019-11-10,160.0,20.0,20.0
2019-11-17,40.0,20.0,20.0
2019-11-24,20.0,20.0,20.0
2019-12-01,20.0,2460.0,20.0
2019-12-08,20.0,20.0,20.0
2019-12-15,20.0,20.0,20.0
2019-12-22,20.0,20.0,20.0
2019-12-29,40.0,20.0,20.0
2020-01-05,,368.57142857142856,
2020-01-12,20.0,20.0,20.0
2020-01-19,80.0,20.0,20.0
2020-01-26,20.0,400.0,20.0
2020-02-02,20.0,440.0,20.0
2020-02-09,20.0,20.0,20.0
2020-02-16,320.0,20.0,20.0
2020-02-23,360.0,840.0,20.0
2020-03-01,20.0,160.0,20.0
2020-03-08,80.0,20.0,20.0
2020-03-15,20.0,20.0,20.0
2020-03-22,,217.14285714285714,
2020-03-29,20.0,20.0,20.0
2020-04-05,20.0,20.0,20.0
2020-04-12,20.0,97580.0,20.0
2020-04-19,40.0,21120.0,20.0
2020-04-26,40.0,20.0,20.0
2020-05-03,320.0,2360.0,20.0
2020-05-10,880.0,1160.0,20.0
2020-05-17,1200.0,20.0,20.0
2020-05-24,120.0,160.0,20.0
2020-05-31,120.0,28700.0,400.0
2020-06-07,40.0,10160.0,1800.0
2020-06-14,,6082.857142857143,
2020-06-21,20.0,2000.0,20.0
2020-06-28,280.0,175480.0,4640.0
2020-07-05,80.0,1280.0,600.0
2020-07-12,200.0,26680.0,20.0
2020-07-19,160.0,102500.0,20.0
2020-07-26,200.0,18600.0,20.0
2020-08-02,80.0,80.0,20.0
2020-08-09,60.0,20.0,20.0
2020-08-16,40.0,160.0,20.0
2020-08-23,440.0,20.0,20.0
2020-08-30,40.0,1400.0,20.0
2020-09-06,20.0,66010.0,20.0
2020-09-13,20.0,68880.0,20.0
2020-09-20,480.0,20.0,20.0
2020-09-27,20.0,20.0,20.0
2020-10-04,20.0,20.0,20.0
2020-10-11,20.0,20.0,20.0
2020-10-18,20.0,20.0,20.0
2020-10-25,,19284.285714285714,
2020-11-01,20.0,480.0,20.0
2020-11-08,880.0,20.0,20.0
2020-11-15,20.0,160.0,20.0
2020-11-22,20.0,960.0,20.0
2020-11-29,20.0,2120.0,20.0
2020-12-06,20.0,20.0,20.0
2020-12-13,,626.6666666666666,
2020-12-20,20.0,20.0,20.0
2020-12-27,20.0,20.0,20.0
