Date,dsp_phyto,asp_phyto,psp_phyto
2014-11-09,80.0,52292.0,20.0
2014-11-16,20.0,20.0,20.0
2014-11-23,20.0,6820.0,300.0
2014-11-30,60.0,3978.0,200.0
2014-12-07,240.0,1705.0,60.0
2014-12-14,20.0,20.0,120.0
2014-12-21,60.0,1136.0,20.0
2014-12-28,20.0,20.0,140.0
2015-01-04,,20.0,
2015-01-11,20.0,20.0,140.0
2015-01-18,40.0,4547.0,20.0
2015-01-25,20.0,20.0,20.0
2015-02-01,20.0,20.0,20.0
2015-02-08,20.0,20.0,20.0
2015-02-15,20.0,6251.0,20.0
2015-02-22,20.0,2274.0,20.0
2015-03-01,20.0,10800.0,80.0
2015-03-08,20.0,2842.0,20.0
2015-03-15,20.0,5115.0,20.0
2015-03-22,20.0,6821.0,20.0
2015-03-29,40.0,20.0,160.0
2015-04-05,20.0,862.5,30.0
2015-04-12,1180.0,20.0,200.0
2015-04-19,740.0,20.0,380.0
2015-04-26,6252.0,25010.0,20.0
2015-05-03,20.0,103557.0,20.0
2015-05-10,80.0,293294.0,20.0
2015-05-17,320.0,67640.0,140.0
2015-05-24,320.0,20.0,20.0
2015-05-31,20.0,20.0,20.0
2015-06-07,40.0,2638.0,20.0
2015-06-14,1300.0,20.0,340.0
2015-06-21,20.0,1319.0,20.0
2015-06-28,20.0,20.0,20.0
2015-07-05,50.0,20.0,20.0
2015-07-12,20.0,20.0,60.0
2015-07-19,40.0,3550.0,20.0
2015-07-26,40.0,3958.0,20.0
2015-08-02,20.0,7388.0,20.0
2015-08-09,120.0,20.0,20.0
2015-08-16,20.0,20.0,80.0
2015-08-23,20.0,5684.0,20.0
2015-08-30,20.0,669007.0,20.0
2015-09-06,360.0,61956.0,980.0
2015-09-13,100.0,63981.0,160.0
2015-09-20,40.0,419760.0,20.0
2015-09-27,60.0,219971.0,40.0
2015-10-04,140.0,7775.0,20.0
2015-10-11,20.0,2842.0,20.0
2015-10-18,120.0,10710.0,20.0
2015-10-25,20.0,20.0,20.0
2015-11-01,80.0,20.0,480.0
2015-11-08,40.0,20.0,20.0
2015-11-15,20.0,20.0,20.0
