Date,dsp_toxins,asp_toxins,psp_toxins
2015-01-11,16.0,1.8,71.0
2015-01-18,26.0,,
2015-01-25,29.333333333333332,,
2015-02-01,36.0,1.8,71.0
2015-02-08,31.0,,
2015-02-15,36.0,1.8,71.0
2015-02-22,36.0,1.8,71.0
2015-03-01,36.0,,
2015-03-08,36.0,,
2015-03-15,36.625,,
2015-03-22,36.0,1.8,71.0
2015-03-29,36.625,,
2015-04-05,38.5,2.2,71.0
2015-04-12,36.0,86.0,71.0
2015-04-19,36.0,10.0,71.0
2015-04-26,56.0,1.8,71.0
2015-05-03,45.5,,
2015-05-10,77.0,1.8,71.0
2015-05-17,40.0,1.8,71.0
2015-05-24,35.0,1.8,71.0
2015-05-31,39.0,1.8,71.0
2015-06-07,45.4,,
2015-06-14,36.0,1.8,71.0
2015-06-21,36.666666666666664,,
2015-06-28,37.5,,
2015-07-05,49.5,,
2015-07-12,85.0,,
2015-07-19,97.16666666666667,,
2015-07-26,63.0,1.8,71.0
2015-08-02,156.0,3.0,71.0
2015-08-09,72.5,32.65,71.0
2015-08-16,68.0,1.8,71.0
2015-08-23,48.0,1.8,71.0
2015-08-30,88.07142857142857,,
2015-09-06,132.0,1.8,71.0
2015-09-13,86.0,1.8,71.0
2015-09-20,54.0,1.8,71.0
2015-09-27,45.0,,
2015-10-04,21.0,1.8,71.0
2015-10-11,45.285714285714285,,
2015-10-18,23.0,1.8,71.0
2015-10-25,58.0,1.8,
2015-11-01,30.0,1.8,71.0
2015-11-08,52.0,1.8,71.0
2015-11-15,44.0,1.8,71.0
2015-11-22,44.0,1.8,71.0
2015-11-29,44.0,1.8,71.0
2015-12-06,46.0,,
2015-12-13,44.0,,
2015-12-20,44.0,,
2015-12-27,40.0,,
2016-01-03,36.0,,
2016-01-10,36.0,,
2016-01-17,36.0,1.8,71.0
2016-01-24,36.0,1.8,71.0
2016-01-31,36.0,1.8,71.0
2016-02-07,36.0,,
2016-02-14,36.0,,
2016-02-21,36.0,1.8,71.0
2016-02-28,36.0,1.8,71.0
2016-03-06,36.0,1.8,71.0
2016-03-13,36.0,1.8,71.0
2016-03-20,36.0,1.8,71.0
2016-03-27,36.0,1.8,71.0
2016-04-03,109.5,,
2016-04-10,122.0,1.8,71.0
2016-04-17,224.66666666666666,,
2016-04-24,391.0,1.8,71.0
2016-05-01,673.0,1.8,71.0
2016-05-08,90.0,1.8,71.0
2016-05-15,478.0,,
2016-05-22,193.0,1.8,71.0
2016-05-29,32.0,1.8,71.0
2016-06-05,160.83333333333334,,
2016-06-12,39.0,3.5,71.0
2016-06-19,133.0,20.1,
2016-06-26,54.2,,
2016-07-03,60.4,,
2016-07-10,31.0,1.8,71.0
2016-07-17,36.0,1.8,71.0
2016-07-24,63.0,1.8,71.0
2016-07-31,36.0,10.8,71.0
2016-08-07,63.0,1.8,71.0
2016-08-14,36.0,1.8,71.0
2016-08-21,63.0,1.8,71.0
2016-08-28,63.0,1.8,71.0
2016-09-04,36.0,1.8,71.0
2016-09-11,36.0,,
2016-09-18,36.0,1.8,
2016-09-25,97.0,1.8,71.0
2016-10-02,36.0,1.8,71.0
2016-10-09,71.66666666666667,,
2016-10-16,73.16666666666667,,
2016-10-23,139.0,1.8,71.0
2016-10-30,86.0,1.8,71.0
2016-11-06,45.0,1.8,71.0
2016-11-13,46.0,1.8,71.0
2016-11-20,36.0,1.8,71.0
2016-11-27,36.0,1.8,71.0
2016-12-04,36.0,1.8,71.0
2016-12-11,36.0,1.8,189.0
2016-12-18,32.0,1.8,198.0
2016-12-25,36.0,1.8,373.0
2017-01-01,36.166666666666664,,
2017-01-08,41.0,1.8,216.0
2017-01-15,48.916666666666664,,
2017-01-22,36.0,1.8,71.0
2017-01-29,36.0,1.8,71.0
2017-02-05,112.5,2.3,108.5
2017-02-12,36.0,1.8,
2017-02-19,36.0,1.8,329.0
2017-02-26,36.0,1.8,208.0
2017-03-05,36.0,1.8,58.0
2017-03-12,36.0,,
2017-03-19,36.0,1.8,106.0
2017-03-26,36.0,1.8,71.0
2017-04-02,36.0,1.8,71.0
2017-04-09,36.0,1.8,71.0
2017-04-16,39.0,1.8,71.0
2017-04-23,43.0,53.5,71.0
2017-04-30,186.0,15.5,71.0
2017-05-07,36.0,1.8,71.0
2017-05-14,83.5,,
2017-05-21,83.0,,
2017-05-28,155.0,1.8,71.0
2017-06-04,42.0,1.8,
2017-06-11,36.0,1.8,71.0
2017-06-18,67.5,1.8,
2017-06-25,67.5,,
2017-07-02,37.75,,
2017-07-09,37.0,1.8,71.0
2017-07-16,38.75,,
2017-07-23,36.0,1.8,71.0
2017-07-30,36.0,1.8,71.0
2017-08-06,46.0,1.8,113.0
2017-08-13,38.0,,
2017-08-20,36.0,3.9,71.0
2017-08-27,36.0,4.0,84.0
2017-09-03,38.0,1.8,71.0
2017-09-10,36.0,1.8,71.0
2017-09-17,42.75,,
2017-09-24,36.0,1.8,71.0
2017-10-01,36.0,1.8,85.0
2017-10-08,76.5,1.8,71.0
2017-10-15,42.75,,
2017-10-22,36.0,1.8,71.0
2017-10-29,36.0,1.8,71.0
2017-11-05,36.0,1.8,71.0
2017-11-12,36.0,1.8,71.0
2017-11-19,36.0,1.8,71.0
2017-11-26,36.0,1.8,71.0
2017-12-03,36.0,1.8,71.0
2017-12-10,36.0,1.8,71.0
2017-12-17,36.0,,
2017-12-24,36.0,1.8,71.0
2017-12-31,36.0,,
2018-01-07,36.0,,
2018-01-14,36.0,,
2018-01-21,36.0,1.8,71.0
2018-01-28,36.0,1.8,71.0
2018-02-04,36.0,1.8,71.0
2018-02-11,36.0,1.8,71.0
2018-02-18,36.0,,
2018-02-25,36.0,1.8,71.0
2018-03-04,36.0,1.8,71.0
2018-03-11,36.0,1.8,71.0
2018-03-18,36.0,,
2018-03-25,36.0,1.8,71.0
2018-04-01,36.0,1.8,71.0
2018-04-08,44.8,,
2018-04-15,47.0,,
2018-04-22,80.0,1.8,71.0
2018-04-29,36.0,1.8,71.0
2018-05-06,50.2,,
2018-05-13,36.0,1.8,71.0
2018-05-20,63.0,1.8,71.0
2018-05-27,36.0,1.8,71.0
2018-06-03,171.0,1.8,71.0
2018-06-10,162.5,1.8,71.0
2018-06-17,188.0,1.8,71.0
2018-06-24,118.7,,
2018-07-01,118.7,,
2018-07-08,105.625,,
2018-07-15,36.0,3.8,71.0
2018-07-22,36.0,1.8,71.0
2018-07-29,36.0,,
2018-08-05,36.0,1.8,71.0
2018-08-12,36.0,1.8,40.0
2018-08-19,36.0,1.8,71.0
2018-08-26,36.0,1.8,71.0
2018-09-02,36.0,1.8,71.0
2018-09-09,36.0,1.8,71.0
2018-09-16,36.0,,
2018-09-23,36.0,1.8,71.0
2018-09-30,36.0,1.8,71.0
2018-10-07,36.0,,73.0
2018-10-14,36.0,1.8,71.0
2018-10-21,36.0,,
2018-10-28,36.0,1.8,71.0
2018-11-04,36.0,,
2018-11-11,36.0,,
2018-11-18,36.0,1.8,71.0
2018-11-25,36.0,,
2018-12-02,36.0,1.8,71.0
2018-12-09,36.0,1.8,71.0
2018-12-16,36.0,1.8,71.0
2018-12-23,36.0,,
2018-12-30,36.0,1.8,71.0
2019-01-06,36.0,1.8,71.0
2019-01-13,36.0,1.8,71.0
2019-01-20,36.0,5.0,71.0
2019-01-27,36.0,1.8,71.0
2019-02-03,36.0,,
2019-02-10,36.0,1.8,71.0
2019-02-17,36.0,1.8,71.0
2019-02-24,36.0,1.8,71.0
2019-03-03,49.6,,
2019-03-10,47.333333333333336,,
2019-03-17,104.0,1.8,71.0
2019-03-24,36.0,1.8,71.0
2019-03-31,36.0,1.8,71.0
2019-04-07,36.0,1.8,71.0
2019-04-14,47.333333333333336,,
2019-04-21,36.0,1.8,71.0
2019-04-28,66.41666666666667,,
2019-05-05,36.0,30.0,71.0
2019-05-12,83.5,6.0,
2019-05-19,171.0,1.8,
2019-05-26,36.0,1.8,
2019-06-02,72.5,,
2019-06-09,36.0,,
2019-06-16,81.0,,
2019-06-23,36.0,,
2019-06-30,36.0,,
2019-07-07,36.0,,
2019-07-14,36.0,1.8,
2019-07-21,36.0,1.8,71.0
2019-07-28,36.0,1.8,71.0
2019-08-04,36.0,,
2019-08-11,36.0,1.8,71.0
2019-08-18,36.0,,
2019-08-25,36.0,1.8,71.0
2019-09-01,36.0,1.8,71.0
2019-09-08,36.0,1.8,71.0
2019-09-15,36.0,1.8,71.0
2019-09-22,36.0,1.8,71.0
2019-09-29,55.0,,
2019-10-06,36.0,1.8,71.0
2019-10-13,36.0,1.8,71.0
2019-10-20,169.0,1.8,71.0
2019-10-27,407.0,1.8,71.0
2019-11-03,36.0,1.8,71.0
2019-11-10,27.0,1.8,71.0
2019-11-17,118.5,,
2019-11-24,108.4,,
2019-12-01,36.0,1.8,
2019-12-08,36.0,1.8,
2019-12-15,36.0,,
2019-12-22,36.0,,
2019-12-29,36.0,,
2020-01-05,36.0,1.8,
2020-01-12,36.0,,
2020-01-19,36.0,1.8,
2020-01-26,36.0,,
2020-02-02,36.0,1.8,
2020-02-09,36.0,1.8,
2020-02-16,36.0,1.8,
2020-02-23,36.0,,
2020-03-01,36.0,,
2020-03-08,123.5,,
2020-03-15,36.0,1.8,71.0
2020-03-22,386.0,1.8,71.0
2020-03-29,36.0,1.8,71.0
2020-04-05,36.0,1.8,71.0
2020-04-12,36.0,4.0,71.0
2020-04-19,36.0,1.8,71.0
2020-04-26,114.0,1.8,71.0
2020-05-03,36.0,1.8,71.0
2020-05-10,366.0,1.8,71.0
2020-05-17,377.5,1.8,71.0
2020-05-24,326.5,1.8,71.0
2020-05-31,206.0,1.8,71.0
2020-06-07,224.66666666666666,,
2020-06-14,196.4,,
2020-06-21,36.0,3.1,71.0
2020-06-28,36.0,1.8,71.0
2020-07-05,36.0,,
2020-07-12,36.0,7.0,71.0
2020-07-19,36.0,5.0,71.0
2020-07-26,36.0,1.8,
2020-08-02,36.0,1.8,71.0
2020-08-09,36.0,1.8,
2020-08-16,36.0,1.8,71.0
2020-08-23,36.0,3.21,71.0
2020-08-30,89.0,1.8,71.0
2020-09-06,195.0,1.8,71.0
2020-09-13,36.0,1.8,71.0
2020-09-20,79.0,1.8,71.0
2020-09-27,63.0,1.8,71.0
2020-10-04,78.66666666666667,,
2020-10-11,52.166666666666664,,
2020-10-18,63.0,1.8,71.0
2020-10-25,36.0,1.8,71.0
