Date,dsp_toxins,asp_toxins,psp_toxins
2015-01-11,64.0,1.8,71.0
2015-01-18,69.0,1.8,71.0
2015-01-25,67.0,1.8,71.0
2015-02-01,85.0,1.8,71.0
2015-02-08,114.0,1.8,71.0
2015-02-15,60.0,1.8,71.0
2015-02-22,63.0,1.8,71.0
2015-03-01,61.0,1.8,71.0
2015-03-08,83.0,1.8,71.0
2015-03-15,,,81.66017316017316
2015-03-22,57.0,1.8,71.0
2015-03-29,76.0,1.8,71.0
2015-04-05,119.0,1.8,71.0
2015-04-12,70.0,29.0,71.0
2015-04-19,85.0,48.0,71.0
2015-04-26,850.0,4.0,71.0
2015-05-03,758.0,1.8,71.0
2015-05-10,613.0,1.8,71.0
2015-05-17,394.0,1.8,71.0
2015-05-24,349.0,1.8,71.0
2015-05-31,217.0,1.8,71.0
2015-06-07,122.5,1.8,71.0
2015-06-14,,,81.66017316017316
2015-06-21,283.0,1.8,71.0
2015-06-28,87.0,1.8,71.0
2015-07-05,111.0,1.8,71.0
2015-07-12,76.0,1.8,71.0
2015-07-19,166.0,1.8,71.0
2015-07-26,606.0,1.8,71.0
2015-08-02,391.0,1.8,71.0
2015-08-09,364.0,18.2,71.0
2015-08-16,296.0,1.8,71.0
2015-08-23,309.0,1.8,71.0
2015-08-30,246.0,1.8,71.0
2015-09-06,691.0,1.8,71.0
2015-09-13,455.0,1.8,71.0
2015-09-20,382.0,1.8,71.0
2015-09-27,324.0,1.8,71.0
2015-10-04,159.0,1.8,71.0
2015-10-11,232.0,1.8,71.0
2015-10-18,241.0,1.8,81.66017316017316
2015-10-25,166.0,1.8,81.66017316017316
2015-11-01,132.0,1.8,71.0
2015-11-08,667.0,1.8,71.0
2015-11-15,330.0,1.8,71.0
2015-11-22,306.0,1.8,71.0
2015-11-29,311.0,1.8,71.0
2015-12-06,195.0,1.8,71.0
2015-12-13,,,81.66017316017316
2015-12-20,182.0,1.8,71.0
2015-12-27,,,81.66017316017316
2016-01-03,145.0,1.8,71.0
2016-01-10,,,81.66017316017316
2016-01-17,122.5,1.8,71.0
2016-01-24,,,81.66017316017316
2016-01-31,172.0,1.8,71.0
2016-02-07,99.0,1.8,71.0
2016-02-14,42.0,1.8,71.0
2016-02-21,45.0,1.8,71.0
2016-02-28,37.0,1.8,71.0
2016-03-06,40.0,1.8,71.0
2016-03-13,36.5,1.8,71.0
2016-03-20,,,81.66017316017316
2016-03-27,,,81.66017316017316
2016-04-03,,,81.66017316017316
2016-04-10,490.0,1.8,71.0
2016-04-17,259.0,1.8,71.0
2016-04-24,275.0,1.8,71.0
2016-05-01,603.0,1.8,71.0
2016-05-08,452.0,1.8,71.0
2016-05-15,850.0,1.8,71.0
2016-05-22,463.0,1.8,71.0
2016-05-29,333.0,1.8,71.0
2016-06-05,,,81.66017316017316
2016-06-12,305.0,1.8,71.0
2016-06-19,243.0,1.8,71.0
2016-06-26,236.0,1.8,71.0
2016-07-03,149.0,1.8,71.0
2016-07-10,154.0,1.8,71.0
2016-07-17,37.0,1.8,71.0
2016-07-24,63.0,1.8,71.0
2016-07-31,89.0,1.8,71.0
2016-08-07,68.0,1.8,71.0
2016-08-14,105.0,1.8,71.0
2016-08-21,139.0,1.8,71.0
2016-08-28,850.0,1.8,71.0
2016-09-04,492.0,1.8,71.0
2016-09-11,565.0,1.8,71.0
2016-09-18,219.0,1.8,71.0
2016-09-25,556.0,1.8,71.0
2016-10-02,,,81.66017316017316
2016-10-09,,,81.66017316017316
2016-10-16,,,81.66017316017316
2016-10-23,,,81.66017316017316
2016-10-30,,,81.66017316017316
2016-11-06,,,81.66017316017316
2016-11-13,,,81.66017316017316
2016-11-20,,,81.66017316017316
2016-11-27,,,81.66017316017316
2016-12-04,,,81.66017316017316
2016-12-11,152.0,1.8,71.0
2016-12-18,135.0,1.8,71.0
2016-12-25,169.0,1.8,955.0
2017-01-01,,,81.66017316017316
2017-01-08,,,81.66017316017316
2017-01-15,,,81.66017316017316
2017-01-22,105.0,1.8,93.0
2017-01-29,,,81.66017316017316
2017-02-05,112.5,1.8,114.5
2017-02-12,625.0,1.8,71.0
2017-02-19,71.0,1.8,1284.0
2017-02-26,74.0,1.8,284.0
2017-03-05,34.0,1.8,98.0
2017-03-12,88.0,1.8,71.0
2017-03-19,48.0,1.8,71.0
2017-03-26,42.0,1.8,71.0
2017-04-02,34.0,1.8,71.0
2017-04-09,55.0,1.8,101.0
2017-04-16,,,81.66017316017316
2017-04-23,167.0,1.8,71.0
2017-04-30,625.0,10.6,71.0
2017-05-07,439.0,1.8,71.0
2017-05-14,,,81.66017316017316
2017-05-21,625.0,1.8,71.0
2017-05-28,625.0,1.8,71.0
2017-06-04,293.0,1.8,71.0
2017-06-11,,,81.66017316017316
2017-06-18,,,81.66017316017316
2017-06-25,262.0,1.8,71.0
2017-07-02,115.0,1.8,71.0
2017-07-09,,1.8,71.0
2017-07-16,,,81.66017316017316
2017-07-23,84.0,1.8,71.0
2017-07-30,68.0,1.8,71.0
2017-08-06,,,81.66017316017316
2017-08-13,,,81.66017316017316
2017-08-20,61.0,1.8,81.66017316017316
2017-08-27,73.0,1.8,78.0
2017-09-03,,1.8,86.0
2017-09-10,570.0,1.8,71.0
2017-09-17,,,81.66017316017316
2017-09-24,54.0,1.8,90.0
2017-10-01,140.0,1.8,97.0
2017-10-08,78.0,1.8,71.0
2017-10-15,,,81.66017316017316
2017-10-22,62.0,1.8,71.0
2017-10-29,299.0,1.8,71.0
2017-11-05,36.0,1.8,71.0
2017-11-12,80.5,1.8,64.0
2017-11-19,177.0,1.8,71.0
2017-11-26,220.0,1.8,71.0
2017-12-03,149.0,1.8,71.0
2017-12-10,121.0,1.8,71.0
2017-12-17,,,81.66017316017316
2017-12-24,113.0,1.8,71.0
2017-12-31,,,81.66017316017316
2018-01-07,76.0,1.8,71.0
2018-01-14,36.0,1.8,71.0
2018-01-21,36.0,1.8,71.0
2018-01-28,36.0,1.8,71.0
2018-02-04,36.0,1.8,71.0
2018-02-11,36.0,1.8,71.0
2018-02-18,36.0,1.8,71.0
2018-02-25,36.0,1.8,71.0
2018-03-04,,,81.66017316017316
2018-03-11,70.0,1.8,71.0
2018-03-18,,,81.66017316017316
2018-03-25,62.0,1.8,71.0
2018-04-01,36.0,1.8,71.0
