Date,dsp_toxins,asp_toxins,psp_toxins
2015-01-11,68.0,1.8,71.0
2015-01-18,77.0,1.8,71.0
2015-01-25,36.0,1.8,71.0
2015-02-01,21.0,1.8,71.0
2015-02-08,31.0,1.8,71.0
2015-02-15,24.0,1.8,71.0
2015-02-22,20.0,1.8,71.0
2015-03-01,36.0,1.8,71.0
2015-03-08,38.0,1.8,71.0
2015-03-15,,1.8,
2015-03-22,27.0,1.8,71.0
2015-03-29,25.0,1.8,71.0
2015-04-05,27.0,1.8,71.0
2015-04-12,27.0,1.8,71.0
2015-04-19,33.0,1.8,71.0
2015-04-26,36.0,1.8,71.0
2015-05-03,51.0,1.8,71.0
2015-05-10,32.0,1.8,71.0
2015-05-17,25.0,1.8,71.0
2015-05-24,20.0,1.8,71.0
2015-05-31,17.0,1.8,71.0
2015-06-07,36.0,1.8,71.0
2015-06-14,36.0,1.8,71.0
2015-06-21,36.0,1.8,71.0
2015-06-28,36.0,1.8,71.0
2015-07-05,36.0,1.8,71.0
2015-07-12,20.0,1.8,71.0
2015-07-19,39.0,1.8,71.0
2015-07-26,61.0,1.8,71.0
2015-08-02,30.0,1.8,71.0
2015-08-09,21.0,1.8,71.0
2015-08-16,27.0,1.8,71.0
2015-08-23,26.0,1.8,71.0
2015-08-30,44.0,1.8,71.0
2015-09-06,32.0,1.8,71.0
2015-09-13,18.0,1.8,71.0
2015-09-20,109.0,1.8,71.0
2015-09-27,36.0,1.8,71.0
2015-10-04,28.0,1.8,71.0
2015-10-11,36.0,1.8,71.0
2015-10-18,392.0,1.8,
2015-10-25,310.0,1.8,
2015-11-01,36.0,1.8,71.0
2015-11-08,211.0,1.8,71.0
2015-11-15,44.0,1.8,71.0
2015-11-22,44.0,1.8,71.0
2015-11-29,44.0,1.8,71.0
2015-12-06,44.0,1.8,71.0
2015-12-13,44.0,1.8,71.0
2015-12-20,44.0,1.8,71.0
2015-12-27,22.0,1.8,71.0
2016-01-03,,1.8,
2016-01-10,36.0,1.8,71.0
