Date,dsp_toxins,asp_toxins,psp_toxins
2015-01-11,36.0,1.8,71.0
2015-01-18,44.0,1.8,71.0
2015-01-25,36.0,1.8,71.0
2015-02-01,36.0,1.8,71.0
2015-02-08,36.0,1.8,71.0
2015-02-15,18.0,1.8,71.0
2015-02-22,36.0,1.8,71.0
2015-03-01,36.0,1.8,71.0
2015-03-08,34.0,1.8,71.0
2015-03-15,,1.8,
2015-03-22,30.0,1.8,71.0
2015-03-29,36.0,1.8,71.0
2015-04-05,27.0,1.8,71.0
2015-04-12,36.0,1.8,71.0
2015-04-19,25.0,1.8,71.0
2015-04-26,36.0,1.8,71.0
2015-05-03,81.0,1.8,71.0
2015-05-10,58.0,1.8,71.0
2015-05-17,45.0,1.8,71.0
2015-05-24,25.0,1.8,71.0
2015-05-31,36.0,1.8,71.0
2015-06-07,36.0,1.8,71.0
2015-06-14,36.0,1.8,71.0
2015-06-21,36.0,1.8,71.0
2015-06-28,36.0,1.8,71.0
2015-07-05,36.0,1.8,71.0
2015-07-12,36.0,1.8,71.0
2015-07-19,46.0,1.8,71.0
2015-07-26,166.0,1.8,71.0
2015-08-02,36.0,1.8,71.0
2015-08-09,36.0,1.8,71.0
2015-08-16,36.0,1.8,71.0
2015-08-23,32.0,1.8,71.0
2015-08-30,44.0,1.8,71.0
2015-09-06,44.0,1.8,71.0
2015-09-13,24.0,1.8,71.0
2015-09-20,24.0,1.8,71.0
2015-09-27,46.0,1.8,71.0
2015-10-04,56.0,1.8,71.0
2015-10-11,36.0,1.8,71.0
2015-10-18,62.0,1.8,
2015-10-25,274.0,1.8,
2015-11-01,173.0,1.8,71.0
2015-11-08,156.0,1.8,71.0
2015-11-15,70.0,1.8,71.0
2015-11-22,44.0,1.8,71.0
2015-11-29,44.0,1.8,71.0
2015-12-06,44.0,1.8,71.0
2015-12-13,44.0,1.8,71.0
2015-12-20,44.0,1.8,71.0
2015-12-27,31.0,1.8,71.0
2016-01-03,,1.8,
2016-01-10,36.0,1.8,71.0
2016-01-17,36.0,1.8,71.0
2016-01-24,36.0,1.8,71.0
2016-01-31,35.0,1.8,71.0
2016-02-07,30.0,1.8,71.0
2016-02-14,36.0,1.8,71.0
2016-02-21,21.0,1.8,71.0
2016-02-28,36.0,1.8,71.0
2016-03-06,36.0,1.8,71.0
2016-03-13,36.0,1.8,71.0
2016-03-20,36.0,1.8,71.0
2016-03-27,36.0,1.8,71.0
2016-04-03,36.0,1.8,71.0
2016-04-10,143.0,1.8,71.0
2016-04-17,59.0,1.8,71.0
2016-04-24,135.0,1.8,71.0
2016-05-01,850.0,1.8,71.0
2016-05-08,98.0,1.8,71.0
2016-05-15,528.0,1.8,71.0
2016-05-22,339.0,1.8,71.0
2016-05-29,73.0,1.8,71.0
2016-06-05,186.0,1.8,71.0
2016-06-12,53.0,1.8,71.0
2016-06-19,107.0,1.8,71.0
2016-06-26,84.0,1.8,71.0
2016-07-03,39.0,1.8,71.0
2016-07-10,35.0,1.8,71.0
2016-07-17,36.0,1.8,71.0
2016-07-24,63.0,1.8,71.0
2016-07-31,36.0,1.8,71.0
2016-08-07,63.0,1.8,71.0
2016-08-14,36.0,1.8,71.0
2016-08-21,63.0,1.8,71.0
2016-08-28,,1.8,
2016-09-04,36.0,1.8,71.0
2016-09-11,36.0,1.8,71.0
2016-09-18,36.0,1.8,71.0
2016-09-25,36.0,1.8,71.0
2016-10-02,37.0,1.8,71.0
2016-10-09,60.0,1.8,13.0
2016-10-16,36.0,1.8,71.0
2016-10-23,30.0,1.8,71.0
2016-10-30,38.0,1.8,71.0
2016-11-06,36.0,1.8,71.0
2016-11-13,50.0,1.8,71.0
2016-11-20,36.0,1.8,71.0
2016-11-27,36.0,1.8,71.0
2016-12-04,36.0,1.8,71.0
2016-12-11,37.0,1.8,71.0
2016-12-18,30.0,1.8,71.0
2016-12-25,36.0,1.8,71.0
2017-01-01,36.0,1.8,71.0
2017-01-08,41.0,1.8,71.0
2017-01-15,,1.8,
2017-01-22,36.0,1.8,71.0
2017-01-29,36.0,1.8,71.0
2017-02-05,70.5,1.8,71.0
2017-02-12,,1.8,
2017-02-19,36.0,1.8,71.0
2017-02-26,36.0,1.8,71.0
2017-03-05,36.0,1.8,71.0
2017-03-12,95.0,1.8,71.0
2017-03-19,74.0,1.8,71.0
2017-03-26,32.0,1.8,71.0
2017-04-02,36.0,1.8,71.0
2017-04-09,36.0,1.8,71.0
2017-04-16,,1.8,
2017-04-23,48.0,1.8,71.0
2017-04-30,73.0,1.8,71.0
2017-05-07,31.0,1.8,71.0
2017-05-14,34.0,1.8,71.0
2017-05-21,34.0,1.8,71.0
2017-05-28,46.0,1.8,71.0
2017-06-04,36.0,1.8,71.0
2017-06-11,,1.8,
2017-06-18,,1.8,
2017-06-25,49.0,1.8,71.0
2017-07-02,48.5,1.8,71.0
2017-07-09,36.0,1.8,71.0
2017-07-16,,1.8,
2017-07-23,43.0,1.8,71.0
2017-07-30,36.0,1.8,71.0
2017-08-06,,1.8,
2017-08-13,,1.8,71.0
2017-08-20,76.0,1.8,71.0
2017-08-27,72.0,1.8,71.0
2017-09-03,48.0,1.8,71.0
2017-09-10,40.0,1.8,71.0
2017-09-17,,1.8,
2017-09-24,92.0,1.8,71.0
2017-10-01,57.5,1.8,71.0
2017-10-08,,1.8,
2017-10-15,33.0,1.8,71.0
2017-10-22,45.0,1.8,71.0
2017-10-29,36.0,1.8,71.0
2017-11-05,61.0,1.8,71.0
2017-11-12,33.5,1.8,71.0
2017-11-19,94.0,1.8,71.0
2017-11-26,70.0,1.8,71.0
2017-12-03,43.0,1.8,71.0
2017-12-10,79.5,1.8,71.0
2017-12-17,36.0,1.8,71.0
2017-12-24,50.0,1.8,71.0
2017-12-31,,1.8,
2018-01-07,33.0,1.8,71.0
2018-01-14,36.0,1.8,71.0
2018-01-21,36.0,1.8,71.0
2018-01-28,36.0,1.8,71.0
2018-02-04,36.0,1.8,71.0
2018-02-11,36.0,1.8,71.0
2018-02-18,36.0,1.8,71.0
2018-02-25,36.0,1.8,71.0
2018-03-04,,1.8,
2018-03-11,36.0,1.8,71.0
2018-03-18,36.0,1.8,71.0
2018-03-25,36.0,1.8,71.0
2018-04-01,36.0,1.8,71.0
2018-04-08,36.0,1.8,71.0
2018-04-15,36.0,1.8,71.0
2018-04-22,36.0,1.8,71.0
2018-04-29,36.0,1.8,71.0
2018-05-06,36.0,1.8,71.0
2018-05-13,36.0,1.8,71.0
2018-05-20,77.0,1.8,71.0
2018-05-27,36.0,1.8,71.0
2018-06-03,36.0,1.8,71.0
2018-06-10,36.0,1.8,71.0
2018-06-17,36.0,1.8,71.0
2018-06-24,36.0,1.8,71.0
2018-07-01,36.0,1.8,71.0
2018-07-08,89.0,1.8,71.0
2018-07-15,73.0,1.8,71.0
2018-07-22,36.0,1.8,71.0
2018-07-29,36.0,1.8,71.0
2018-08-05,36.0,1.8,71.0
2018-08-12,36.0,1.8,71.0
2018-08-19,104.0,1.8,71.0
2018-08-26,36.0,1.8,71.0
2018-09-02,36.0,1.8,71.0
2018-09-09,36.0,1.8,71.0
2018-09-16,36.0,1.8,71.0
2018-09-23,36.0,1.8,71.0
2018-09-30,36.0,1.8,29.0
2018-10-07,36.0,1.8,71.0
2018-10-14,36.0,1.8,635.0
2018-10-21,36.0,1.8,797.0
2018-10-28,36.0,1.8,456.0
2018-11-04,36.0,1.8,71.0
2018-11-11,36.0,1.8,39.0
2018-11-18,36.0,1.8,132.0
2018-11-25,36.0,1.8,10.0
2018-12-02,36.0,1.8,71.0
2018-12-09,,1.8,
2018-12-16,,1.8,
2018-12-23,68.0,1.8,71.0
2018-12-30,,1.8,
2019-01-06,36.0,1.8,71.0
2019-01-13,36.0,1.8,71.0
2019-01-20,196.0,1.8,71.0
2019-01-27,314.0,1.8,71.0
2019-02-03,36.0,1.8,71.0
2019-02-10,36.0,1.8,71.0
2019-02-17,84.0,1.8,71.0
2019-02-24,36.0,1.8,71.0
2019-03-03,36.0,1.8,71.0
2019-03-10,36.0,1.8,71.0
2019-03-17,96.0,1.8,71.0
2019-03-24,36.0,1.8,71.0
2019-03-31,36.0,1.8,71.0
2019-04-07,36.0,1.8,71.0
2019-04-14,108.0,1.8,71.0
2019-04-21,287.0,1.8,71.0
2019-04-28,271.0,1.8,71.0
2019-05-05,475.0,1.8,71.0
2019-05-12,309.0,1.8,
2019-05-19,209.0,1.8,
2019-05-26,180.0,1.8,
2019-06-02,87.0,1.8,
2019-06-09,36.0,1.8,
2019-06-16,36.0,1.8,
2019-06-23,36.0,1.8,
2019-06-30,36.0,1.8,
2019-07-07,36.0,1.8,71.0
2019-07-14,67.0,1.8,71.0
2019-07-21,36.0,1.8,
2019-07-28,57.0,1.8,71.0
2019-08-04,36.0,1.8,71.0
2019-08-11,,1.8,71.0
2019-08-18,36.0,1.8,71.0
2019-08-25,52.0,1.8,71.0
2019-09-01,36.0,1.8,71.0
2019-09-08,36.0,1.8,71.0
2019-09-15,36.0,1.8,71.0
2019-09-22,36.0,1.8,71.0
2019-09-29,36.0,1.8,71.0
2019-10-06,36.0,1.8,71.0
2019-10-13,36.0,1.8,71.0
2019-10-20,36.0,1.8,71.0
2019-10-27,36.0,1.8,71.0
2019-11-03,36.0,1.8,71.0
2019-11-10,36.0,1.8,71.0
2019-11-17,36.0,1.8,71.0
2019-11-24,36.0,1.8,71.0
2019-12-01,36.0,1.8,
2019-12-08,36.0,1.8,
2019-12-15,36.0,1.8,71.0
2019-12-22,36.0,1.8,
2019-12-29,,1.8,
2020-01-05,36.0,1.8,
2020-01-12,36.0,1.8,
2020-01-19,36.0,1.8,
2020-01-26,36.0,1.8,
2020-02-02,36.0,1.8,
2020-02-09,75.0,1.8,
2020-02-16,36.0,1.8,
2020-02-23,81.0,1.8,
2020-03-01,77.0,1.8,
2020-03-08,36.0,1.8,71.0
2020-03-15,36.0,1.8,71.0
2020-03-22,36.0,1.8,71.0
2020-03-29,63.0,1.8,71.0
2020-04-05,56.0,1.8,71.0
2020-04-12,83.0,1.8,71.0
2020-04-19,36.0,1.8,71.0
2020-04-26,36.0,1.8,71.0
2020-05-03,62.0,1.8,71.0
2020-05-10,79.0,1.8,71.0
2020-05-17,36.0,1.8,71.0
2020-05-24,247.0,1.8,71.0
2020-05-31,93.0,1.8,71.0
2020-06-07,36.0,1.8,71.0
2020-06-14,202.0,1.8,71.0
2020-06-21,204.0,1.8,71.0
2020-06-28,189.0,1.8,71.0
2020-07-05,146.0,1.8,71.0
2020-07-12,57.0,1.8,71.0
2020-07-19,188.0,1.8,71.0
2020-07-26,234.0,1.8,
2020-08-02,65.0,1.8,
2020-08-09,279.0,1.8,
2020-08-16,36.0,1.8,
2020-08-23,56.0,1.8,
2020-08-30,,1.8,
2020-09-06,,1.8,
2020-09-13,,1.8,
2020-09-20,,1.8,
2020-09-27,,1.8,
2020-10-04,,1.8,
2020-10-11,,1.8,
2020-10-18,106.0,1.8,71.0
2020-10-25,,1.8,
2020-11-01,,1.8,
2020-11-08,,1.8,
2020-11-15,,1.8,
2020-11-22,,1.8,
2020-11-29,,1.8,
2020-12-06,,1.8,
2020-12-13,,1.8,
2020-12-20,36.0,1.8,71.0
