,Date,dsp_toxins,asp_toxins,psp_toxins
0,2015-01-11,154.0,1.8,71.0
1,2015-01-18,191.5,1.8,71.0
2,2015-01-25,147.0,1.8,71.0
3,2015-02-01,127.0,1.8,71.0
4,2015-02-08,97.0,1.8,71.0
5,2015-02-15,104.3125,,
6,2015-02-22,29.0,1.8,71.0
7,2015-03-01,30.0,1.8,71.0
8,2015-03-08,59.0,1.8,71.0
9,2015-03-15,60.0,,
10,2015-03-22,52.6,,
11,2015-03-29,54.0,1.8,71.0
12,2015-04-05,91.0,1.8,71.0
13,2015-04-12,76.33333333333333,,
14,2015-04-19,89.83333333333333,,
15,2015-04-26,113.0,1.8,71.0
16,2015-05-03,100.0,1.8,71.0
17,2015-05-10,41.0,1.8,71.0
18,2015-05-17,140.0,1.8,71.0
19,2015-05-24,212.0,1.8,71.0
20,2015-05-31,140.0,1.8,71.0
21,2015-06-07,428.0,1.8,71.0
22,2015-06-14,442.0,1.8,71.0
23,2015-06-21,399.0,1.8,
24,2015-06-28,689.0,1.8,71.0
25,2015-07-05,496.0,1.8,71.0
26,2015-07-12,192.0,1.8,71.0
27,2015-07-19,200.0,1.8,71.0
28,2015-07-26,238.0,1.8,71.0
29,2015-08-02,185.0,1.8,71.0
30,2015-08-09,122.0,1.8,71.0
31,2015-08-16,247.0,1.8,71.0
32,2015-08-23,165.0,1.8,71.0
33,2015-08-30,134.0,1.8,71.0
34,2015-09-06,303.0,1.8,71.0
35,2015-09-13,269.0,1.8,71.0
36,2015-09-20,205.0,1.8,71.0
37,2015-09-27,151.0,1.8,71.0
38,2015-10-04,88.0,1.8,71.0
39,2015-10-11,133.0,1.8,71.0
40,2015-10-18,139.0,1.8,71.0
41,2015-10-25,109.44444444444444,,
42,2015-11-01,119.0,1.8,71.0
43,2015-11-08,62.0,1.8,71.0
44,2015-11-15,44.0,1.8,71.0
45,2015-11-22,44.0,1.8,71.0
46,2015-11-29,83.0,1.8,71.0
47,2015-12-06,114.0,1.8,71.0
