,dsp_toxins,asp_toxins,psp_toxins
2015-01-11,154.0,1.8,71.0
2015-01-18,191.5,1.8,71.0
2015-01-25,147.0,1.8,71.0
2015-02-01,127.0,1.8,71.0
2015-02-08,97.0,1.8,71.0
2015-02-15,,,71.0
2015-02-22,29.0,1.8,71.0
2015-03-01,30.0,1.8,71.0
2015-03-08,59.0,1.8,71.0
2015-03-15,,,71.0
2015-03-22,,,71.0
2015-03-29,54.0,1.8,71.0
2015-04-05,91.0,1.8,71.0
2015-04-12,,,71.0
2015-04-19,,,71.0
2015-04-26,113.0,1.8,71.0
2015-05-03,100.0,1.8,71.0
2015-05-10,41.0,1.8,71.0
2015-05-17,140.0,1.8,71.0
2015-05-24,212.0,1.8,71.0
2015-05-31,140.0,1.8,71.0
2015-06-07,428.0,1.8,71.0
2015-06-14,442.0,1.8,71.0
2015-06-21,399.0,1.8,71.0
2015-06-28,689.0,1.8,71.0
2015-07-05,496.0,1.8,71.0
2015-07-12,192.0,1.8,71.0
2015-07-19,200.0,1.8,71.0
2015-07-26,238.0,1.8,71.0
2015-08-02,185.0,1.8,71.0
2015-08-09,122.0,1.8,71.0
2015-08-16,247.0,1.8,71.0
2015-08-23,165.0,1.8,71.0
2015-08-30,134.0,1.8,71.0
2015-09-06,303.0,1.8,71.0
2015-09-13,269.0,1.8,71.0
2015-09-20,205.0,1.8,71.0
2015-09-27,151.0,1.8,71.0
2015-10-04,88.0,1.8,71.0
2015-10-11,133.0,1.8,71.0
2015-10-18,139.0,1.8,71.0
2015-10-25,,,71.0
2015-11-01,119.0,1.8,71.0
2015-11-08,62.0,1.8,71.0
2015-11-15,44.0,1.8,71.0
2015-11-22,44.0,1.8,71.0
2015-11-29,83.0,1.8,71.0
2015-12-06,114.0,1.8,71.0
2015-12-13,,,71.0
2015-12-20,,,71.0
2015-12-27,153.0,1.8,71.0
2016-01-03,,,71.0
2016-01-10,,,71.0
2016-01-17,,,71.0
2016-01-24,113.0,1.8,71.0
2016-01-31,82.0,1.8,71.0
2016-02-07,104.0,1.8,71.0
2016-02-14,76.0,1.8,71.0
2016-02-21,85.0,1.8,71.0
2016-02-28,63.0,1.8,71.0
2016-03-06,36.0,1.8,71.0
2016-03-13,31.0,1.8,71.0
2016-03-20,40.0,1.8,71.0
2016-03-27,36.0,1.8,71.0
2016-04-03,56.0,1.8,71.0
2016-04-10,36.0,1.8,71.0
2016-04-17,36.0,3.0,71.0
2016-04-24,,,71.0
2016-05-01,435.0,13.5,71.0
2016-05-08,384.0,3.0,71.0
2016-05-15,714.0,1.8,71.0
2016-05-22,129.0,1.8,71.0
2016-05-29,164.0,1.8,71.0
2016-06-05,117.5,3.0,71.0
2016-06-12,,,71.0
2016-06-19,,,71.0
2016-06-26,95.0,1.8,71.0
2016-07-03,234.0,1.8,71.0
2016-07-10,247.0,1.8,71.0
2016-07-17,256.0,1.8,71.0
2016-07-24,,,71.0
2016-07-31,363.0,1.8,71.0
2016-08-07,290.0,1.8,71.0
2016-08-14,104.0,1.8,71.0
2016-08-21,120.0,1.8,71.0
2016-08-28,92.0,1.8,71.0
2016-09-04,95.0,1.8,71.0
2016-09-11,67.0,1.8,71.0
2016-09-18,62.0,1.8,71.0
2016-09-25,,,71.0
2016-10-02,212.0,1.8,71.0
2016-10-09,75.0,1.8,71.0
2016-10-16,189.0,1.8,71.0
2016-10-23,88.0,1.8,71.0
2016-10-30,,,71.0
2016-11-06,202.0,1.8,71.0
2016-11-13,108.0,1.8,71.0
2016-11-20,101.0,1.8,71.0
2016-11-27,,,71.0
2016-12-04,99.0,1.8,71.0
2016-12-11,,,71.0
2016-12-18,419.0,1.8,71.0
2016-12-25,120.0,1.8,71.0
2017-01-01,155.0,1.8,71.0
2017-01-08,123.0,1.8,71.0
2017-01-15,,,71.0
2017-01-22,95.0,1.8,71.0
2017-01-29,119.0,1.8,71.0
2017-02-05,160.0,1.8,71.0
2017-02-12,,,71.0
2017-02-19,40.0,1.8,71.0
2017-02-26,196.0,1.8,71.0
2017-03-05,57.0,3.2,71.0
2017-03-12,217.5,1.8,71.0
2017-03-19,63.0,1.8,71.0
2017-03-26,83.0,11.3,71.0
2017-04-02,,,71.0
