,Date,dsp_toxins,asp_toxins,psp_toxins
0,2015-01-11,40.0,1.8,71.0
1,2015-01-18,36.0,1.8,71.0
2,2015-01-25,32.0,1.8,71.0
3,2015-02-01,29.0,1.8,71.0
4,2015-02-08,37.0,1.8,71.0
5,2015-02-15,26.0,1.8,71.0
6,2015-02-22,28.0,1.8,71.0
7,2015-03-01,36.0,1.8,71.0
8,2015-03-08,28.0,1.8,71.0
9,2015-03-15,32.0,,
10,2015-03-22,36.0,1.8,71.0
11,2015-03-29,37.0,1.8,71.0
12,2015-04-05,33.0,1.8,71.0
13,2015-04-12,38.0,1.8,71.0
14,2015-04-19,123.0,1.8,71.0
15,2015-04-26,225.0,1.8,25.0
16,2015-05-03,76.0,1.8,71.0
17,2015-05-10,44.0,1.8,71.0
18,2015-05-17,72.0,1.8,71.0
19,2015-05-24,46.0,1.8,71.0
20,2015-05-31,133.0,1.8,71.0
21,2015-06-07,188.0,1.8,71.0
22,2015-06-14,213.0,1.8,71.0
23,2015-06-21,270.0,1.8,71.0
24,2015-06-28,164.0,1.8,71.0
25,2015-07-05,189.0,1.8,71.0
26,2015-07-12,131.0,1.8,71.0
27,2015-07-19,176.0,1.8,71.0
28,2015-07-26,102.0,1.8,71.0
29,2015-08-02,114.0,1.8,71.0
30,2015-08-09,61.0,1.8,71.0
31,2015-08-16,106.0,1.8,71.0
32,2015-08-23,248.0,1.8,71.0
33,2015-08-30,44.0,1.8,71.0
34,2015-09-06,112.5,1.8,71.0
35,2015-09-13,197.0,1.8,71.0
36,2015-09-20,199.0,1.8,71.0
37,2015-09-27,122.0,1.8,71.0
38,2015-10-04,254.0,1.8,71.0
39,2015-10-11,197.0,1.8,71.0
40,2015-10-18,240.0,1.8,
41,2015-10-25,122.0,1.8,
42,2015-11-01,165.0,1.8,71.0
43,2015-11-08,147.0,1.8,71.0
44,2015-11-15,44.0,1.8,71.0
45,2015-11-22,44.0,1.8,71.0
46,2015-11-29,67.0,1.8,71.0
47,2015-12-06,44.0,1.8,71.0
48,2015-12-13,44.0,1.8,71.0
49,2015-12-20,44.0,1.8,71.0
50,2015-12-27,69.0,1.8,71.0
51,2016-01-03,60.75,,
52,2016-01-10,52.5,,
53,2016-01-17,44.25,,
54,2016-01-24,36.0,1.8,71.0
55,2016-01-31,44.0,1.8,71.0
56,2016-02-07,47.0,1.8,71.0
57,2016-02-14,24.0,1.8,71.0
58,2016-02-21,32.0,1.8,71.0
59,2016-02-28,29.0,1.8,71.0
60,2016-03-06,36.0,1.8,71.0
61,2016-03-13,36.0,1.8,71.0
62,2016-03-20,36.0,1.8,71.0
63,2016-03-27,36.0,1.8,71.0
64,2016-04-03,36.0,1.8,71.0
65,2016-04-10,36.0,1.8,71.0
66,2016-04-17,36.0,1.8,71.0
67,2016-04-24,51.0,1.8,71.0
68,2016-05-01,351.0,1.8,71.0
69,2016-05-08,362.0,1.8,71.0
70,2016-05-15,682.0,1.8,71.0
71,2016-05-22,197.0,1.8,71.0
72,2016-05-29,171.0,1.8,71.0
73,2016-06-05,89.0,1.8,71.0
74,2016-06-12,48.0,1.8,71.0
75,2016-06-19,65.0,1.8,71.0
76,2016-06-26,103.0,1.8,71.0
77,2016-07-03,62.0,1.8,71.0
78,2016-07-10,143.0,1.8,71.0
