Date,dsp_toxins,asp_toxins,psp_toxins
2015-01-11,36.0,1.8,71.0
2015-01-18,40.0,1.8,71.0
2015-01-25,36.0,1.8,71.0
2015-02-01,36.0,1.8,71.0
2015-02-08,36.0,1.8,71.0
2015-02-15,36.0,1.8,71.0
2015-02-22,18.0,1.8,71.0
2015-03-01,36.0,1.8,71.0
2015-03-08,,2.187456445993032,
2015-03-15,,2.187456445993032,
2015-03-22,36.0,1.8,71.0
2015-03-29,23.0,1.8,71.0
2015-04-05,36.0,1.8,71.0
2015-04-12,36.0,18.0,71.0
2015-04-19,21.0,5.0,71.0
2015-04-26,121.0,1.8,71.0
2015-05-03,36.0,1.8,71.0
2015-05-10,67.0,1.8,71.0
2015-05-17,69.0,1.8,71.0
2015-05-24,93.0,1.8,71.0
2015-05-31,28.0,1.8,71.0
2015-06-07,36.0,1.8,71.0
2015-06-14,36.0,1.8,71.0
2015-06-21,227.0,1.8,71.0
2015-06-28,128.0,1.8,71.0
2015-07-05,56.0,1.8,71.0
2015-07-12,110.5,1.8,71.0
2015-07-19,36.0,1.8,71.0
2015-07-26,150.0,1.8,71.0
2015-08-02,93.0,5.0,71.0
2015-08-09,152.0,4.7,71.0
2015-08-16,252.0,1.8,71.0
2015-08-23,20.0,1.8,71.0
2015-08-30,162.0,1.8,71.0
2015-09-06,237.5,1.8,71.0
2015-09-13,69.0,1.8,71.0
2015-09-20,40.0,1.8,71.0
2015-09-27,21.0,1.8,71.0
2015-10-04,117.0,1.8,71.0
2015-10-11,79.0,1.8,71.0
2015-10-18,55.0,1.8,
2015-10-25,118.0,1.8,
2015-11-01,45.0,1.8,71.0
2015-11-08,142.0,1.8,71.0
2015-11-15,44.0,1.8,71.0
2015-11-22,44.0,1.8,71.0
2015-11-29,44.0,1.8,71.0
2015-12-06,44.0,1.8,71.0
2015-12-13,44.0,1.8,71.0
2015-12-20,44.0,1.8,71.0
2015-12-27,25.0,1.8,71.0
2016-01-03,17.0,1.8,71.0
2016-01-10,36.0,1.8,71.0
2016-01-17,36.0,1.8,71.0
2016-01-24,36.0,1.8,71.0
2016-01-31,36.0,1.8,71.0
2016-02-07,36.0,1.8,71.0
2016-02-14,36.0,1.8,71.0
2016-02-21,18.0,1.8,71.0
2016-02-28,36.0,1.8,71.0
2016-03-06,36.0,1.8,71.0
2016-03-13,36.0,1.8,71.0
2016-03-20,36.0,1.8,71.0
2016-03-27,36.0,1.8,71.0
2016-04-03,59.0,1.8,71.0
2016-04-10,125.0,1.8,71.0
2016-04-17,122.0,1.8,71.0
2016-04-24,52.0,1.8,71.0
2016-05-01,,2.187456445993032,
2016-05-08,145.0,1.8,71.0
2016-05-15,484.0,1.8,71.0
2016-05-22,98.0,1.8,71.0
2016-05-29,83.0,2.187456445993032,
2016-06-05,36.0,1.8,71.0
2016-06-12,106.0,1.8,71.0
2016-06-19,64.0,1.8,71.0
2016-06-26,36.0,3.7,
2016-07-03,36.0,1.8,71.0
2016-07-10,29.0,1.8,71.0
2016-07-17,36.0,1.8,
2016-07-24,63.0,1.8,71.0
2016-07-31,31.0,1.8,71.0
2016-08-07,63.0,1.8,71.0
2016-08-14,36.0,1.8,71.0
2016-08-21,86.0,1.8,71.0
2016-08-28,144.0,2.187456445993032,
2016-09-04,102.0,1.8,71.0
2016-09-11,163.0,1.8,71.0
2016-09-18,82.5,1.8,71.0
2016-09-25,,2.187456445993032,
2016-10-02,36.0,1.8,71.0
2016-10-09,264.0,1.8,71.0
2016-10-16,48.5,1.8,71.0
2016-10-23,81.0,1.8,71.0
2016-10-30,93.0,1.8,71.0
2016-11-06,47.0,1.8,71.0
2016-11-13,36.0,1.8,71.0
2016-11-20,36.0,1.8,71.0
2016-11-27,36.0,1.8,71.0
2016-12-04,36.0,1.8,71.0
2016-12-11,36.0,1.8,71.0
2016-12-18,37.0,1.8,117.0
2016-12-25,42.0,1.8,573.0
2017-01-01,36.0,1.8,133.0
2017-01-08,36.0,1.8,71.0
2017-01-15,,2.187456445993032,
2017-01-22,32.0,1.8,166.0
2017-01-29,36.0,1.8,71.0
2017-02-05,189.0,1.8,71.0
2017-02-12,79.0,4.2,107.0
2017-02-19,36.0,1.8,71.0
2017-02-26,36.0,1.8,71.0
2017-03-05,36.0,2.187456445993032,119.0
2017-03-12,,2.187456445993032,
2017-03-19,36.0,1.8,71.0
2017-03-26,36.0,1.8,71.0
2017-04-02,36.0,1.8,71.0
2017-04-09,36.0,1.8,71.0
2017-04-16,,2.187456445993032,
2017-04-23,69.0,1.8,71.0
2017-04-30,401.0,4.1,71.0
2017-05-07,36.0,2.187456445993032,
2017-05-14,,2.187456445993032,
2017-05-21,123.0,1.8,71.0
2017-05-28,36.0,1.8,71.0
2017-06-04,74.0,1.8,
2017-06-11,,2.187456445993032,
2017-06-18,86.0,1.8,
2017-06-25,36.0,1.8,71.0
2017-07-02,45.5,1.8,71.0
2017-07-09,36.0,1.8,71.0
2017-07-16,,2.187456445993032,
2017-07-23,64.0,1.8,71.0
2017-07-30,255.0,1.8,71.0
2017-08-06,36.0,1.8,71.0
2017-08-13,,2.187456445993032,
2017-08-20,62.0,17.8,47.0
2017-08-27,41.0,1.8,71.0
2017-09-03,64.0,1.8,71.0
2017-09-10,70.5,1.8,71.0
2017-09-17,39.0,1.8,71.0
2017-09-24,28.0,1.8,71.0
2017-10-01,47.0,1.8,151.5
2017-10-08,36.0,1.8,71.0
2017-10-15,,2.187456445993032,
2017-10-22,48.0,1.8,71.0
2017-10-29,85.0,1.8,5.0
2017-11-05,35.0,1.8,71.0
2017-11-12,95.0,1.8,71.0
2017-11-19,41.0,1.8,71.0
2017-11-26,25.0,1.8,71.0
2017-12-03,36.0,1.8,71.0
2017-12-10,97.0,1.8,5.0
2017-12-17,15.0,1.8,71.0
2017-12-24,36.0,1.8,71.0
2017-12-31,36.0,1.8,71.0
2018-01-07,36.0,1.8,71.0
2018-01-14,36.0,1.8,71.0
2018-01-21,36.0,1.8,71.0
2018-01-28,36.0,1.8,71.0
2018-02-04,36.0,1.8,71.0
2018-02-11,36.0,1.8,71.0
2018-02-18,36.0,1.8,71.0
2018-02-25,36.0,1.8,71.0
2018-03-04,36.0,1.8,71.0
2018-03-11,36.0,2.9,71.0
2018-03-18,36.0,1.8,12.0
2018-03-25,36.0,1.8,71.0
2018-04-01,36.0,1.8,71.0
2018-04-08,36.0,1.8,71.0
2018-04-15,36.0,1.8,71.0
2018-04-22,295.0,1.8,71.0
2018-04-29,135.0,1.8,71.0
2018-05-06,100.0,1.8,71.0
2018-05-13,36.0,1.8,71.0
2018-05-20,64.0,1.8,71.0
2018-05-27,133.0,1.8,71.0
2018-06-03,233.0,1.8,71.0
2018-06-10,212.0,1.8,71.0
2018-06-17,36.0,1.8,71.0
2018-06-24,36.0,1.8,71.0
2018-07-01,36.0,1.8,71.0
2018-07-08,36.0,1.8,71.0
2018-07-15,36.0,4.9,71.0
2018-07-22,36.0,1.8,71.0
2018-07-29,36.0,1.8,71.0
2018-08-05,36.0,1.8,71.0
2018-08-12,36.0,1.8,5.0
2018-08-19,36.0,1.8,71.0
2018-08-26,36.0,1.8,5.0
2018-09-02,36.0,1.8,71.0
2018-09-09,36.0,1.8,71.0
2018-09-16,36.0,1.8,71.0
2018-09-23,36.0,1.8,71.0
2018-09-30,36.0,1.8,71.0
2018-10-07,,2.187456445993032,
2018-10-14,36.0,1.8,71.0
2018-10-21,36.0,1.8,71.0
2018-10-28,36.0,1.8,71.0
2018-11-04,36.0,1.8,71.0
2018-11-11,36.0,1.8,71.0
2018-11-18,36.0,1.8,71.0
2018-11-25,27.0,1.8,71.0
2018-12-02,36.0,1.8,71.0
2018-12-09,36.0,1.8,71.0
2018-12-16,36.0,1.8,71.0
2018-12-23,36.0,1.8,71.0
2018-12-30,36.0,1.8,71.0
2019-01-06,36.0,1.8,71.0
2019-01-13,36.0,1.8,71.0
2019-01-20,36.0,2.0,71.0
2019-01-27,36.0,1.8,71.0
2019-02-03,36.0,1.8,71.0
2019-02-10,36.0,1.8,71.0
2019-02-17,36.0,1.8,71.0
2019-02-24,88.0,1.8,71.0
2019-03-03,36.0,1.8,71.0
2019-03-10,76.0,1.8,71.0
2019-03-17,36.0,1.8,71.0
2019-03-24,36.0,1.8,71.0
2019-03-31,36.0,1.8,71.0
2019-04-07,36.0,1.8,71.0
2019-04-14,36.0,1.8,71.0
2019-04-21,36.0,2.0,71.0
2019-04-28,115.0,13.0,71.0
2019-05-05,36.0,2.0,71.0
2019-05-12,58.0,1.8,71.0
2019-05-19,36.0,1.8,
2019-05-26,261.0,1.8,
2019-06-02,36.0,1.8,71.0
2019-06-09,36.0,1.8,
2019-06-16,36.0,1.8,
2019-06-23,36.0,1.8,
2019-06-30,36.0,1.8,
2019-07-07,36.0,1.8,
2019-07-14,36.0,1.8,
2019-07-21,36.0,1.8,
2019-07-28,25.0,1.8,71.0
2019-08-04,36.0,1.8,71.0
2019-08-11,550.0,2.187456445993032,71.0
2019-08-18,36.0,1.8,71.0
2019-08-25,550.0,1.8,71.0
2019-09-01,,2.187456445993032,
2019-09-08,550.0,2.0,71.0
2019-09-15,139.0,1.8,71.0
2019-09-22,102.0,1.8,71.0
2019-09-29,492.0,4.0,71.0
2019-10-06,267.0,1.8,71.0
2019-10-13,36.0,1.8,71.0
2019-10-20,143.0,1.8,71.0
2019-10-27,174.0,1.8,71.0
2019-11-03,26.0,1.8,
2019-11-10,34.0,1.8,71.0
2019-11-17,36.0,1.8,71.0
2019-11-24,36.0,1.8,71.0
2019-12-01,36.0,1.8,
2019-12-08,36.0,1.8,
2019-12-15,36.0,1.8,71.0
2019-12-22,36.0,1.8,
2019-12-29,,2.187456445993032,
2020-01-05,36.0,1.8,
2020-01-12,36.0,1.8,
2020-01-19,36.0,1.8,
2020-01-26,36.0,1.8,
2020-02-02,36.0,1.8,
2020-02-09,,1.8,
2020-02-16,266.0,1.8,
2020-02-23,,1.8,
2020-03-01,63.0,1.8,
2020-03-08,36.0,1.8,71.0
2020-03-15,82.0,1.8,71.0
2020-03-22,,2.187456445993032,
2020-03-29,,2.187456445993032,
2020-04-05,36.0,1.8,71.0
2020-04-12,36.0,12.0,71.0
2020-04-19,36.0,1.8,71.0
2020-04-26,36.0,1.8,71.0
2020-05-03,36.0,1.8,71.0
2020-05-10,68.0,1.8,71.0
2020-05-17,361.0,1.8,71.0
2020-05-24,36.0,1.8,71.0
2020-05-31,36.0,1.8,71.0
2020-06-07,92.0,1.8,71.0
2020-06-14,471.0,1.9,71.0
2020-06-21,,2.187456445993032,
2020-06-28,128.0,1.8,71.0
2020-07-05,155.0,1.8,71.0
2020-07-12,160.0,2.187456445993032,71.0
2020-07-19,36.0,22.0,71.0
2020-07-26,25.0,16.0,
2020-08-02,260.0,1.8,71.0
2020-08-09,132.0,1.8,
2020-08-16,,2.187456445993032,
2020-08-23,230.0,1.8,71.0
2020-08-30,62.0,1.8,71.0
2020-09-06,497.0,1.8,71.0
2020-09-13,36.0,1.8,71.0
2020-09-20,190.0,1.8,71.0
2020-09-27,128.0,1.8,71.0
2020-10-04,63.0,1.8,71.0
2020-10-11,94.0,1.8,71.0
2020-10-18,84.0,1.8,71.0
2020-10-25,59.0,1.8,71.0
2020-11-01,36.0,1.8,71.0
2020-11-08,14.0,1.8,71.0
2020-11-15,36.0,1.8,71.0
2020-11-22,395.0,1.8,71.0
2020-11-29,100.0,1.8,71.0
2020-12-06,67.0,1.8,71.0
2020-12-13,36.0,1.8,71.0
2020-12-20,36.0,1.8,71.0
2020-12-27,,2.187456445993032,
2021-01-03,36.0,1.8,71.0
