Date,dsp_toxins,asp_toxins,psp_toxins
2015-01-11,52.0,1.8,71.0
2015-01-18,41.0,1.8,71.0
2015-01-25,42.0,1.8,71.0
2015-02-01,35.0,1.8,71.0
2015-02-08,42.5,1.8,71.0
2015-02-15,39.0,1.8,71.0
2015-02-22,35.0,1.8,71.0
2015-03-01,20.0,1.8,71.0
2015-03-08,25.333333333333332,,
2015-03-15,30.666666666666664,,
2015-03-22,36.0,1.8,71.0
2015-03-29,30.0,1.8,71.0
2015-04-05,42.0,1.8,71.0
2015-04-12,33.0,54.0,71.0
2015-04-19,52.0,7.0,71.0
2015-04-26,319.0,1.8,71.0
2015-05-03,250.0,1.8,71.0
2015-05-10,117.0,1.8,71.0
2015-05-17,850.0,1.8,71.0
2015-05-24,505.0,1.8,71.0
2015-05-31,180.0,1.8,71.0
2015-06-07,72.0,1.8,71.0
2015-06-14,132.0,1.8,71.0
2015-06-21,324.0,1.8,71.0
2015-06-28,360.0,1.8,71.0
2015-07-05,264.0,1.8,71.0
2015-07-12,99.0,1.8,71.0
2015-07-19,70.0,1.8,71.0
2015-07-26,215.0,1.8,71.0
2015-08-02,293.0,4.0,71.0
2015-08-09,486.0,1.8,71.0
2015-08-16,983.0,1.8,71.0
2015-08-23,422.0,1.8,71.0
2015-08-30,280.0,1.8,71.0
2015-09-06,455.5,1.8,71.0
2015-09-13,657.0,1.8,71.0
2015-09-20,321.0,1.8,71.0
2015-09-27,441.0,,71.0
2015-10-04,281.0,1.8,71.0
2015-10-11,246.0,1.8,71.0
2015-10-18,189.0,1.8,
2015-10-25,385.0,1.8,
2015-11-01,356.0,1.8,71.0
2015-11-08,351.0,1.8,71.0
2015-11-15,277.0,1.8,71.0
2015-11-22,186.0,1.8,372.0
2015-11-29,178.0,1.8,950.0
2015-12-06,165.0,1.8,418.0
2015-12-13,73.0,1.8,209.0
2015-12-20,75.0,1.8,142.0
2015-12-27,88.0,1.8,71.0
2016-01-03,71.0,1.8,71.0
2016-01-10,61.0,1.8,71.0
2016-01-17,46.0,1.8,71.0
2016-01-24,42.0,1.8,71.0
2016-01-31,55.0,1.8,71.0
2016-02-07,74.0,1.8,71.0
2016-02-14,36.0,1.8,71.0
2016-02-21,54.0,1.8,71.0
2016-02-28,27.0,1.8,71.0
2016-03-06,37.5,,
2016-03-13,48.0,1.8,71.0
2016-03-20,36.0,1.8,71.0
2016-03-27,52.0,1.8,71.0
2016-04-03,193.0,1.8,71.0
2016-04-10,424.0,1.8,71.0
2016-04-17,601.0,1.8,71.0
2016-04-24,589.0,1.8,71.0
2016-05-01,491.0,1.8,71.0
2016-05-08,850.0,1.8,71.0
2016-05-15,689.3333333333334,,
2016-05-22,528.6666666666667,,
2016-05-29,368.0,1.8,71.0
2016-06-05,247.0,1.8,71.0
2016-06-12,268.0,1.8,71.0
2016-06-19,746.0,7.5,71.0
2016-06-26,268.0,4.6,71.0
2016-07-03,292.0,1.8,71.0
2016-07-10,236.0,1.8,71.0
2016-07-17,127.0,1.8,71.0
2016-07-24,96.0,1.8,71.0
2016-07-31,78.0,1.8,71.0
2016-08-07,63.0,1.8,71.0
2016-08-14,303.0,1.8,71.0
2016-08-21,335.0,1.8,71.0
2016-08-28,306.0,1.8,71.0
2016-09-04,850.0,1.8,71.0
2016-09-11,850.0,1.8,71.0
2016-09-18,675.0,1.8,71.0
2016-09-25,791.0,1.8,71.0
2016-10-02,732.0,1.8,71.0
2016-10-09,850.0,1.8,71.0
2016-10-16,850.0,1.8,71.0
2016-10-23,850.0,1.8,71.0
2016-10-30,850.0,1.8,71.0
2016-11-06,850.0,1.8,71.0
2016-11-13,850.0,1.8,131.0
2016-11-20,624.0,1.8,71.0
2016-11-27,199.0,,71.0
2016-12-04,186.0,1.8,71.0
2016-12-11,343.0,1.8,767.0
2016-12-18,185.0,1.8,4919.0
2016-12-25,80.0,1.8,4661.0
2017-01-01,77.0,1.8,1896.0
2017-01-08,246.5,1.8,385.0
2017-01-15,151.25,,
2017-01-22,56.0,1.8,2844.0
2017-01-29,69.0,1.8,1686.0
2017-02-05,244.66666666666666,1.8,2341.3333333333335
2017-02-12,411.0,1.8,110.0
2017-02-19,36.0,1.8,1012.0
2017-02-26,56.0,1.8,199.0
2017-03-05,57.0,1.8,194.0
2017-03-12,482.0,1.8,71.0
2017-03-19,40.0,1.8,129.0
2017-03-26,33.0,1.8,228.0
2017-04-02,36.0,1.8,71.0
2017-04-09,625.0,1.8,152.0
2017-04-16,625.0,,
2017-04-23,625.0,3.6,71.0
2017-04-30,625.0,5.5,71.0
2017-05-07,293.0,1.8,71.0
2017-05-14,459.0,,
2017-05-21,625.0,1.8,71.0
2017-05-28,509.0,1.8,71.0
2017-06-04,156.66666666666666,1.8,531.3333333333334
2017-06-11,166.77777777777777,,
2017-06-18,176.88888888888889,1.8,
2017-06-25,187.0,1.8,71.0
2017-07-02,558.0,1.8,71.0
2017-07-09,369.0,1.8,71.0
2017-07-16,354.0,,
2017-07-23,339.0,,71.0
2017-07-30,391.0,1.8,71.0
2017-08-06,625.0,1.8,71.0
2017-08-13,574.0,,
2017-08-20,523.0,13.7,63.0
2017-08-27,526.0,1.8,104.0
2017-09-03,356.0,1.8,1494.0
2017-09-10,374.0,1.8,71.0
2017-09-17,428.0,,
2017-09-24,482.0,1.8,95.0
2017-10-01,534.0,1.8,113.0
2017-10-08,162.0,1.8,71.0
2017-10-15,188.5,,
2017-10-22,215.0,1.8,71.0
2017-10-29,219.0,1.8,71.0
2017-11-05,271.0,1.8,71.0
2017-11-12,452.0,1.8,73.5
2017-11-19,292.0,1.8,71.0
2017-11-26,213.0,1.8,71.0
2017-12-03,200.0,1.8,71.0
2017-12-10,198.0,1.8,71.0
2017-12-17,175.0,1.8,71.0
2017-12-24,115.0,1.8,71.0
2017-12-31,121.0,1.8,71.0
2018-01-07,151.0,1.8,71.0
2018-01-14,33.0,1.8,71.0
2018-01-21,36.0,1.8,71.0
2018-01-28,20.0,1.8,71.0
2018-02-04,44.0,1.8,71.0
2018-02-11,36.0,1.8,71.0
2018-02-18,36.0,1.8,71.0
2018-02-25,36.0,1.8,71.0
2018-03-04,36.0,1.8,71.0
2018-03-11,58.0,1.8,71.0
2018-03-18,25.0,1.8,71.0
2018-03-25,35.0,1.8,71.0
2018-04-01,36.0,1.8,71.0
2018-04-08,36.0,1.8,71.0
2018-04-15,36.0,1.8,71.0
2018-04-22,266.0,1.8,71.0
2018-04-29,550.0,1.8,71.0
2018-05-06,550.0,1.8,71.0
2018-05-13,494.0,1.8,71.0
2018-05-20,166.0,1.8,71.0
2018-05-27,550.0,1.8,71.0
2018-06-03,550.0,1.8,71.0
2018-06-10,550.0,1.8,71.0
2018-06-17,550.0,2.8,71.0
2018-06-24,550.0,1.8,71.0
2018-07-01,477.0,1.8,71.0
2018-07-08,331.0,1.8,71.0
2018-07-15,131.0,1.8,71.0
